
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
   66  4750  5.00  0.50  2.00  1.25  0.00 -14.127 -15.433 -15.846 -23.403  -0.585   0.932   1.017   1.001
   67  5000  0.00  0.50  2.00  1.25  0.00 -13.977 -15.687 -16.296 -23.626  -0.358   1.353   1.212   1.196
   68  5000  0.50  0.50  2.00  1.25  0.00 -14.091 -15.706 -16.284 -23.626  -0.370   1.255   1.181   1.165
   69  5000  1.00  0.50  2.00  1.25  0.00 -14.205 -15.724 -16.272 -23.626  -0.381   1.157   1.152   1.136
   70  5000  1.50  0.50  2.00  1.25  0.00 -14.327 -15.749 -16.263 -23.626  -0.390   1.057   1.118   1.102
   71  5000  2.00  0.50  2.00  1.25  0.00 -14.451 -15.782 -16.258 -23.626  -0.395   0.963   1.080   1.064
   72  5000  2.50  0.50  2.00  1.25  0.00 -14.559 -15.817 -16.257 -23.626  -0.396   0.889   1.043   1.027
   73  5000  3.00  0.50  2.00  1.25  0.00 -14.647 -15.849 -16.255 -23.626  -0.398   0.831   1.009   0.993
   74  5000  3.50  0.50  2.00  1.25  0.00 -14.707 -15.871 -16.249 -23.626  -0.404   0.791   0.982   0.966
   75  5000  4.00  0.50  2.00  1.25  0.00 -14.741 -15.885 -16.241 -23.626  -0.413   0.770   0.959   0.943
   76  5000  4.50  0.50  2.00  1.25  0.00 -14.753 -15.890 -16.230 -23.626  -0.423   0.763   0.943   0.927
   77  5000  5.00  0.50  2.00  1.25  0.00 -14.742 -15.886 -16.217 -23.626  -0.437   0.769   0.934   0.918
   78  5250  0.00  0.50  2.00  1.25  0.00 -14.635 -16.143 -16.614 -23.837  -0.251   1.145   1.075   1.059
   79  5250  0.50  0.50  2.00  1.25  0.00 -14.745 -16.159 -16.602 -23.837  -0.264   1.049   1.046   1.030
   80  5250  1.00  0.50  2.00  1.25  0.00 -14.852 -16.175 -16.590 -23.837  -0.275   0.956   1.019   1.003
   81  5250  1.50  0.50  2.00  1.25  0.00 -14.958 -16.192 -16.580 -23.837  -0.286   0.864   0.991   0.975
   82  5250  2.00  0.50  2.00  1.25  0.00 -15.058 -16.212 -16.572 -23.837  -0.294   0.781   0.964   0.948
