
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   64  4750  4.00  0.50  2.00  1.25  0.00 -13.818 -13.801 -15.100 -15.810 -15.943   2.794   2.790   0.633   0.506   0.515   0.510
   65  4750  4.50  0.50  2.00  1.25  0.00 -13.823 -13.806 -15.120 -15.815 -15.938   2.794   2.789   0.622   0.502   0.544   0.539
   66  4750  5.00  0.50  2.00  1.25  0.00 -13.820 -13.804 -15.128 -15.812 -15.928   2.794   2.788   0.615   0.498   0.566   0.560
   67  5000  0.00  0.50  2.00  1.25  0.00 -13.772 -13.755 -15.127 -16.093 -16.311   3.123   3.118   0.718   0.676   0.332   0.327
   68  5000  0.50  0.50  2.00  1.25  0.00 -13.884 -13.866 -15.203 -16.093 -16.298   3.011   3.006   0.706   0.612   0.372   0.368
   69  5000  1.00  0.50  2.00  1.25  0.00 -13.998 -13.980 -15.272 -16.093 -16.287   2.897   2.894   0.694   0.556   0.395   0.391
   70  5000  1.50  0.50  2.00  1.25  0.00 -14.124 -14.106 -15.342 -16.101 -16.279   2.779   2.775   0.677   0.511   0.401   0.397
   71  5000  2.00  0.50  2.00  1.25  0.00 -14.256 -14.237 -15.413 -16.120 -16.275   2.666   2.663   0.655   0.480   0.392   0.389
   72  5000  2.50  0.50  2.00  1.25  0.00 -14.371 -14.352 -15.479 -16.147 -16.278   2.578   2.575   0.631   0.466   0.381   0.378
   73  5000  3.00  0.50  2.00  1.25  0.00 -14.463 -14.444 -15.536 -16.173 -16.281   2.512   2.509   0.608   0.458   0.378   0.375
   74  5000  3.50  0.50  2.00  1.25  0.00 -14.523 -14.504 -15.578 -16.193 -16.283   2.472   2.469   0.590   0.454   0.382   0.379
   75  5000  4.00  0.50  2.00  1.25  0.00 -14.554 -14.536 -15.608 -16.211 -16.285   2.458   2.455   0.574   0.458   0.392   0.389
   76  5000  4.50  0.50  2.00  1.25  0.00 -14.561 -14.543 -15.624 -16.223 -16.285   2.464   2.461   0.561   0.467   0.406   0.402
   77  5000  5.00  0.50  2.00  1.25  0.00 -14.546 -14.527 -15.627 -16.231 -16.283   2.488   2.484   0.552   0.481   0.420   0.416
   78  5250  0.00  0.50  2.00  1.25  0.00 -14.393 -14.376 -15.715 -16.512 -16.630   2.921   2.916   0.618   0.607   0.467   0.463
   79  5250  0.50  0.50  2.00  1.25  0.00 -14.516 -14.498 -15.780 -16.508 -16.617   2.794   2.790   0.609   0.549   0.478   0.473
   80  5250  1.00  0.50  2.00  1.25  0.00 -14.636 -14.617 -15.837 -16.505 -16.605   2.671   2.667   0.600   0.497   0.475   0.471
   81  5250  1.50  0.50  2.00  1.25  0.00 -14.757 -14.738 -15.890 -16.504 -16.595   2.550   2.546   0.590   0.453   0.460   0.457
   82  5250  2.00  0.50  2.00  1.25  0.00 -14.874 -14.855 -15.938 -16.509 -16.587   2.437   2.434   0.578   0.421   0.436   0.432
   83  5250  2.50  0.50  2.00  1.25  0.00 -14.979 -14.959 -15.981 -16.520 -16.584   2.343   2.341   0.564   0.404   0.405   0.403
   84  5250  3.00  0.50  2.00  1.25  0.00 -15.063 -15.044 -16.016 -16.534 -16.583   2.272   2.270   0.550   0.397   0.378   0.375
   85  5250  3.50  0.50  2.00  1.25  0.00 -15.129 -15.109 -16.045 -16.547 -16.583   2.220   2.218   0.536   0.396   0.355   0.353
   86  5250  4.00  0.50  2.00  1.25  0.00 -15.173 -15.154 -16.066 -16.560 -16.583   2.189   2.187   0.523   0.401   0.339   0.337
   87  5250  4.50  0.50  2.00  1.25  0.00 -15.196 -15.176 -16.078 -16.573 -16.584   2.180   2.178   0.510   0.414   0.330   0.327
   88  5250  5.00  0.50  2.00  1.25  0.00 -15.195 -15.176 -16.083 -16.585 -16.584   2.192   2.190   0.499   0.433   0.326   0.324
