        Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    92  5500  1.50 -4.00  2.00  1.25  0.00 -16.431 -16.846 -16.766 -24.039  -0.302   0.013   0.524   0.508
    93  5500  2.00 -4.00  2.00  1.25  0.00 -16.481 -16.825 -16.744 -24.039  -0.323  -0.059   0.523   0.507
    94  5500  2.50 -4.00  2.00  1.25  0.00 -16.523 -16.802 -16.724 -24.039  -0.343  -0.123   0.526   0.510
    95  5500  3.00 -4.00  2.00  1.25  0.00 -16.554 -16.781 -16.709 -24.039  -0.359  -0.175   0.531   0.515
    96  5500  3.50 -4.00  2.00  1.25  0.00 -16.573 -16.764 -16.700 -24.039  -0.367  -0.210   0.540   0.524
    97  5500  4.00 -4.00  2.00  1.25  0.00 -16.575 -16.751 -16.700 -24.039  -0.368  -0.226   0.553   0.537
    98  5500  4.50 -4.00  2.00  1.25  0.00 -16.564 -16.739 -16.705 -24.039  -0.363  -0.225   0.569   0.553
    99  5500  5.00 -4.00  2.00  1.25  0.00 -16.546 -16.728 -16.710 -24.039  -0.357  -0.218   0.586   0.570
   100  5750  0.00 -4.00  2.00  1.25  0.00 -16.608 -17.236 -17.078 -24.233  -0.183   0.225   0.445   0.429
   101  5750  0.50 -4.00  2.00  1.25  0.00 -16.652 -17.216 -17.057 -24.233  -0.204   0.160   0.445   0.429
   102  5750  1.00 -4.00  2.00  1.25  0.00 -16.698 -17.191 -17.034 -24.233  -0.227   0.089   0.446   0.430
   103  5750  1.50 -4.00  2.00  1.25  0.00 -16.741 -17.163 -17.010 -24.233  -0.251   0.018   0.451   0.435
   104  5750  2.00 -4.00  2.00  1.25  0.00 -16.779 -17.131 -16.985 -24.233  -0.276  -0.052   0.457   0.441
   105  5750  2.50 -4.00  2.00  1.25  0.00 -16.813 -17.099 -16.960 -24.233  -0.301  -0.118   0.464   0.448
