        Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    63  4750  3.50 -4.00  2.00  1.25  0.00 -15.109 -15.090 -15.604 -15.816 -15.915   1.509   1.507   0.598   0.043   0.225   0.223
    64  4750  4.00 -4.00  2.00  1.25  0.00 -15.102 -15.083 -15.591 -15.809 -15.918   1.509   1.506   0.609   0.039   0.212   0.209
    65  4750  4.50 -4.00  2.00  1.25  0.00 -15.086 -15.067 -15.578 -15.804 -15.922   1.519   1.517   0.618   0.037   0.207   0.205
    66  4750  4.50 -4.00  2.00  1.25  0.00 -15.084 -15.065 -15.577 -15.803 -15.922   1.521   1.519   0.619   0.037   0.208   0.205
    67  5000  0.00 -4.00  2.00  1.25  0.00 -14.751 -14.732 -15.915 -16.151 -16.247   2.202   2.199   0.596   0.069   0.869   0.866
    68  5000  0.50 -4.00  2.00  1.25  0.00 -14.983 -14.964 -15.974 -16.173 -16.243   1.992   1.989   0.570   0.058   0.733   0.730
    69  5000  1.00 -4.00  2.00  1.25  0.00 -15.193 -15.173 -16.017 -16.187 -16.236   1.796   1.793   0.549   0.049   0.598   0.595
    70  5000  1.50 -4.00  2.00  1.25  0.00 -15.371 -15.352 -16.046 -16.192 -16.226   1.623   1.620   0.534   0.041   0.470   0.468
    71  5000  2.00 -4.00  2.00  1.25  0.00 -15.513 -15.493 -16.061 -16.192 -16.216   1.481   1.479   0.524   0.036   0.359   0.357
    72  5000  2.50 -4.00  2.00  1.25  0.00 -15.609 -15.589 -16.066 -16.190 -16.210   1.383   1.381   0.520   0.033   0.275   0.273
    73  5000  3.00 -4.00  2.00  1.25  0.00 -15.658 -15.638 -16.062 -16.187 -16.208   1.331   1.329   0.522   0.033   0.221   0.219
    74  5000  3.50 -4.00  2.00  1.25  0.00 -15.667 -15.647 -16.048 -16.181 -16.211   1.317   1.315   0.529   0.033   0.191   0.189
    75  5000  4.00 -4.00  2.00  1.25  0.00 -15.653 -15.633 -16.029 -16.172 -16.213   1.321   1.319   0.541   0.031   0.175   0.173
    76  5000  4.50 -4.00  2.00  1.25  0.00 -15.629 -15.609 -16.009 -16.163 -16.216   1.336   1.334   0.553   0.030   0.168   0.166
    77  5000  5.00 -4.00  2.00  1.25  0.00 -15.604 -15.584 -15.993 -16.157 -16.220   1.356   1.354   0.563   0.030   0.167   0.165
    78  5250  0.00 -4.00  2.00  1.25  0.00 -15.245 -15.226 -16.427 -16.558 -16.560   2.114   2.112   0.502   0.058   0.993   0.990
    79  5250  0.50 -4.00  2.00  1.25  0.00 -15.450 -15.431 -16.453 -16.559 -16.546   1.911   1.908   0.487   0.049   0.837   0.835
    80  5250  1.00 -4.00  2.00  1.25  0.00 -15.636 -15.616 -16.467 -16.555 -16.531   1.721   1.718   0.476   0.041   0.686   0.684
    81  5250  1.50 -4.00  2.00  1.25  0.00 -15.796 -15.776 -16.471 -16.545 -16.514   1.551   1.549   0.468   0.034   0.544   0.542
    82  5250  2.00 -4.00  2.00  1.25  0.00 -15.928 -15.908 -16.467 -16.532 -16.496   1.406   1.404   0.465   0.029   0.416   0.414
    83  5250  2.50 -4.00  2.00  1.25  0.00 -16.028 -16.008 -16.456 -16.518 -16.482   1.292   1.290   0.464   0.027   0.308   0.307
    84  5250  3.00 -4.00  2.00  1.25  0.00 -16.092 -16.072 -16.443 -16.507 -16.473   1.217   1.215   0.467   0.026   0.229   0.227
    85  5250  3.50 -4.00  2.00  1.25  0.00 -16.119 -16.099 -16.428 -16.499 -16.472   1.182   1.180   0.473   0.027   0.180   0.179
    86  5250  4.00 -4.00  2.00  1.25  0.00 -16.115 -16.094 -16.409 -16.491 -16.475   1.179   1.177   0.484   0.027   0.155   0.153
    87  5250  4.50 -4.00  2.00  1.25  0.00 -16.095 -16.075 -16.389 -16.483 -16.479   1.190   1.189   0.496   0.027   0.142   0.141
    88  5250  5.00 -4.00  2.00  1.25  0.00 -16.070 -16.049 -16.371 -16.476 -16.484   1.209   1.207   0.507   0.027   0.137   0.136
    89  5500  0.00 -4.00  2.00  1.25  0.00 -15.627 -15.607 -16.871 -16.915 -16.837   2.090   2.088   0.422   0.052   1.141   1.139
    90  5500  0.50 -4.00  2.00  1.25  0.00 -15.808 -15.788 -16.871 -16.902 -16.818   1.896   1.894   0.416   0.044   0.973   0.971
    91  5500  1.00 -4.00  2.00  1.25  0.00 -15.977 -15.957 -16.863 -16.885 -16.798   1.710   1.708   0.413   0.038   0.806   0.805
    92  5500  1.50 -4.00  2.00  1.25  0.00 -16.125 -16.105 -16.848 -16.864 -16.776   1.541   1.539   0.412   0.033   0.649   0.648
    93  5500  2.00 -4.00  2.00  1.25  0.00 -16.250 -16.230 -16.828 -16.841 -16.754   1.392   1.391   0.413   0.028   0.507   0.505
    94  5500  2.50 -4.00  2.00  1.25  0.00 -16.353 -16.332 -16.804 -16.817 -16.734   1.266   1.265   0.416   0.026   0.380   0.379
    95  5500  3.00 -4.00  2.00  1.25  0.00 -16.431 -16.410 -16.781 -16.797 -16.718   1.168   1.167   0.421   0.025   0.276   0.274
    96  5500  3.50 -4.00  2.00  1.25  0.00 -16.479 -16.458 -16.760 -16.783 -16.710   1.106   1.105   0.427   0.025   0.200   0.199
    97  5500  4.00 -4.00  2.00  1.25  0.00 -16.497 -16.476 -16.742 -16.774 -16.710   1.080   1.078   0.436   0.026   0.154   0.153
    98  5500  4.50 -4.00  2.00  1.25  0.00 -16.491 -16.470 -16.723 -16.768 -16.715   1.079   1.078   0.447   0.027   0.130   0.129
    99  5500  5.00 -4.00  2.00  1.25  0.00 -16.473 -16.452 -16.706 -16.762 -16.720   1.091   1.090   0.458   0.027   0.118   0.117
   100  5750  0.00 -4.00  2.00  1.25  0.00 -15.930 -15.909 -17.265 -17.237 -17.088   2.109   2.108   0.351   0.050   1.305   1.303
   101  5750  0.50 -4.00  2.00  1.25  0.00 -16.089 -16.069 -17.245 -17.213 -17.067   1.926   1.925   0.353   0.044   1.129   1.128
   102  5750  1.00 -4.00  2.00  1.25  0.00 -16.245 -16.224 -17.221 -17.188 -17.044   1.745   1.743   0.356   0.039   0.952   0.950
   103  5750  1.50 -4.00  2.00  1.25  0.00 -16.386 -16.365 -17.192 -17.159 -17.020   1.575   1.573   0.361   0.035   0.781   0.780
   104  5750  2.00 -4.00  2.00  1.25  0.00 -16.509 -16.488 -17.158 -17.128 -16.994   1.420   1.419   0.367   0.032   0.622   0.621
   105  5750  2.50 -4.00  2.00  1.25  0.00 -16.614 -16.593 -17.123 -17.097 -16.970   1.284   1.283   0.373   0.029   0.478   0.477
   106  5750  3.00 -4.00  2.00  1.25  0.00 -16.702 -16.681 -17.090 -17.069 -16.948   1.169   1.168   0.380   0.028   0.352   0.351
   107  5750  3.50 -4.00  2.00  1.25  0.00 -16.769 -16.748 -17.062 -17.047 -16.933   1.080   1.079   0.387   0.027   0.251   0.250
   108  5750  4.00 -4.00  2.00  1.25  0.00 -16.810 -16.789 -17.039 -17.032 -16.927   1.024   1.023   0.395   0.027   0.178   0.177
   109  5750  4.50 -4.00  2.00  1.25  0.00 -16.824 -16.804 -17.020 -17.024 -16.929   1.002   1.001   0.405   0.028   0.134   0.133
