        Teff log g [M]a  Vturb  l/H   small     big    beta
   239  9250  5.00 -1.00  2.00  0.00 -18.870 -19.202   2.960
   240  9500  2.00 -1.00  2.00  0.00 -19.302 -19.412   2.656
   241  9500  2.50 -1.00  2.00  0.00 -19.259 -19.416   2.722
   242  9500  3.00 -1.00  2.00  0.00 -19.198 -19.405   2.789
   243  9500  3.50 -1.00  2.00  0.00 -19.130 -19.384   2.853
   244  9500  4.00 -1.00  2.00  0.00 -19.063 -19.356   2.907
   245  9500  4.50 -1.00  2.00  0.00 -19.002 -19.323   2.945
   246  9500  5.00 -1.00  2.00  0.00 -18.949 -19.286   2.966
   247  9750  2.00 -1.00  2.00  0.00 -19.376 -19.476   2.642
   248  9750  2.50 -1.00  2.00  0.00 -19.339 -19.483   2.704
   249  9750  3.00 -1.00  2.00  0.00 -19.282 -19.475   2.770
   250  9750  3.50 -1.00  2.00  0.00 -19.215 -19.456   2.836
   251  9750  4.00 -1.00  2.00  0.00 -19.146 -19.431   2.895
   252  9750  4.50 -1.00  2.00  0.00 -19.082 -19.399   2.940
   253  9750  5.00 -1.00  2.00  0.00 -19.025 -19.363   2.969
   254 10000  2.00 -1.00  2.00  0.00 -19.445 -19.537   2.631
   255 10000  2.50 -1.00  2.00  0.00 -19.412 -19.546   2.689
   256 10000  3.00 -1.00  2.00  0.00 -19.360 -19.540   2.752
   257 10000  3.50 -1.00  2.00  0.00 -19.296 -19.524   2.818
   258 10000  4.00 -1.00  2.00  0.00 -19.227 -19.500   2.880
   259 10000  4.50 -1.00  2.00  0.00 -19.159 -19.470   2.932
   260 10000  5.00 -1.00  2.00  0.00 -19.099 -19.435   2.967
   261 10250  2.00 -1.00  2.00  0.00 -19.510 -19.595   2.622
   262 10250  2.50 -1.00  2.00  0.00 -19.480 -19.606   2.678
   263 10250  3.00 -1.00  2.00  0.00 -19.432 -19.601   2.738
   264 10250  3.50 -1.00  2.00  0.00 -19.371 -19.586   2.801
   265 10250  4.00 -1.00  2.00  0.00 -19.303 -19.565   2.864
   266 10250  4.50 -1.00  2.00  0.00 -19.234 -19.537   2.920
   267 10250  5.00 -1.00  2.00  0.00 -19.170 -19.503   2.960
   268 10500  2.00 -1.00  2.00  0.00 -19.571 -19.650   2.620
   269 10500  2.50 -1.00  2.00  0.00 -19.544 -19.662   2.673
   270 10500  3.00 -1.00  2.00  0.00 -19.499 -19.658   2.729
   271 10500  3.50 -1.00  2.00  0.00 -19.441 -19.645   2.789
   272 10500  4.00 -1.00  2.00  0.00 -19.375 -19.625   2.850
   273 10500  4.50 -1.00  2.00  0.00 -19.306 -19.599   2.907
   274 10500  5.00 -1.00  2.00  0.00 -19.240 -19.567   2.951
   275 10750  2.00 -1.00  2.00  0.00 -19.630 -19.704   2.618
