        Teff log g  [M]a Vturb  l/H   small     big    beta
   123  6250  1.00  0.00  2.00  1.25 -17.607 -17.728   2.671
   124  6250  1.50  0.00  2.00  1.25 -17.584 -17.704   2.670
   125  6250  2.00  0.00  2.00  1.25 -17.563 -17.681   2.667
   126  6250  2.50  0.00  2.00  1.25 -17.545 -17.659   2.662
   127  6250  3.00  0.00  2.00  1.25 -17.529 -17.639   2.657
   128  6250  3.50  0.00  2.00  1.25 -17.517 -17.622   2.650
   129  6250  4.00  0.00  2.00  1.25 -17.508 -17.608   2.643
   130  6250  4.50  0.00  2.00  1.25 -17.503 -17.598   2.637
   131  6250  5.00  0.00  2.00  1.25 -17.501 -17.592   2.630
   132  6500  0.50  0.00  2.00  1.25 -17.841 -17.975   2.689
   133  6500  1.00  0.00  2.00  1.25 -17.811 -17.950   2.696
   134  6500  1.50  0.00  2.00  1.25 -17.787 -17.925   2.696
   135  6500  2.00  0.00  2.00  1.25 -17.762 -17.900   2.694
   136  6500  2.50  0.00  2.00  1.25 -17.739 -17.874   2.691
   137  6500  3.00  0.00  2.00  1.25 -17.720 -17.851   2.685
   138  6500  3.50  0.00  2.00  1.25 -17.704 -17.830   2.678
   139  6500  4.00  0.00  2.00  1.25 -17.691 -17.812   2.671
   140  6500  4.50  0.00  2.00  1.25 -17.682 -17.798   2.664
   141  6500  5.00  0.00  2.00  1.25 -17.678 -17.788   2.657
   142  6750  0.50  0.00  2.00  1.25 -18.040 -18.180   2.698
   143  6750  1.00  0.00  2.00  1.25 -18.002 -18.156   2.717
   144  6750  1.50  0.00  2.00  1.25 -17.972 -18.130   2.723
   145  6750  2.00  0.00  2.00  1.25 -17.945 -18.104   2.723
   146  6750  2.50  0.00  2.00  1.25 -17.919 -18.076   2.721
   147  6750  3.00  0.00  2.00  1.25 -17.895 -18.049   2.716
   148  6750  3.50  0.00  2.00  1.25 -17.875 -18.024   2.710
   149  6750  4.00  0.00  2.00  1.25 -17.858 -18.001   2.702
   150  6750  4.50  0.00  2.00  1.25 -17.845 -17.983   2.694
   151  6750  5.00  0.00  2.00  1.25 -17.837 -17.969   2.686
   152  7000  0.50  0.00  2.00  1.25 -18.228 -18.367   2.697
   153  7000  1.00  0.00  2.00  1.25 -18.184 -18.346   2.727
   154  7000  1.50  0.00  2.00  1.25 -18.145 -18.321   2.747
   155  7000  2.00  0.00  2.00  1.25 -18.113 -18.293   2.752
   156  7000  2.50  0.00  2.00  1.25 -18.086 -18.265   2.752
   157  7000  3.00  0.00  2.00  1.25 -18.058 -18.236   2.750
   158  7000  3.50  0.00  2.00  1.25 -18.033 -18.206   2.743
   159  7000  4.00  0.00  2.00  1.25 -18.011 -18.179   2.736
   160  7000  4.50  0.00  2.00  1.25 -17.994 -18.156   2.727
   161  7000  5.00  0.00  2.00  1.25 -17.982 -18.137   2.719
   162  7250  0.50  0.00  2.00  1.25 -18.407 -18.536   2.682
   163  7250  1.00  0.00  2.00  1.25 -18.357 -18.520   2.729
