        Teff log g  [M]  Vturb  l/H   small     big    beta
   156  7000  2.50  0.50  2.00  1.25 -18.107 -18.295   2.763
   157  7000  3.00  0.50  2.00  1.25 -18.081 -18.268   2.762
   158  7000  3.50  0.50  2.00  1.25 -18.057 -18.242   2.758
   159  7000  4.00  0.50  2.00  1.25 -18.038 -18.218   2.753
   160  7000  4.50  0.50  2.00  1.25 -18.023 -18.198   2.746
   161  7000  5.00  0.50  2.00  1.25 -18.012 -18.182   2.738
   162  7250  0.50  0.50  2.00  1.25 -18.438 -18.562   2.675
   163  7250  1.00  0.50  2.00  1.25 -18.387 -18.548   2.727
   164  7250  1.50  0.50  2.00  1.25 -18.340 -18.526   2.761
   165  7250  2.00  0.50  2.00  1.25 -18.297 -18.500   2.784
   166  7250  2.50  0.50  2.00  1.25 -18.262 -18.472   2.793
   167  7250  3.00  0.50  2.00  1.25 -18.234 -18.444   2.793
   168  7250  3.50  0.50  2.00  1.25 -18.208 -18.416   2.790
   169  7250  4.00  0.50  2.00  1.25 -18.184 -18.389   2.785
   170  7250  4.50  0.50  2.00  1.25 -18.165 -18.364   2.779
   171  7250  5.00  0.50  2.00  1.25 -18.151 -18.344   2.771
   172  7500  0.50  0.50  2.00  1.25 -18.598 -18.695   2.638
   173  7500  1.00  0.50  2.00  1.25 -18.552 -18.705   2.715
   174  7500  1.50  0.50  2.00  1.25 -18.501 -18.687   2.761
   175  7500  2.00  0.50  2.00  1.25 -18.453 -18.664   2.795
   176  7500  2.50  0.50  2.00  1.25 -18.409 -18.637   2.817
   177  7500  3.00  0.50  2.00  1.25 -18.374 -18.607   2.824
   178  7500  3.50  0.50  2.00  1.25 -18.346 -18.577   2.822
   179  7500  4.00  0.50  2.00  1.25 -18.319 -18.548   2.819
   180  7500  4.50  0.50  2.00  1.25 -18.296 -18.520   2.813
   181  7500  5.00  0.50  2.00  1.25 -18.277 -18.496   2.805
   182  7750  1.00  0.50  2.00  1.25 -18.709 -18.844   2.691
   183  7750  1.50  0.50  2.00  1.25 -18.654 -18.834   2.752
   184  7750  2.00  0.50  2.00  1.25 -18.601 -18.814   2.797
   185  7750  2.50  0.50  2.00  1.25 -18.552 -18.788   2.830
   186  7750  3.00  0.50  2.00  1.25 -18.507 -18.759   2.850
   187  7750  3.50  0.50  2.00  1.25 -18.473 -18.727   2.854
   188  7750  4.00  0.50  2.00  1.25 -18.444 -18.696   2.852
   189  7750  4.50  0.50  2.00  1.25 -18.417 -18.666   2.846
   190  7750  5.00  0.50  2.00  1.25 -18.394 -18.637   2.839
   191  8000  1.00  0.50  2.00  1.25 -18.850 -18.958   2.655
   192  8000  1.50  0.50  2.00  1.25 -18.800 -18.966   2.733
   193  8000  2.00  0.50  2.00  1.25 -18.743 -18.951   2.789
   194  8000  2.50  0.50  2.00  1.25 -18.688 -18.927   2.833
   195  8000  3.00  0.50  2.00  1.25 -18.637 -18.899   2.864
   196  8000  3.50  0.50  2.00  1.25 -18.592 -18.867   2.881
   197  8000  4.00  0.50  2.00  1.25 -18.559 -18.834   2.883
   198  8000  4.50  0.50  2.00  1.25 -18.529 -18.801   2.879
   199  8000  5.00  0.50  2.00  1.25 -18.502 -18.770   2.872
   200  8250  1.00  0.50  2.00  1.25 -18.965 -19.045   2.615
   201  8250  1.50  0.50  2.00  1.25 -18.937 -19.081   2.704
   202  8250  2.00  0.50  2.00  1.25 -18.879 -19.073   2.772
   203  8250  2.50  0.50  2.00  1.25 -18.819 -19.054   2.827
   204  8250  3.00  0.50  2.00  1.25 -18.763 -19.028   2.869
   205  8250  3.50  0.50  2.00  1.25 -18.710 -18.996   2.897
   206  8250  4.00  0.50  2.00  1.25 -18.666 -18.961   2.910
   207  8250  4.50  0.50  2.00  1.25 -18.633 -18.928   2.909
   208  8250  5.00  0.50  2.00  1.25 -18.604 -18.895   2.904
   209  8500  1.50  0.50  2.00  1.25 -19.060 -19.181   2.673
   210  8500  2.00  0.50  2.00  1.25 -19.007 -19.183   2.747
   211  8500  2.50  0.50  2.00  1.25 -18.945 -19.167   2.810
   212  8500  3.00  0.50  2.00  1.25 -18.883 -19.143   2.862
   213  8500  3.50  0.50  2.00  1.25 -18.825 -19.115   2.903
   214  8500  4.00  0.50  2.00  1.25 -18.772 -19.080   2.927
   215  8500  4.50  0.50  2.00  1.25 -18.731 -19.044   2.935
   216  8500  5.00  0.50  2.00  1.25 -18.699 -19.011   2.932
   217  8750  1.50  0.50  2.00  1.25 -19.167 -19.268   2.644
   218  8750  2.00  0.50  2.00  1.25 -19.125 -19.281   2.720
   219  8750  2.50  0.50  2.00  1.25 -19.064 -19.270   2.789
   220  8750  3.00  0.50  2.00  1.25 -18.999 -19.250   2.849
   221  8750  3.50  0.50  2.00  1.25 -18.936 -19.222   2.898
   222  8750  4.00  0.50  2.00  1.25 -18.878 -19.190   2.932
   223  8750  4.50  0.50  2.00  1.25 -18.826 -19.153   2.954
   224  8750  5.00  0.50  2.00  1.25 -18.788 -19.117   2.956
   225  9000  1.50  0.50  2.00  0.00 -19.260 -19.344   2.621
   226  9000  2.00  0.50  2.00  0.00 -19.232 -19.369   2.693
   227  9000  2.50  0.50  2.00  0.00 -19.175 -19.364   2.764
   228  9000  3.00  0.50  2.00  0.00 -19.109 -19.346   2.830
   229  9000  3.50  0.50  2.00  0.00 -19.042 -19.321   2.888
   230  9000  4.00  0.50  2.00  0.00 -18.979 -19.290   2.931
   231  9000  4.50  0.50  2.00  0.00 -18.922 -19.254   2.960
   232  9000  5.00  0.50  2.00  0.00 -18.874 -19.215   2.972
   233  9250  2.00  0.50  2.00  0.00 -19.327 -19.448   2.672
   234  9250  2.50  0.50  2.00  0.00 -19.277 -19.448   2.740
   235  9250  3.00  0.50  2.00  0.00 -19.213 -19.434   2.808
   236  9250  3.50  0.50  2.00  0.00 -19.144 -19.411   2.871
   237  9250  4.00  0.50  2.00  0.00 -19.077 -19.382   2.923
   238  9250  4.50  0.50  2.00  0.00 -19.015 -19.347   2.961
   239  9250  5.00  0.50  2.00  0.00 -18.961 -19.309   2.982
   240  9500  2.00  0.50  2.00  0.00 -19.413 -19.521   2.655
   241  9500  2.50  0.50  2.00  0.00 -19.369 -19.525   2.719
   242  9500  3.00  0.50  2.00  0.00 -19.309 -19.513   2.786
