        Teff log g  [M]  Vturb  l/H   small     big    beta
   231  9000  4.50  0.50  2.00  0.00 -18.912 -19.238   2.951
   232  9000  5.00  0.50  2.00  0.00 -18.864 -19.199   2.964
   233  9250  2.00  0.50  2.00  0.00 -19.316 -19.436   2.670
   234  9250  2.50  0.50  2.00  0.00 -19.265 -19.435   2.738
   235  9250  3.00  0.50  2.00  0.00 -19.201 -19.419   2.804
   236  9250  3.50  0.50  2.00  0.00 -19.133 -19.396   2.865
   237  9250  4.00  0.50  2.00  0.00 -19.067 -19.366   2.916
   238  9250  4.50  0.50  2.00  0.00 -19.006 -19.332   2.952
   239  9250  5.00  0.50  2.00  0.00 -18.952 -19.293   2.972
   240  9500  2.00  0.50  2.00  0.00 -19.403 -19.510   2.654
   241  9500  2.50  0.50  2.00  0.00 -19.357 -19.512   2.718
   242  9500  3.00  0.50  2.00  0.00 -19.295 -19.498   2.785
   243  9500  3.50  0.50  2.00  0.00 -19.227 -19.477   2.848
   244  9500  4.00  0.50  2.00  0.00 -19.158 -19.449   2.904
   245  9500  4.50  0.50  2.00  0.00 -19.095 -19.417   2.946
   246  9500  5.00  0.50  2.00  0.00 -19.038 -19.380   2.974
   247  9750  2.00  0.50  2.00  0.00 -19.482 -19.580   2.640
   248  9750  2.50  0.50  2.00  0.00 -19.441 -19.584   2.701
   249  9750  3.00  0.50  2.00  0.00 -19.382 -19.572   2.766
   250  9750  3.50  0.50  2.00  0.00 -19.314 -19.552   2.831
   251  9750  4.00  0.50  2.00  0.00 -19.244 -19.525   2.890
   252  9750  4.50  0.50  2.00  0.00 -19.178 -19.494   2.938
   253  9750  5.00  0.50  2.00  0.00 -19.119 -19.459   2.971
   254 10000  2.00  0.50  2.00  0.00 -19.556 -19.645   2.628
   255 10000  2.50  0.50  2.00  0.00 -19.520 -19.652   2.687
   256 10000  3.00  0.50  2.00  0.00 -19.464 -19.642   2.749
   257 10000  3.50  0.50  2.00  0.00 -19.396 -19.622   2.814
   258 10000  4.00  0.50  2.00  0.00 -19.325 -19.596   2.876
   259 10000  4.50  0.50  2.00  0.00 -19.257 -19.565   2.928
   260 10000  5.00  0.50  2.00  0.00 -19.195 -19.531   2.965
   261 10250  2.00  0.50  2.00  0.00 -19.626 -19.707   2.618
   262 10250  2.50  0.50  2.00  0.00 -19.593 -19.717   2.675
   263 10250  3.00  0.50  2.00  0.00 -19.540 -19.707   2.735
   264 10250  3.50  0.50  2.00  0.00 -19.475 -19.688   2.798
   265 10250  4.00  0.50  2.00  0.00 -19.403 -19.662   2.861
   266 10250  4.50  0.50  2.00  0.00 -19.331 -19.632   2.917
   267 10250  5.00  0.50  2.00  0.00 -19.267 -19.598   2.958
   268 10500  2.00  0.50  2.00  0.00 -19.691 -19.766   2.616
   269 10500  2.50  0.50  2.00  0.00 -19.663 -19.778   2.669
   270 10500  3.00  0.50  2.00  0.00 -19.612 -19.769   2.726
   271 10500  3.50  0.50  2.00  0.00 -19.548 -19.751   2.787
   272 10500  4.00  0.50  2.00  0.00 -19.477 -19.726   2.848
   273 10500  4.50  0.50  2.00  0.00 -19.404 -19.695   2.905
   274 10500  5.00  0.50  2.00  0.00 -19.336 -19.661   2.950
   275 10750  2.00  0.50  2.00  0.00 -19.753 -19.822   2.613
   276 10750  2.50  0.50  2.00  0.00 -19.728 -19.836   2.664
   277 10750  3.00  0.50  2.00  0.00 -19.680 -19.829   2.717
   278 10750  3.50  0.50  2.00  0.00 -19.619 -19.811   2.775
   279 10750  4.00  0.50  2.00  0.00 -19.548 -19.786   2.835
   280 10750  4.50  0.50  2.00  0.00 -19.474 -19.756   2.893
   281 10750  5.00  0.50  2.00  0.00 -19.403 -19.722   2.940
   282 11000  2.00  0.50  2.00  0.00 -19.811 -19.876   2.608
   283 11000  2.50  0.50  2.00  0.00 -19.790 -19.891   2.657
   284 11000  3.00  0.50  2.00  0.00 -19.744 -19.885   2.708
   285 11000  3.50  0.50  2.00  0.00 -19.685 -19.868   2.764
   286 11000  4.00  0.50  2.00  0.00 -19.616 -19.844   2.823
   287 11000  4.50  0.50  2.00  0.00 -19.542 -19.814   2.880
   288 11000  5.00  0.50  2.00  0.00 -19.469 -19.780   2.930
   289 11250  2.00  0.50  2.00  0.00 -19.867 -19.927   2.603
   290 11250  2.50  0.50  2.00  0.00 -19.848 -19.944   2.650
   291 11250  3.00  0.50  2.00  0.00 -19.806 -19.939   2.699
   292 11250  3.50  0.50  2.00  0.00 -19.748 -19.923   2.753
   293 11250  4.00  0.50  2.00  0.00 -19.681 -19.899   2.810
   294 11250  4.50  0.50  2.00  0.00 -19.607 -19.870   2.868
   295 11250  5.00  0.50  2.00  0.00 -19.533 -19.836   2.920
   296 11500  2.00  0.50  2.00  0.00 -19.920 -19.976   2.597
   297 11500  2.50  0.50  2.00  0.00 -19.904 -19.994   2.643
   298 11500  3.00  0.50  2.00  0.00 -19.863 -19.991   2.691
   299 11500  3.50  0.50  2.00  0.00 -19.809 -19.975   2.742
   300 11500  4.00  0.50  2.00  0.00 -19.743 -19.952   2.798
   301 11500  4.50  0.50  2.00  0.00 -19.670 -19.923   2.855
   302 11500  5.00  0.50  2.00  0.00 -19.595 -19.889   2.909
   303 11750  2.00  0.50  2.00  0.00 -19.971 -20.023   2.592
   304 11750  2.50  0.50  2.00  0.00 -19.957 -20.043   2.637
   305 11750  3.00  0.50  2.00  0.00 -19.919 -20.040   2.683
   306 11750  3.50  0.50  2.00  0.00 -19.866 -20.026   2.733
   307 11750  4.00  0.50  2.00  0.00 -19.803 -20.003   2.787
   308 11750  4.50  0.50  2.00  0.00 -19.731 -19.975   2.843
   309 11750  5.00  0.50  2.00  0.00 -19.656 -19.941   2.898
   310 12000  2.50  0.50  2.00  0.00 -20.008 -20.089   2.631
   311 12000  3.00  0.50  2.00  0.00 -19.971 -20.087   2.676
   312 12000  3.50  0.50  2.00  0.00 -19.921 -20.074   2.725
   313 12000  4.00  0.50  2.00  0.00 -19.859 -20.053   2.777
   314 12000  4.50  0.50  2.00  0.00 -19.790 -20.025   2.832
   315 12000  5.00  0.50  2.00  0.00 -19.715 -19.992   2.886
   316 12250  2.50  0.50  2.00  0.00 -20.057 -20.134   2.626
   317 12250  3.00  0.50  2.00  0.00 -20.022 -20.133   2.670
   318 12250  3.50  0.50  2.00  0.00 -19.973 -20.120   2.717
   319 12250  4.00  0.50  2.00  0.00 -19.914 -20.100   2.768
   320 12250  4.50  0.50  2.00  0.00 -19.846 -20.073   2.822
   321 12250  5.00  0.50  2.00  0.00 -19.772 -20.040   2.875
   322 12500  2.50  0.50  2.00  0.00 -20.104 -20.178   2.621
   323 12500  3.00  0.50  2.00  0.00 -20.070 -20.177   2.664
   324 12500  3.50  0.50  2.00  0.00 -20.023 -20.165   2.710
   325 12500  4.00  0.50  2.00  0.00 -19.966 -20.145   2.759
   326 12500  4.50  0.50  2.00  0.00 -19.900 -20.119   2.811
   327 12500  5.00  0.50  2.00  0.00 -19.827 -20.087   2.864
   328 12750  2.50  0.50  2.00  0.00 -20.149 -20.220   2.617
   329 12750  3.00  0.50  2.00  0.00 -20.117 -20.219   2.659
   330 12750  3.50  0.50  2.00  0.00 -20.071 -20.208   2.703
   331 12750  4.00  0.50  2.00  0.00 -20.016 -20.190   2.751
   332 12750  4.50  0.50  2.00  0.00 -19.952 -20.164   2.802
   333 12750  5.00  0.50  2.00  0.00 -19.881 -20.132   2.854
   334 13000  2.50  0.50  2.00  0.00 -20.193 -20.261   2.613
   335 13000  3.00  0.50  2.00  0.00 -20.162 -20.261   2.654
   336 13000  3.50  0.50  2.00  0.00 -20.118 -20.250   2.697
   337 13000  4.00  0.50  2.00  0.00 -20.064 -20.232   2.744
   338 13000  4.50  0.50  2.00  0.00 -20.002 -20.207   2.793
   339 13000  5.00  0.50  2.00  0.00 -19.932 -20.176   2.844
   340 14000  2.00  0.50  2.00  0.00 -20.363 -20.388   2.558
   341 14000  2.50  0.50  2.00  0.00 -20.358 -20.414   2.598
   342 14000  3.00  0.50  2.00  0.00 -20.328 -20.414   2.637
   343 14000  3.50  0.50  2.00  0.00 -20.288 -20.405   2.678
   344 14000  4.00  0.50  2.00  0.00 -20.240 -20.389   2.720
   345 14000  4.50  0.50  2.00  0.00 -20.184 -20.367   2.765
   346 14000  5.00  0.50  2.00  0.00 -20.120 -20.338   2.810
   347 15000  2.50  0.50  2.00  0.00 -20.509 -20.555   2.586
   348 15000  3.00  0.50  2.00  0.00 -20.479 -20.554   2.623
   349 15000  3.50  0.50  2.00  0.00 -20.441 -20.545   2.662
   350 15000  4.00  0.50  2.00  0.00 -20.396 -20.532   2.702
   351 15000  4.50  0.50  2.00  0.00 -20.345 -20.512   2.743
   352 15000  5.00  0.50  2.00  0.00 -20.286 -20.484   2.784
   353 16000  2.50  0.50  2.00  0.00 -20.650 -20.689   2.575
   354 16000  3.00  0.50  2.00  0.00 -20.618 -20.684   2.611
   355 16000  3.50  0.50  2.00  0.00 -20.580 -20.675   2.648
   356 16000  4.00  0.50  2.00  0.00 -20.538 -20.662   2.687
   357 16000  4.50  0.50  2.00  0.00 -20.490 -20.644   2.726
   358 16000  5.00  0.50  2.00  0.00 -20.434 -20.617   2.764
   359 17000  2.50  0.50  2.00  0.00 -20.784 -20.815   2.565
   360 17000  3.00  0.50  2.00  0.00 -20.748 -20.806   2.601
   361 17000  3.50  0.50  2.00  0.00 -20.710 -20.795   2.636
   362 17000  4.00  0.50  2.00  0.00 -20.669 -20.783   2.674
   363 17000  4.50  0.50  2.00  0.00 -20.624 -20.768   2.712
   364 17000  5.00  0.50  2.00  0.00 -20.570 -20.742   2.749
   365 18000  2.50  0.50  2.00  0.00 -20.911 -20.934   2.555
   366 18000  3.00  0.50  2.00  0.00 -20.871 -20.922   2.592
   367 18000  3.50  0.50  2.00  0.00 -20.831 -20.908   2.626
   368 18000  4.00  0.50  2.00  0.00 -20.792 -20.897   2.661
   369 18000  4.50  0.50  2.00  0.00 -20.750 -20.883   2.699
   370 18000  5.00  0.50  2.00  0.00 -20.698 -20.859   2.735
   371 19000  2.50  0.50  2.00  0.00 -21.030 -21.045   2.545
   372 19000  3.00  0.50  2.00  0.00 -20.989 -21.034   2.583
   373 19000  3.50  0.50  2.00  0.00 -20.945 -21.015   2.616
   374 19000  4.00  0.50  2.00  0.00 -20.907 -21.003   2.650
   375 19000  4.50  0.50  2.00  0.00 -20.868 -20.991   2.686
   376 19000  5.00  0.50  2.00  0.00 -20.819 -20.970   2.721
   377 20000  3.00  0.50  2.00  0.00 -21.103 -21.142   2.575
   378 20000  3.50  0.50  2.00  0.00 -21.054 -21.117   2.608
   379 20000  4.00  0.50  2.00  0.00 -21.015 -21.103   2.640
   380 20000  4.50  0.50  2.00  0.00 -20.978 -21.091   2.673
   381 20000  5.00  0.50  2.00  0.00 -20.934 -21.074   2.708
   382 21000  3.00  0.50  2.00  0.00 -21.212 -21.244   2.567
   383 21000  3.50  0.50  2.00  0.00 -21.158 -21.216   2.600
   384 21000  4.00  0.50  2.00  0.00 -21.116 -21.197   2.630
   385 21000  4.50  0.50  2.00  0.00 -21.080 -21.185   2.662
   386 21000  5.00  0.50  2.00  0.00 -21.041 -21.170   2.694
