        Teff log g  [M]a Vturb  l/H   small     big    beta
   150  6750  4.50 -2.00  2.00  1.25 -17.726 -17.839   2.661
   151  6750  5.00 -2.00  2.00  1.25 -17.712 -17.819   2.653
   152  7000  0.50 -2.00  2.00  1.25 -18.168 -18.304   2.692
   153  7000  1.00 -2.00  2.00  1.25 -18.124 -18.278   2.717
   154  7000  1.50 -2.00  2.00  1.25 -18.084 -18.247   2.729
   155  7000  2.00 -2.00  2.00  1.25 -18.050 -18.214   2.730
   156  7000  2.50 -2.00  2.00  1.25 -18.012 -18.175   2.729
   157  7000  3.00 -2.00  2.00  1.25 -17.974 -18.133   2.724
   158  7000  3.50 -2.00  2.00  1.25 -17.938 -18.091   2.716
   159  7000  4.00 -2.00  2.00  1.25 -17.906 -18.052   2.706
   160  7000  4.50 -2.00  2.00  1.25 -17.879 -18.017   2.695
   161  7000  5.00 -2.00  2.00  1.25 -17.859 -17.990   2.685
   162  7250  0.50 -2.00  2.00  1.25 -18.348 -18.477   2.682
   163  7250  1.00 -2.00  2.00  1.25 -18.297 -18.455   2.722
   164  7250  1.50 -2.00  2.00  1.25 -18.250 -18.427   2.748
   165  7250  2.00 -2.00  2.00  1.25 -18.208 -18.394   2.760
   166  7250  2.50 -2.00  2.00  1.25 -18.170 -18.357   2.762
   167  7250  3.00 -2.00  2.00  1.25 -18.130 -18.315   2.759
   168  7250  3.50 -2.00  2.00  1.25 -18.090 -18.271   2.753
   169  7250  4.00 -2.00  2.00  1.25 -18.054 -18.227   2.743
   170  7250  4.50 -2.00  2.00  1.25 -18.022 -18.187   2.732
   171  7250  5.00 -2.00  2.00  1.25 -17.997 -18.154   2.720
   172  7500  0.50 -2.00  2.00  1.25 -18.516 -18.624   2.653
   173  7500  1.00 -2.00  2.00  1.25 -18.462 -18.615   2.716
   174  7500  1.50 -2.00  2.00  1.25 -18.410 -18.591   2.754
   175  7500  2.00 -2.00  2.00  1.25 -18.360 -18.560   2.780
   176  7500  2.50 -2.00  2.00  1.25 -18.315 -18.524   2.792
   177  7500  3.00 -2.00  2.00  1.25 -18.275 -18.485   2.793
   178  7500  3.50 -2.00  2.00  1.25 -18.233 -18.440   2.790
   179  7500  4.00 -2.00  2.00  1.25 -18.193 -18.394   2.781
   180  7500  4.50 -2.00  2.00  1.25 -18.157 -18.350   2.770
   181  7500  5.00 -2.00  2.00  1.25 -18.127 -18.311   2.758
   182  7750  1.00 -2.00  2.00  1.25 -18.616 -18.755   2.695
   183  7750  1.50 -2.00  2.00  1.25 -18.560 -18.738   2.749
   184  7750  2.00 -2.00  2.00  1.25 -18.506 -18.712   2.787
   185  7750  2.50 -2.00  2.00  1.25 -18.454 -18.678   2.813
   186  7750  3.00 -2.00  2.00  1.25 -18.408 -18.640   2.823
   187  7750  3.50 -2.00  2.00  1.25 -18.367 -18.599   2.824
   188  7750  4.00 -2.00  2.00  1.25 -18.324 -18.553   2.819
   189  7750  4.50 -2.00  2.00  1.25 -18.285 -18.506   2.809
   190  7750  5.00 -2.00  2.00  1.25 -18.250 -18.462   2.796
   191  8000  1.00 -2.00  2.00  1.25 -18.756 -18.869   2.661
   192  8000  1.50 -2.00  2.00  1.25 -18.702 -18.868   2.733
   193  8000  2.00 -2.00  2.00  1.25 -18.644 -18.847   2.784
   194  8000  2.50 -2.00  2.00  1.25 -18.587 -18.817   2.821
   195  8000  3.00 -2.00  2.00  1.25 -18.534 -18.781   2.845
   196  8000  3.50 -2.00  2.00  1.25 -18.489 -18.743   2.854
   197  8000  4.00 -2.00  2.00  1.25 -18.447 -18.701   2.853
   198  8000  4.50 -2.00  2.00  1.25 -18.405 -18.653   2.846
   199  8000  5.00 -2.00  2.00  1.25 -18.367 -18.606   2.834
   200  8250  1.00 -2.00  2.00  1.25 -18.869 -18.952   2.620
   201  8250  1.50 -2.00  2.00  1.25 -18.833 -18.980   2.707
   202  8250  2.00 -2.00  2.00  1.25 -18.774 -18.967   2.770
   203  8250  2.50 -2.00  2.00  1.25 -18.713 -18.942   2.819
   204  8250  3.00 -2.00  2.00  1.25 -18.655 -18.909   2.854
   205  8250  3.50 -2.00  2.00  1.25 -18.602 -18.872   2.875
   206  8250  4.00 -2.00  2.00  1.25 -18.559 -18.834   2.882
   207  8250  4.50 -2.00  2.00  1.25 -18.518 -18.791   2.880
   208  8250  5.00 -2.00  2.00  1.25 -18.477 -18.743   2.870
   209  8500  1.50 -2.00  2.00  1.25 -18.950 -19.074   2.675
   210  8500  2.00 -2.00  2.00  1.25 -18.895 -19.072   2.748
   211  8500  2.50 -2.00  2.00  1.25 -18.832 -19.053   2.808
   212  8500  3.00 -2.00  2.00  1.25 -18.770 -19.024   2.854
   213  8500  3.50 -2.00  2.00  1.25 -18.712 -18.989   2.886
   214  8500  4.00 -2.00  2.00  1.25 -18.662 -18.951   2.902
   215  8500  4.50 -2.00  2.00  1.25 -18.622 -18.915   2.907
   216  8500  5.00 -2.00  2.00  1.25 -18.581 -18.871   2.903
   217  8750  1.50 -2.00  2.00  1.25 -19.050 -19.153   2.646
   218  8750  2.00 -2.00  2.00  1.25 -19.006 -19.164   2.722
   219  8750  2.50 -2.00  2.00  1.25 -18.944 -19.151   2.789
   220  8750  3.00 -2.00  2.00  1.25 -18.879 -19.127   2.846
   221  8750  3.50 -2.00  2.00  1.25 -18.816 -19.096   2.888
   222  8750  4.00 -2.00  2.00  1.25 -18.761 -19.059   2.914
   223  8750  4.50 -2.00  2.00  1.25 -18.715 -19.022   2.926
   224  8750  5.00 -2.00  2.00  1.25 -18.677 -18.987   2.929
