ITLE SDSC GRID  [+0.0]   VTURB 8.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.57860214E+02   3467.6 4.577E+02 2.673E+10 1.447E-03 6.268E-04 8.000E+05 9.684E-14 0.000E+00
5.05662794E+02   3550.8 5.055E+02 3.519E+10 1.881E-03 7.627E-04 8.000E+05 7.281E-13 0.000E+00
5.54592947E+02   3645.1 5.544E+02 4.644E+10 2.451E-03 9.323E-04 8.000E+05 1.556E-12 0.000E+00
6.04809768E+02   3752.4 6.045E+02 6.099E+10 3.168E-03 1.133E-03 8.000E+05 2.042E-12 0.000E+00
6.57124154E+02   3873.4 6.568E+02 7.881E+10 4.003E-03 1.351E-03 8.000E+05 2.377E-12 3.325E+01
7.13338893E+02   4010.7 7.129E+02 9.940E+10 4.892E-03 1.566E-03 8.000E+05 3.404E-12 9.907E+01
7.76174051E+02   4163.7 7.756E+02 1.215E+11 5.684E-03 1.738E-03 8.000E+05 1.471E-11 1.454E+02
8.50481522E+02   4339.2 8.498E+02 1.444E+11 6.242E-03 1.834E-03 8.000E+05 1.386E-09 1.291E+02
9.42482273E+02   4533.5 9.416E+02 1.689E+11 6.652E-03 1.903E-03 8.000E+05 9.323E-07 1.010E+02
1.05577576E+03   4760.7 1.055E+03 2.075E+11 7.377E-03 2.033E-03 8.000E+05 6.480E-03 1.270E+02
1.18296767E+03   5000.0 1.182E+03 2.963E+11 9.544E-03 2.470E-03 8.000E+05 6.532E-02 4.074E+02
1.30265820E+03   5255.7 1.301E+03 5.053E+11 1.475E-02 3.704E-03 8.000E+05 8.854E-02 2.096E+03
1.39777481E+03   5553.6 1.396E+03 1.012E+12 2.640E-02 6.397E-03 8.000E+05 1.209E-01 8.424E+03
1.46709661E+03   5864.8 1.464E+03 2.076E+12 4.902E-02 1.138E-02 8.000E+05 1.642E-01 2.916E+04
1.51532645E+03   6213.8 1.512E+03 4.388E+12 9.599E-02 2.098E-02 8.000E+05 2.191E-01 7.050E+04
1.54857753E+03   6564.3 1.544E+03 8.677E+12 1.839E-01 3.641E-02 8.000E+05 2.906E-01 1.034E+05
1.57147575E+03   6930.2 1.566E+03 1.647E+13 3.559E-01 5.960E-02 8.000E+05 3.850E-01 2.698E+05
1.58790937E+03   7250.5 1.581E+03 2.735E+13 6.271E-01 7.115E-02 8.000E+05 5.982E-01 4.247E+05
