5.69540200E+00   7972.9 1.560E+05 7.644E+14 8.224E+00 8.477E+00 1.500E+05 4.951E-01 2.047E+05
5.88311058E+00   8269.7 1.612E+05 1.111E+15 1.187E+01 8.558E+00 1.500E+05 6.639E-01 2.233E+05
6.06396589E+00   8509.0 1.661E+05 1.480E+15 1.587E+01 7.947E+00 1.500E+05 7.633E-01 2.265E+05
6.24747200E+00   8726.5 1.711E+05 1.897E+15 2.054E+01 7.374E+00 1.500E+05 8.287E-01 2.257E+05
6.44011561E+00   8918.7 1.764E+05 2.344E+15 2.570E+01 6.940E+00 1.500E+05 8.727E-01 2.249E+05
6.64575262E+00   9110.8 1.821E+05 2.873E+15 3.198E+01 6.535E+00 1.500E+05 9.031E-01 2.214E+05
6.86935621E+00   9282.8 1.882E+05 3.432E+15 3.876E+01 6.107E+00 1.500E+05 9.252E-01 2.182E+05
7.11467438E+00   9465.9 1.949E+05 4.117E+15 4.722E+01 5.821E+00 1.500E+05 9.418E-01 2.148E+05
7.38669499E+00   9630.9 2.024E+05 4.839E+15 5.615E+01 5.402E+00 1.500E+05 9.542E-01 2.104E+05
7.69014540E+00   9812.2 2.107E+05 5.738E+15 6.746E+01 5.171E+00 1.500E+05 9.638E-01 2.072E+05
8.03095818E+00   9976.4 2.200E+05 6.686E+15 7.931E+01 5.099E+00 1.500E+05 9.696E-01 2.030E+05
RADK 1.4826E+00
EGIN                    ITERATION  15 COMPLETED
