
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   77  5000  5.00 -0.50  2.00  1.25  0.00 -14.952 -14.930 -15.807 -16.285 -16.282   2.135   2.136   0.497   0.411   0.319   0.319
   78  5250  0.00 -0.50  2.00  1.25  0.00 -14.824 -14.805 -16.134 -16.565 -16.604   2.543   2.540   0.539   0.321   0.822   0.818
   79  5250  0.50 -0.50  2.00  1.25  0.00 -14.990 -14.972 -16.180 -16.578 -16.599   2.390   2.387   0.521   0.307   0.733   0.729
   80  5250  1.00 -0.50  2.00  1.25  0.00 -15.143 -15.124 -16.217 -16.587 -16.594   2.246   2.243   0.507   0.293   0.645   0.642
   81  5250  1.50 -0.50  2.00  1.25  0.00 -15.274 -15.254 -16.243 -16.591 -16.588   2.120   2.117   0.497   0.281   0.563   0.561
   82  5250  2.00 -0.50  2.00  1.25  0.00 -15.379 -15.359 -16.260 -16.592 -16.582   2.015   2.013   0.489   0.272   0.490   0.488
   83  5250  2.50 -0.50  2.00  1.25  0.00 -15.461 -15.440 -16.268 -16.592 -16.576   1.934   1.932   0.484   0.269   0.425   0.424
   84  5250  3.00 -0.50  2.00  1.25  0.00 -15.518 -15.498 -16.270 -16.592 -16.572   1.876   1.875   0.480   0.272   0.371   0.369
   85  5250  3.50 -0.50  2.00  1.25  0.00 -15.553 -15.532 -16.267 -16.594 -16.570   1.844   1.843   0.475   0.281   0.328   0.327
   86  5250  4.00 -0.50  2.00  1.25  0.00 -15.565 -15.544 -16.260 -16.599 -16.569   1.836   1.835   0.470   0.298   0.298   0.297
   87  5250  4.50 -0.50  2.00  1.25  0.00 -15.553 -15.532 -16.249 -16.605 -16.570   1.854   1.854   0.465   0.321   0.281   0.280
   88  5250  5.00 -0.50  2.00  1.25  0.00 -15.524 -15.503 -16.236 -16.612 -16.571   1.890   1.890   0.459   0.347   0.277   0.277
   89  5500  0.00 -0.50  2.00  1.25  0.00 -15.297 -15.278 -16.631 -16.928 -16.884   2.433   2.430   0.456   0.271   0.979   0.976
   90  5500  0.50 -0.50  2.00  1.25  0.00 -15.444 -15.425 -16.651 -16.926 -16.873   2.284   2.281   0.447   0.257   0.874   0.871
   91  5500  1.00 -0.50  2.00  1.25  0.00 -15.586 -15.566 -16.667 -16.922 -16.863   2.138   2.136   0.441   0.244   0.768   0.766
   92  5500  1.50 -0.50  2.00  1.25  0.00 -15.712 -15.692 -16.676 -16.917 -16.853   2.007   2.004   0.436   0.233   0.666   0.664
   93  5500  2.00 -0.50  2.00  1.25  0.00 -15.819 -15.799 -16.679 -16.910 -16.844   1.892   1.890   0.434   0.226   0.570   0.568
   94  5500  2.50 -0.50  2.00  1.25  0.00 -15.907 -15.886 -16.676 -16.903 -16.836   1.798   1.796   0.433   0.223   0.485   0.483
   95  5500  3.00 -0.50  2.00  1.25  0.00 -15.973 -15.953 -16.669 -16.897 -16.830   1.726   1.725   0.432   0.225   0.410   0.408
   96  5500  3.50 -0.50  2.00  1.25  0.00 -16.019 -15.999 -16.660 -16.894 -16.825   1.677   1.675   0.431   0.232   0.348   0.347
   97  5500  4.00 -0.50  2.00  1.25  0.00 -16.044 -16.023 -16.648 -16.894 -16.824   1.652   1.651   0.430   0.245   0.300   0.298
   98  5500  4.50 -0.50  2.00  1.25  0.00 -16.046 -16.025 -16.634 -16.897 -16.825   1.653   1.652   0.428   0.265   0.266   0.265
   99  5500  5.00 -0.50  2.00  1.25  0.00 -16.029 -16.008 -16.618 -16.903 -16.827   1.675   1.675   0.424   0.289   0.246   0.246
  100  5750  0.00 -0.50  2.00  1.25  0.00 -15.682 -15.662 -17.073 -17.257 -17.137   2.377   2.375   0.380   0.233   1.150   1.148
  101  5750  0.50 -0.50  2.00  1.25  0.00 -15.810 -15.790 -17.073 -17.243 -17.123   2.235   2.233   0.379   0.220   1.034   1.032
  102  5750  1.00 -0.50  2.00  1.25  0.00 -15.942 -15.922 -17.072 -17.230 -17.109   2.089   2.087   0.380   0.207   0.913   0.912
  103  5750  1.50 -0.50  2.00  1.25  0.00 -16.067 -16.047 -17.067 -17.215 -17.096   1.950   1.948   0.381   0.197   0.793   0.791
  104  5750  2.00 -0.50  2.00  1.25  0.00 -16.179 -16.159 -17.058 -17.201 -17.084   1.824   1.822   0.383   0.190   0.677   0.675
  105  5750  2.50 -0.50  2.00  1.25  0.00 -16.275 -16.254 -17.044 -17.187 -17.073   1.715   1.713   0.386   0.186   0.569   0.567
  106  5750  3.00 -0.50  2.00  1.25  0.00 -16.352 -16.332 -17.029 -17.176 -17.063   1.625   1.624   0.388   0.188   0.472   0.470
  107  5750  3.50 -0.50  2.00  1.25  0.00 -16.412 -16.391 -17.013 -17.167 -17.057   1.557   1.555   0.390   0.193   0.388   0.387
  108  5750  4.00 -0.50  2.00  1.25  0.00 -16.452 -16.431 -16.996 -17.162 -17.053   1.512   1.511   0.391   0.204   0.320   0.318
  109  5750  4.50 -0.50  2.00  1.25  0.00 -16.471 -16.450 -16.979 -17.161 -17.053   1.492   1.491   0.392   0.219   0.267   0.266
  110  5750  5.00 -0.50  2.00  1.25  0.00 -16.469 -16.448 -16.961 -17.164 -17.055   1.496   1.495   0.391   0.240   0.231   0.231
  111  6000  0.00 -0.50  2.00  1.25  0.00 -16.004 -15.983 -17.479 -17.557 -17.365   2.355   2.353   0.309   0.198   1.340   1.338
  112  6000  0.50 -0.50  2.00  1.25  0.00 -16.112 -16.091 -17.454 -17.535 -17.352   2.225   2.224   0.317   0.193   1.203   1.201
  113  6000  1.00 -0.50  2.00  1.25  0.00 -16.233 -16.213 -17.438 -17.515 -17.338   2.083   2.082   0.323   0.183   1.069   1.068
  114  6000  1.50 -0.50  2.00  1.25  0.00 -16.356 -16.335 -17.421 -17.494 -17.323   1.940   1.939   0.329   0.173   0.934   0.933
  115  6000  2.00 -0.50  2.00  1.25  0.00 -16.471 -16.450 -17.401 -17.472 -17.307   1.803   1.802   0.335   0.165   0.801   0.800
  116  6000  2.50 -0.50  2.00  1.25  0.00 -16.575 -16.554 -17.379 -17.452 -17.293   1.679   1.678   0.341   0.161   0.673   0.672
  117  6000  3.00 -0.50  2.00  1.25  0.00 -16.665 -16.644 -17.355 -17.434 -17.280   1.571   1.569   0.347   0.161   0.554   0.553
  118  6000  3.50 -0.50  2.00  1.25  0.00 -16.739 -16.718 -17.332 -17.418 -17.270   1.481   1.480   0.351   0.164   0.449   0.448
  119  6000  4.00 -0.50  2.00  1.25  0.00 -16.795 -16.774 -17.309 -17.408 -17.263   1.414   1.413   0.355   0.172   0.358   0.357
  120  6000  4.50 -0.50  2.00  1.25  0.00 -16.832 -16.811 -17.289 -17.402 -17.260   1.371   1.370   0.358   0.184   0.286   0.285
