 1.00012949E+03   3540.7 9.999E+02 2.522E+10 1.051E-03 4.390E-04 2.000E+05 0.000E+00 0.000E+00
 1.08772452E+03   3638.2 1.087E+03 3.304E+10 1.366E-03 5.302E-04 2.000E+05 0.000E+00 0.000E+00
 1.17830378E+03   3747.3 1.178E+03 4.272E+10 1.743E-03 6.298E-04 2.000E+05 6.705E-13 5.149E+01
 1.27434228E+03   3869.4 1.274E+03 5.407E+10 2.162E-03 7.314E-04 2.000E+05 1.568E-11 1.461E+02
 1.37949888E+03   4006.2 1.379E+03 6.663E+10 2.586E-03 8.252E-04 2.000E+05 6.098E-11 2.274E+02
 1.49937055E+03   4159.2 1.499E+03 7.988E+10 2.961E-03 9.002E-04 2.000E+05 1.016E-10 2.666E+02
 1.64181538E+03   4332.3 1.641E+03 9.423E+10 3.283E-03 9.603E-04 2.000E+05 1.126E-10 2.722E+02
 1.81164642E+03   4526.3 1.811E+03 1.147E+11 3.718E-03 1.059E-03 2.000E+05 4.003E-10 4.087E+02
 2.00038491E+03   4747.6 1.999E+03 1.623E+11 4.828E-03 1.347E-03 2.000E+05 1.109E-08 1.216E+03
 2.17566499E+03   4996.0 2.174E+03 2.862E+11 7.660E-03 2.115E-03 2.000E+05 7.014E-07 4.780E+03
 2.31077203E+03   5280.9 2.309E+03 6.008E+11 1.418E-02 3.925E-03 2.000E+05 4.097E-05 1.841E+04
 2.40395916E+03   5600.3 2.402E+03 1.363E+12 2.825E-02 7.861E-03 2.000E+05 1.119E-03 5.511E+04
 2.46450822E+03   5961.2 2.462E+03 3.191E+12 5.912E-02 1.624E-02 2.000E+05 7.652E-03 1.028E+05
 2.50294756E+03   6342.9 2.499E+03 7.142E+12 1.233E-01 2.994E-02 2.000E+05 7.200E-02 2.069E+05
 2.52874676E+03   6684.9 2.524E+03 1.364E+13 2.312E-01 3.992E-02 2.000E+05 3.957E-01 3.606E+05
 2.54889911E+03   6934.2 2.543E+03 2.101E+13 3.617E-01 3.783E-02 2.000E+05 6.435E-01 4.112E+05
 2.56736580E+03   7115.0 2.561E+03 2.822E+13 4.979E-01 3.332E-02 2.000E+05 7.668E-01 4.193E+05
 2.58570738E+03   7270.2 2.579E+03 3.594E+13 6.541E-01 3.009E-02 2.000E+05 8.371E-01 4.182E+05
 2.60475832E+03   7403.0 2.597E+03 4.384E+13 8.245E-01 2.755E-02 2.000E+05 8.842E-01 4.191E+05
 2.62493987E+03   7534.3 2.617E+03 5.299E+13 1.034E+00 2.532E-02 2.000E+05 9.127E-01 4.107E+05
 2.64678238E+03   7647.3 2.638E+03 6.206E+13 1.256E+00 2.498E-02 2.000E+05 9.300E-01 4.075E+05
PRADK 1.9914E-01
BEGIN                    ITERATION  15 COMPLETED
TEFF   3500.  GRAVITY 0.50000 LTE 
TITLE  [-0.5] VTURB=2 L/H=1.25  NOVER                                           
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.31620 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 3.65087591E-02   2172.5 1.154E-01 7.047E+05 3.653E-06 9.558E-04 2.000E+05 0.000E+00 0.000E+00
 4.84671291E-02   2195.4 1.532E-01 9.376E+05 3.786E-06 8.613E-04 2.000E+05 0.000E+00 0.000E+00
 6.38818172E-02   2216.0 2.020E-01 1.234E+06 3.909E-06 7.733E-04 2.000E+05 0.000E+00 0.000E+00
 8.37435008E-02   2238.0 2.647E-01 1.619E+06 4.055E-06 6.988E-04 2.000E+05 0.000E+00 0.000E+00
 1.09230496E-01   2260.6 3.453E-01 2.117E+06 4.218E-06 6.335E-04 2.000E+05 0.000E+00 0.000E+00
 1.41873806E-01   2283.1 4.485E-01 2.756E+06 4.394E-06 5.743E-04 2.000E+05 0.000E+00 0.000E+00
 1.83646750E-01   2304.5 5.806E-01 3.569E+06 4.580E-06 5.187E-04 2.000E+05 0.000E+00 0.000E+00
 2.37058605E-01   2325.6 7.495E-01 4.607E+06 4.781E-06 4.703E-04 2.000E+05 0.000E+00 0.000E+00
 3.05140329E-01   2347.3 9.647E-01 5.936E+06 5.012E-06 4.311E-04 2.000E+05 0.000E+00 0.000E+00
 3.91695514E-01   2368.1 1.238E+00 7.616E+06 5.261E-06 3.960E-04 2.000E+05 0.000E+00 0.000E+00
 5.01372737E-01   2389.5 1.585E+00 9.757E+06 5.550E-06 3.679E-04 2.000E+05 0.000E+00 0.000E+00
 6.39781659E-01   2410.5 2.023E+00 1.245E+07 5.873E-06 3.422E-04 2.000E+05 0.000E+00 0.000E+00
 8.13950111E-01   2430.8 2.574E+00 1.583E+07 6.233E-06 3.188E-04 2.000E+05 0.000E+00 0.000E+00
 1.03225904E+00   2451.4 3.264E+00 2.008E+07 6.646E-06 2.982E-04 2.000E+05 0.000E+00 0.000E+00
 1.30483731E+00   2471.3 4.126E+00 2.535E+07 7.110E-06 2.785E-04 2.000E+05 0.000E+00 0.000E+00
 1.64354647E+00   2491.9 5.197E+00 3.195E+07 7.653E-06 2.623E-04 2.000E+05 0.000E+00 0.000E+00
 2.06184291E+00   2513.5 6.519E+00 4.018E+07 8.286E-06 2.482E-04 2.000E+05 0.000E+00 0.000E+00
 2.57618857E+00   2533.8 8.146E+00 5.025E+07 8.999E-06 2.334E-04 2.000E+05 0.000E+00 0.000E+00
 3.20628088E+00   2554.3 1.014E+01 6.264E+07 9.817E-06 2.198E-04 2.000E+05 0.000E+00 0.000E+00
 3.97524941E+00   2573.9 1.257E+01 7.768E+07 1.074E-05 2.062E-04 2.000E+05 0.000E+00 0.000E+00
 4.90975633E+00   2594.0 1.552E+01 9.611E+07 1.182E-05 1.948E-04 2.000E+05 0.000E+00 0.000E+00
 6.03987222E+00   2614.6 1.910E+01 1.186E+08 1.306E-05 1.853E-04 2.000E+05 0.000E+00 0.000E+00
 7.40037304E+00   2635.3 2.340E+01 1.459E+08 1.450E-05 1.771E-04 2.000E+05 0.000E+00 0.000E+00
