
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
   72  5000  2.50 -0.50  2.00  1.25  0.00   2.124   2.122   0.539   0.328   0.388   0.386   2.566   0.676   0.096
   73  5000  3.00 -0.50  2.00  1.25  0.00   2.076   2.075   0.530   0.331   0.352   0.351   2.560   0.658   0.091
   74  5000  3.50 -0.50  2.00  1.25  0.00   2.056   2.055   0.521   0.342   0.327   0.326   2.554   0.646   0.089
   75  5000  4.00 -0.50  2.00  1.25  0.00   2.061   2.060   0.513   0.360   0.314   0.313   2.547   0.639   0.092
   76  5000  4.50 -0.50  2.00  1.25  0.00   2.091   2.091   0.504   0.385   0.312   0.312   2.538   0.635   0.101
   77  5000  5.00 -0.50  2.00  1.25  0.00   2.135   2.136   0.497   0.411   0.319   0.319   2.528   0.637   0.114
   78  5250  0.00 -0.50  2.00  1.25  0.00   2.543   2.540   0.539   0.321   0.822   0.818   2.594   0.751   0.220
   79  5250  0.50 -0.50  2.00  1.25  0.00   2.390   2.387   0.521   0.307   0.733   0.729   2.591   0.706   0.193
   80  5250  1.00 -0.50  2.00  1.25  0.00   2.246   2.243   0.507   0.293   0.645   0.642   2.587   0.666   0.167
   81  5250  1.50 -0.50  2.00  1.25  0.00   2.120   2.117   0.497   0.281   0.563   0.561   2.583   0.633   0.144
   82  5250  2.00 -0.50  2.00  1.25  0.00   2.015   2.013   0.489   0.272   0.490   0.488   2.578   0.606   0.124
   83  5250  2.50 -0.50  2.00  1.25  0.00   1.934   1.932   0.484   0.269   0.425   0.424   2.573   0.587   0.107
   84  5250  3.00 -0.50  2.00  1.25  0.00   1.876   1.875   0.480   0.272   0.371   0.369   2.569   0.572   0.092
   85  5250  3.50 -0.50  2.00  1.25  0.00   1.844   1.843   0.475   0.281   0.328   0.327   2.564   0.561   0.082
   86  5250  4.00 -0.50  2.00  1.25  0.00   1.836   1.835   0.470   0.298   0.298   0.297   2.559   0.555   0.077
   87  5250  4.50 -0.50  2.00  1.25  0.00   1.854   1.854   0.465   0.321   0.281   0.280   2.552   0.554   0.078
   88  5250  5.00 -0.50  2.00  1.25  0.00   1.890   1.890   0.459   0.347   0.277   0.277   2.546   0.554   0.084
   89  5500  0.00 -0.50  2.00  1.25  0.00   2.433   2.430   0.456   0.271   0.979   0.976   2.608   0.649   0.267
   90  5500  0.50 -0.50  2.00  1.25  0.00   2.284   2.281   0.447   0.257   0.874   0.871   2.604   0.612   0.235
   91  5500  1.00 -0.50  2.00  1.25  0.00   2.138   2.136   0.441   0.244   0.768   0.766   2.599   0.581   0.203
   92  5500  1.50 -0.50  2.00  1.25  0.00   2.007   2.004   0.436   0.233   0.666   0.664   2.595   0.552   0.172
   93  5500  2.00 -0.50  2.00  1.25  0.00   1.892   1.890   0.434   0.226   0.570   0.568   2.590   0.529   0.143
   94  5500  2.50 -0.50  2.00  1.25  0.00   1.798   1.796   0.433   0.223   0.485   0.483   2.585   0.511   0.119
   95  5500  3.00 -0.50  2.00  1.25  0.00   1.726   1.725   0.432   0.225   0.410   0.408   2.580   0.497   0.098
   96  5500  3.50 -0.50  2.00  1.25  0.00   1.677   1.675   0.431   0.232   0.348   0.347   2.575   0.487   0.081
   97  5500  4.00 -0.50  2.00  1.25  0.00   1.652   1.651   0.430   0.245   0.300   0.298   2.570   0.482   0.069
   98  5500  4.50 -0.50  2.00  1.25  0.00   1.653   1.652   0.428   0.265   0.266   0.265   2.565   0.480   0.063
   99  5500  5.00 -0.50  2.00  1.25  0.00   1.675   1.675   0.424   0.289   0.246   0.246   2.560   0.480   0.061
  100  5750  0.00 -0.50  2.00  1.25  0.00   2.377   2.375   0.380   0.233   1.150   1.148   2.624   0.563   0.316
  101  5750  0.50 -0.50  2.00  1.25  0.00   2.235   2.233   0.379   0.220   1.034   1.032   2.621   0.536   0.279
  102  5750  1.00 -0.50  2.00  1.25  0.00   2.089   2.087   0.380   0.207   0.913   0.912   2.617   0.511   0.241
  103  5750  1.50 -0.50  2.00  1.25  0.00   1.950   1.948   0.381   0.197   0.793   0.791   2.612   0.487   0.203
  104  5750  2.00 -0.50  2.00  1.25  0.00   1.824   1.822   0.383   0.190   0.677   0.675   2.607   0.466   0.167
  105  5750  2.50 -0.50  2.00  1.25  0.00   1.715   1.713   0.386   0.186   0.569   0.567   2.601   0.449   0.135
  106  5750  3.00 -0.50  2.00  1.25  0.00   1.625   1.624   0.388   0.188   0.472   0.470   2.595   0.435   0.107
  107  5750  3.50 -0.50  2.00  1.25  0.00   1.557   1.555   0.390   0.193   0.388   0.387   2.590   0.425   0.083
  108  5750  4.00 -0.50  2.00  1.25  0.00   1.512   1.511   0.391   0.204   0.320   0.318   2.585   0.418   0.064
