
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   62  4750  3.00 -0.50  2.00  0.00  0.00 -14.402 -14.381 -15.306 -15.879 -15.968   2.279   2.277   0.589   0.413   0.273   0.272
   63  4750  3.50 -0.50  2.00  0.00  0.00 -14.435 -14.414 -15.322 -15.889 -15.965   2.256   2.255   0.576   0.420   0.262   0.262
   64  4750  4.00 -0.50  2.00  0.00  0.00 -14.437 -14.415 -15.328 -15.899 -15.964   2.264   2.263   0.565   0.434   0.263   0.263
   65  4750  4.50 -0.50  2.00  0.00  0.00 -14.410 -14.389 -15.324 -15.906 -15.963   2.298   2.297   0.557   0.454   0.274   0.274
   66  4750  5.00 -0.50  2.00  0.00  0.00 -14.354 -14.332 -15.305 -15.910 -15.962   2.358   2.358   0.552   0.482   0.288   0.288
   67  5000  0.00 -0.50  2.00  0.00  0.00 -14.230 -14.213 -15.552 -16.163 -16.297   2.734   2.730   0.634   0.406   0.652   0.648
   68  5000  0.50 -0.50  2.00  0.00  0.00 -14.431 -14.412 -15.633 -16.196 -16.300   2.567   2.563   0.605   0.387   0.581   0.577
   69  5000  1.00 -0.50  2.00  0.00  0.00 -14.606 -14.588 -15.697 -16.219 -16.301   2.414   2.411   0.582   0.369   0.510   0.507
   70  5000  1.50 -0.50  2.00  0.00  0.00 -14.751 -14.732 -15.743 -16.233 -16.299   2.284   2.281   0.566   0.353   0.445   0.442
   71  5000  2.00 -0.50  2.00  0.00  0.00 -14.863 -14.844 -15.774 -16.241 -16.295   2.180   2.177   0.554   0.342   0.386   0.384
   72  5000  2.50 -0.50  2.00  0.00  0.00 -14.948 -14.928 -15.795 -16.247 -16.291   2.101   2.099   0.544   0.337   0.337   0.335
   73  5000  3.00 -0.50  2.00  0.00  0.00 -15.007 -14.987 -15.807 -16.252 -16.288   2.047   2.046   0.536   0.339   0.296   0.295
   74  5000  3.50 -0.50  2.00  0.00  0.00 -15.041 -15.020 -15.813 -16.259 -16.286   2.020   2.019   0.527   0.348   0.268   0.267
   75  5000  4.00 -0.50  2.00  0.00  0.00 -15.050 -15.028 -15.814 -16.267 -16.286   2.020   2.019   0.518   0.364   0.253   0.252
