        Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H)
    92  5500  1.50  0.00  2.00  1.25  0.00 -15.794 -16.683 -16.860 -24.039  -0.207   0.507   0.781   0.765
    93  5500  2.00  0.00  2.00  1.25  0.00 -15.858 -16.684 -16.852 -24.039  -0.216   0.443   0.771   0.755
    94  5500  2.50  0.00  2.00  1.25  0.00 -15.910 -16.683 -16.843 -24.039  -0.224   0.389   0.763   0.747
    95  5500  3.00  0.00  2.00  1.25  0.00 -15.949 -16.681 -16.836 -24.039  -0.231   0.348   0.759   0.743
    96  5500  3.50  0.00  2.00  1.25  0.00 -15.973 -16.677 -16.830 -24.039  -0.237   0.319   0.756   0.740
    97  5500  4.00  0.00  2.00  1.25  0.00 -15.981 -16.672 -16.826 -24.039  -0.242   0.307   0.757   0.741
    98  5500  4.50  0.00  2.00  1.25  0.00 -15.973 -16.667 -16.823 -24.039  -0.245   0.309   0.759   0.743
    99  5500  5.00  0.00  2.00  1.25  0.00 -15.949 -16.661 -16.820 -24.039  -0.248   0.328   0.762   0.746
   100  5750  0.00  0.00  2.00  1.25  0.00 -16.072 -17.058 -17.145 -24.233  -0.116   0.603   0.690   0.674
   101  5750  0.50  0.00  2.00  1.25  0.00 -16.124 -17.051 -17.132 -24.233  -0.129   0.542   0.684   0.668
   102  5750  1.00  0.00  2.00  1.25  0.00 -16.184 -17.047 -17.119 -24.233  -0.141   0.476   0.676   0.660
   103  5750  1.50  0.00  2.00  1.25  0.00 -16.244 -17.041 -17.108 -24.233  -0.153   0.410   0.670   0.654
   104  5750  2.00  0.00  2.00  1.25  0.00 -16.298 -17.034 -17.096 -24.233  -0.164   0.348   0.666   0.650
   105  5750  2.50  0.00  2.00  1.25  0.00 -16.343 -17.026 -17.086 -24.233  -0.175   0.293   0.664   0.648
   106  5750  3.00  0.00  2.00  1.25  0.00 -16.380 -17.016 -17.077 -24.233  -0.184   0.247   0.664   0.648
   107  5750  3.50  0.00  2.00  1.25  0.00 -16.406 -17.006 -17.069 -24.233  -0.192   0.211   0.666   0.650
   108  5750  4.00  0.00  2.00  1.25  0.00 -16.418 -16.996 -17.063 -24.233  -0.198   0.189   0.671   0.655
   109  5750  4.50  0.00  2.00  1.25  0.00 -16.417 -16.987 -17.059 -24.233  -0.201   0.181   0.676   0.660
   110  5750  5.00  0.00  2.00  1.25  0.00 -16.401 -16.978 -17.058 -24.233  -0.203   0.189   0.684   0.668
   111  6000  0.00  0.00  2.00  1.25  0.00 -16.526 -17.423 -17.376 -24.417  -0.069   0.506   0.557   0.541
   112  6000  0.50  0.00  2.00  1.25  0.00 -16.543 -17.400 -17.364 -24.417  -0.082   0.466   0.567   0.551
   113  6000  1.00  0.00  2.00  1.25  0.00 -16.584 -17.386 -17.350 -24.417  -0.095   0.410   0.568   0.552
   114  6000  1.50  0.00  2.00  1.25  0.00 -16.630 -17.372 -17.336 -24.417  -0.109   0.350   0.568   0.552
   115  6000  2.00  0.00  2.00  1.25  0.00 -16.675 -17.357 -17.323 -24.417  -0.123   0.290   0.569   0.553
   116  6000  2.50  0.00  2.00  1.25  0.00 -16.716 -17.342 -17.310 -24.417  -0.135   0.233   0.572   0.556
   117  6000  3.00  0.00  2.00  1.25  0.00 -16.751 -17.325 -17.298 -24.417  -0.147   0.181   0.577   0.561
   118  6000  3.50  0.00  2.00  1.25  0.00 -16.778 -17.309 -17.288 -24.417  -0.157   0.138   0.583   0.567
   119  6000  4.00  0.00  2.00  1.25  0.00 -16.796 -17.293 -17.280 -24.417  -0.165   0.104   0.591   0.575
   120  6000  4.50  0.00  2.00  1.25  0.00 -16.803 -17.279 -17.275 -24.417  -0.171   0.084   0.599   0.583
   121  6000  5.00  0.00  2.00  1.25  0.00 -16.796 -17.267 -17.272 -24.417  -0.173   0.079   0.609   0.593
   122  6250  0.50  0.00  2.00  1.25  0.00 -16.923 -17.726 -17.574 -24.595  -0.049   0.408   0.451   0.435
   123  6250  1.00  0.00  2.00  1.25  0.00 -16.934 -17.698 -17.563 -24.595  -0.059   0.368   0.469   0.453
   124  6250  1.50  0.00  2.00  1.25  0.00 -16.964 -17.677 -17.549 -24.595  -0.074   0.316   0.476   0.460
   125  6250  2.00  0.00  2.00  1.25  0.00 -16.999 -17.655 -17.534 -24.595  -0.089   0.260   0.482   0.466
   126  6250  2.50  0.00  2.00  1.25  0.00 -17.035 -17.634 -17.519 -24.595  -0.104   0.202   0.489   0.473
   127  6250  3.00  0.00  2.00  1.25  0.00 -17.068 -17.611 -17.505 -24.595  -0.118   0.146   0.497   0.481
   128  6250  3.50  0.00  2.00  1.25  0.00 -17.097 -17.588 -17.492 -24.595  -0.131   0.095   0.507   0.491
   129  6250  4.00  0.00  2.00  1.25  0.00 -17.120 -17.567 -17.481 -24.595  -0.142   0.050   0.517   0.501
   130  6250  4.50  0.00  2.00  1.25  0.00 -17.135 -17.548 -17.473 -24.595  -0.150   0.017   0.529   0.513
   131  6250  5.00  0.00  2.00  1.25  0.00 -17.139 -17.532 -17.469 -24.595  -0.154  -0.002   0.540   0.524
   132  6500  0.50  0.00  2.00  1.25  0.00 -17.268 -18.026 -17.767 -24.765  -0.026   0.357   0.345   0.329
   133  6500  1.00  0.00  2.00  1.25  0.00 -17.255 -17.994 -17.758 -24.765  -0.035   0.338   0.368   0.352
   134  6500  1.50  0.00  2.00  1.25  0.00 -17.262 -17.960 -17.747 -24.765  -0.046   0.298   0.391   0.375
   135  6500  2.00  0.00  2.00  1.25  0.00 -17.284 -17.932 -17.732 -24.765  -0.061   0.247   0.404   0.388
   136  6500  2.50  0.00  2.00  1.25  0.00 -17.312 -17.904 -17.716 -24.765  -0.077   0.192   0.415   0.399
   137  6500  3.00  0.00  2.00  1.25  0.00 -17.342 -17.876 -17.699 -24.765  -0.094   0.134   0.427   0.411
   138  6500  3.50  0.00  2.00  1.25  0.00 -17.371 -17.848 -17.683 -24.765  -0.110   0.077   0.439   0.423
   139  6500  4.00  0.00  2.00  1.25  0.00 -17.398 -17.821 -17.669 -24.765  -0.124   0.023   0.452   0.436
   140  6500  4.50  0.00  2.00  1.25  0.00 -17.420 -17.797 -17.658 -24.765  -0.135  -0.022   0.465   0.449
   141  6500  5.00  0.00  2.00  1.25  0.00 -17.434 -17.776 -17.650 -24.765  -0.143  -0.056   0.478   0.462
   142  6750  0.50  0.00  2.00  1.25  0.00 -17.578 -18.290 -17.947 -24.929  -0.010   0.307   0.261   0.245
   143  6750  1.00  0.00  2.00  1.25  0.00 -17.554 -18.266 -17.937 -24.929  -0.020   0.307   0.274   0.258
   144  6750  1.50  0.00  2.00  1.25  0.00 -17.540 -18.229 -17.928 -24.929  -0.029   0.285   0.303   0.287
   145  6750  2.00  0.00  2.00  1.25  0.00 -17.543 -18.189 -17.917 -24.929  -0.040   0.243   0.331   0.315
   146  6750  2.50  0.00  2.00  1.25  0.00 -17.559 -18.155 -17.901 -24.929  -0.056   0.193   0.349   0.333
   147  6750  3.00  0.00  2.00  1.25  0.00 -17.583 -18.122 -17.883 -24.929  -0.074   0.136   0.365   0.349
   148  6750  3.50  0.00  2.00  1.25  0.00 -17.609 -18.088 -17.864 -24.929  -0.093   0.077   0.380   0.364
   149  6750  4.00  0.00  2.00  1.25  0.00 -17.637 -18.056 -17.847 -24.929  -0.110   0.017   0.394   0.378
   150  6750  4.50  0.00  2.00  1.25  0.00 -17.664 -18.027 -17.832 -24.929  -0.125  -0.039   0.408   0.392
   151  6750  5.00  0.00  2.00  1.25  0.00 -17.687 -18.001 -17.820 -24.929  -0.137  -0.087   0.422   0.406
   152  7000  0.50  0.00  2.00  1.25  0.00 -17.863 -18.524 -18.113 -25.087  -0.002   0.253   0.193   0.177
   153  7000  1.00  0.00  2.00  1.25  0.00 -17.827 -18.507 -18.105 -25.087  -0.010   0.271   0.202   0.186
   154  7000  1.50  0.00  2.00  1.25  0.00 -17.801 -18.478 -18.096 -25.087  -0.019   0.270   0.221   0.205
   155  7000  2.00  0.00  2.00  1.25  0.00 -17.785 -18.435 -18.087 -25.087  -0.028   0.244   0.255   0.239
   156  7000  2.50  0.00  2.00  1.25  0.00 -17.787 -18.391 -18.074 -25.087  -0.041   0.199   0.287   0.271
   157  7000  3.00  0.00  2.00  1.25  0.00 -17.800 -18.351 -18.056 -25.087  -0.059   0.146   0.309   0.293
   158  7000  3.50  0.00  2.00  1.25  0.00 -17.821 -18.313 -18.036 -25.087  -0.079   0.087   0.327   0.311
   159  7000  4.00  0.00  2.00  1.25  0.00 -17.847 -18.275 -18.016 -25.087  -0.099   0.024   0.344   0.328
   160  7000  4.50  0.00  2.00  1.25  0.00 -17.876 -18.241 -17.997 -25.087  -0.118  -0.039   0.360   0.344
   161  7000  5.00  0.00  2.00  1.25  0.00 -17.905 -18.210 -17.981 -25.087  -0.134  -0.098   0.375   0.359
   162  7250  0.50  0.00  2.00  1.25  0.00 -18.116 -18.722 -18.268 -25.239   0.000   0.195   0.149   0.133
   163  7250  1.00  0.00  2.00  1.25  0.00 -18.081 -18.721 -18.260 -25.239  -0.007   0.229   0.142   0.126
   164  7250  1.50  0.00  2.00  1.25  0.00 -18.043 -18.698 -18.253 -25.239  -0.014   0.245   0.158   0.142
   165  7250  2.00  0.00  2.00  1.25  0.00 -18.016 -18.665 -18.244 -25.239  -0.024   0.240   0.182   0.166
   166  7250  2.50  0.00  2.00  1.25  0.00 -18.001 -18.616 -18.234 -25.239  -0.033   0.208   0.221   0.205
   167  7250  3.00  0.00  2.00  1.25  0.00 -18.002 -18.567 -18.219 -25.239  -0.048   0.158   0.255   0.239
   168  7250  3.50  0.00  2.00  1.25  0.00 -18.015 -18.523 -18.199 -25.239  -0.068   0.102   0.280   0.264
   169  7250  4.00  0.00  2.00  1.25  0.00 -18.036 -18.481 -18.177 -25.239  -0.090   0.039   0.300   0.284
   170  7250  4.50  0.00  2.00  1.25  0.00 -18.064 -18.441 -18.155 -25.239  -0.112  -0.028   0.318   0.302
   171  7250  5.00  0.00  2.00  1.25  0.00 -18.095 -18.405 -18.136 -25.239  -0.132  -0.094   0.334   0.318
   172  7500  0.50  0.00  2.00  1.25  0.00 -18.331 -18.861 -18.407 -25.386  -0.008   0.117   0.150   0.134
   173  7500  1.00  0.00  2.00  1.25  0.00 -18.318 -18.908 -18.401 -25.386  -0.013   0.176   0.097   0.081
   174  7500  1.50  0.00  2.00  1.25  0.00 -18.274 -18.895 -18.397 -25.386  -0.017   0.208   0.106   0.090
   175  7500  2.00  0.00  2.00  1.25  0.00 -18.234 -18.866 -18.391 -25.386  -0.024   0.220   0.128   0.112
   176  7500  2.50  0.00  2.00  1.25  0.00 -18.206 -18.828 -18.381 -25.386  -0.034   0.212   0.157   0.141
   177  7500  3.00  0.00  2.00  1.25  0.00 -18.193 -18.774 -18.370 -25.386  -0.045   0.173   0.199   0.183
   178  7500  3.50  0.00  2.00  1.25  0.00 -18.196 -18.722 -18.352 -25.386  -0.063   0.118   0.234   0.218
   179  7500  4.00  0.00  2.00  1.25  0.00 -18.211 -18.675 -18.330 -25.386  -0.085   0.057   0.259   0.243
   180  7500  4.50  0.00  2.00  1.25  0.00 -18.234 -18.630 -18.306 -25.386  -0.108  -0.011   0.280   0.264
   181  7500  5.00  0.00  2.00  1.25  0.00 -18.266 -18.589 -18.284 -25.386  -0.131  -0.082   0.299   0.283
   182  7750  1.00  0.00  2.00  1.25  0.00 -18.531 -19.061 -18.529 -25.529  -0.028   0.115   0.071   0.055
   183  7750  1.50  0.00  2.00  1.25  0.00 -18.490 -19.066 -18.528 -25.529  -0.029   0.161   0.065   0.049
   184  7750  2.00  0.00  2.00  1.25  0.00 -18.442 -19.044 -18.524 -25.529  -0.033   0.189   0.084   0.068
   185  7750  2.50  0.00  2.00  1.25  0.00 -18.403 -19.012 -18.517 -25.529  -0.040   0.196   0.109   0.093
   186  7750  3.00  0.00  2.00  1.25  0.00 -18.377 -18.969 -18.507 -25.529  -0.050   0.181   0.142   0.126
   187  7750  3.50  0.00  2.00  1.25  0.00 -18.368 -18.911 -18.494 -25.529  -0.063   0.135   0.186   0.170
   188  7750  4.00  0.00  2.00  1.25  0.00 -18.374 -18.857 -18.474 -25.529  -0.083   0.076   0.220   0.204
   189  7750  4.50  0.00  2.00  1.25  0.00 -18.392 -18.808 -18.450 -25.529  -0.107   0.008   0.246   0.230
   190  7750  5.00  0.00  2.00  1.25  0.00 -18.421 -18.762 -18.425 -25.529  -0.132  -0.065   0.267   0.251
   191  8000  1.00  0.00  2.00  1.25  0.00 -18.720 -19.175 -18.639 -25.667  -0.056   0.038   0.067   0.051
   192  8000  1.50  0.00  2.00  1.25  0.00 -18.691 -19.213 -18.645 -25.667  -0.050   0.106   0.035   0.019
   193  8000  2.00  0.00  2.00  1.25  0.00 -18.641 -19.203 -18.645 -25.667  -0.050   0.146   0.046   0.030
   194  8000  2.50  0.00  2.00  1.25  0.00 -18.594 -19.175 -18.641 -25.667  -0.054   0.167   0.070   0.054
   195  8000  3.00  0.00  2.00  1.25  0.00 -18.556 -19.137 -18.634 -25.667  -0.061   0.169   0.100   0.084
   196  8000  3.50  0.00  2.00  1.25  0.00 -18.533 -19.089 -18.622 -25.667  -0.073   0.145   0.137   0.121
   197  8000  4.00  0.00  2.00  1.25  0.00 -18.530 -19.031 -18.608 -25.667  -0.087   0.092   0.180   0.164
   198  8000  4.50  0.00  2.00  1.25  0.00 -18.542 -18.976 -18.585 -25.667  -0.109   0.027   0.213   0.197
   199  8000  5.00  0.00  2.00  1.25  0.00 -18.565 -18.926 -18.560 -25.667  -0.135  -0.046   0.238   0.222
   200  8250  1.00  0.00  2.00  1.25  0.00 -18.887 -19.250 -18.722 -25.800  -0.107  -0.054   0.075   0.059
   201  8250  1.50  0.00  2.00  1.25  0.00 -18.872 -19.334 -18.748 -25.800  -0.081   0.044   0.017   0.001
   202  8250  2.00  0.00  2.00  1.25  0.00 -18.827 -19.340 -18.752 -25.800  -0.076   0.096   0.016   0.000
   203  8250  2.50  0.00  2.00  1.25  0.00 -18.775 -19.320 -18.752 -25.800  -0.076   0.130   0.035   0.019
   204  8250  3.00  0.00  2.00  1.25  0.00 -18.729 -19.288 -18.749 -25.800  -0.080   0.145   0.064   0.048
   205  8250  3.50  0.00  2.00  1.25  0.00 -18.696 -19.247 -18.740 -25.800  -0.088   0.139   0.097   0.081
   206  8250  4.00  0.00  2.00  1.25  0.00 -18.680 -19.194 -18.728 -25.800  -0.100   0.104   0.137   0.121
   207  8250  4.50  0.00  2.00  1.25  0.00 -18.684 -19.135 -18.712 -25.800  -0.117   0.043   0.180   0.164
   208  8250  5.00  0.00  2.00  1.25  0.00 -18.701 -19.081 -18.688 -25.800  -0.141  -0.028   0.210   0.194
   209  8500  1.50  0.00  2.00  1.25  0.00 -19.032 -19.432 -18.837 -25.930  -0.121  -0.019   0.009  -0.007
   210  8500  2.00  0.00  2.00  1.25  0.00 -18.996 -19.456 -18.847 -25.930  -0.111   0.042  -0.006  -0.022
   211  8500  2.50  0.00  2.00  1.25  0.00 -18.946 -19.447 -18.851 -25.930  -0.108   0.084   0.007  -0.009
   212  8500  3.00  0.00  2.00  1.25  0.00 -18.897 -19.422 -18.851 -25.930  -0.108   0.110   0.032   0.016
   213  8500  3.50  0.00  2.00  1.25  0.00 -18.855 -19.385 -18.846 -25.930  -0.112   0.117   0.064   0.048
   214  8500  4.00  0.00  2.00  1.25  0.00 -18.827 -19.340 -18.837 -25.930  -0.121   0.102   0.100   0.084
   215  8500  4.50  0.00  2.00  1.25  0.00 -18.819 -19.285 -18.825 -25.930  -0.133   0.056   0.144   0.128
   216  8500  5.00  0.00  2.00  1.25  0.00 -18.831 -19.227 -18.807 -25.930  -0.151  -0.012   0.183   0.167
   217  8750  1.50  0.00  2.00  1.25  0.00 -19.177 -19.514 -18.915 -26.056  -0.169  -0.082   0.005  -0.011
   218  8750  2.00  0.00  2.00  1.25  0.00 -19.147 -19.555 -18.931 -26.056  -0.153  -0.012  -0.020  -0.036
   219  8750  2.50  0.00  2.00  1.25  0.00 -19.102 -19.556 -18.937 -26.056  -0.147   0.035  -0.015  -0.031
