        Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    56  4750  0.00  0.00  0.00  1.25  0.00 -13.643 -13.624 -14.955 -15.770 -15.991   2.930   2.926   0.720   0.524   0.439   0.435
    57  4750  0.50  0.00  0.00  1.25  0.00 -13.824 -13.805 -15.044 -15.804 -15.993   2.782   2.779   0.689   0.500   0.402   0.399
    58  4750  1.00  0.00  0.00  1.25  0.00 -13.974 -13.954 -15.109 -15.826 -15.991   2.654   2.652   0.665   0.481   0.360   0.358
    59  4750  1.50  0.00  0.00  1.25  0.00 -14.098 -14.078 -15.157 -15.841 -15.987   2.545   2.543   0.646   0.466   0.318   0.316
    60  4750  2.00  0.00  0.00  1.25  0.00 -14.203 -14.183 -15.196 -15.853 -15.981   2.452   2.450   0.628   0.457   0.278   0.277
    61  4750  2.50  0.00  0.00  1.25  0.00 -14.290 -14.269 -15.231 -15.867 -15.976   2.379   2.378   0.609   0.455   0.248   0.247
    62  4750  3.00  0.00  0.00  1.25  0.00 -14.350 -14.328 -15.259 -15.881 -15.972   2.333   2.333   0.591   0.460   0.229   0.229
    63  4750  3.50  0.00  0.00  1.25  0.00 -14.375 -14.353 -15.277 -15.894 -15.969   2.320   2.321   0.575   0.471   0.226   0.226
    64  4750  4.00  0.00  0.00  1.25  0.00 -14.366 -14.344 -15.282 -15.903 -15.966   2.339   2.339   0.563   0.486   0.237   0.238
    65  4750  4.50  0.00  0.00  1.25  0.00 -14.321 -14.299 -15.272 -15.907 -15.963   2.388   2.389   0.556   0.508   0.258   0.259
    66  4750  5.00  0.00  0.00  1.25  0.00 -14.248 -14.226 -15.247 -15.906 -15.959   2.460   2.460   0.553   0.535   0.281   0.282
    67  5000  0.00  0.00  0.00  1.25  0.00 -14.282 -14.264 -15.555 -16.193 -16.322   2.713   2.709   0.629   0.438   0.576   0.573
    68  5000  0.50  0.00  0.00  1.25  0.00 -14.456 -14.437 -15.621 -16.214 -16.321   2.561   2.557   0.607   0.415   0.514   0.511
    69  5000  1.00  0.00  0.00  1.25  0.00 -14.602 -14.583 -15.669 -16.227 -16.317   2.427   2.424   0.590   0.397   0.451   0.448
    70  5000  1.50  0.00  0.00  1.25  0.00 -14.722 -14.702 -15.702 -16.234 -16.311   2.314   2.311   0.578   0.383   0.390   0.388
    71  5000  2.00  0.00  0.00  1.25  0.00 -14.819 -14.799 -15.725 -16.239 -16.306   2.221   2.220   0.567   0.375   0.335   0.333
    72  5000  2.50  0.00  0.00  1.25  0.00 -14.897 -14.876 -15.744 -16.245 -16.300   2.150   2.149   0.555   0.375   0.287   0.286
    73  5000  3.00  0.00  0.00  1.25  0.00 -14.953 -14.931 -15.757 -16.254 -16.297   2.103   2.102   0.543   0.383   0.250   0.249
    74  5000  3.50  0.00  0.00  1.25  0.00 -14.983 -14.961 -15.765 -16.264 -16.294   2.083   2.083   0.530   0.398   0.225   0.225
    75  5000  4.00  0.00  0.00  1.25  0.00 -14.985 -14.962 -15.767 -16.275 -16.293   2.092   2.092   0.518   0.419   0.216   0.216
    76  5000  4.50  0.00  0.00  1.25  0.00 -14.957 -14.935 -15.760 -16.283 -16.292   2.128   2.129   0.509   0.444   0.222   0.222
    77  5000  5.00  0.00  0.00  1.25  0.00 -14.904 -14.881 -15.745 -16.289 -16.291   2.188   2.188   0.502   0.472   0.239   0.239
    78  5250  0.00  0.00  0.00  1.25  0.00 -14.820 -14.802 -16.108 -16.582 -16.624   2.564   2.560   0.542   0.361   0.756   0.752
    79  5250  0.50  0.00  0.00  1.25  0.00 -14.982 -14.963 -16.148 -16.590 -16.617   2.410   2.407   0.527   0.343   0.667   0.664
    80  5250  1.00  0.00  0.00  1.25  0.00 -15.126 -15.106 -16.178 -16.593 -16.610   2.269   2.267   0.517   0.327   0.579   0.576
