
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   88  5250  5.00  0.00  0.00  0.00  0.00 -15.410 -15.387 -16.183 -16.619 -16.575   2.011   2.012   0.456   0.409   0.280   0.280
   89  5500  0.00  0.00  0.00  0.00  0.00 -15.290 -15.271 -16.621 -16.932 -16.892   2.444   2.441   0.460   0.280   0.963   0.960
   90  5500  0.50  0.00  0.00  0.00  0.00 -15.429 -15.410 -16.635 -16.930 -16.882   2.303   2.301   0.452   0.272   0.853   0.850
   91  5500  1.00  0.00  0.00  0.00  0.00 -15.559 -15.540 -16.644 -16.926 -16.873   2.169   2.167   0.447   0.264   0.745   0.743
   92  5500  1.50  0.00  0.00  0.00  0.00 -15.674 -15.654 -16.649 -16.921 -16.865   2.049   2.046   0.444   0.257   0.645   0.643
   93  5500  2.00  0.00  0.00  0.00  0.00 -15.772 -15.752 -16.649 -16.915 -16.856   1.945   1.943   0.441   0.253   0.554   0.553
   94  5500  2.50  0.00  0.00  0.00  0.00 -15.850 -15.829 -16.646 -16.909 -16.849   1.861   1.859   0.440   0.252   0.475   0.473
   95  5500  3.00  0.00  0.00  0.00  0.00 -15.908 -15.888 -16.639 -16.905 -16.843   1.798   1.797   0.438   0.257   0.406   0.405
   96  5500  3.50  0.00  0.00  0.00  0.00 -15.947 -15.926 -16.629 -16.903 -16.838   1.758   1.757   0.435   0.268   0.349   0.349
   97  5500  4.00  0.00  0.00  0.00  0.00 -15.962 -15.941 -16.615 -16.904 -16.836   1.744   1.744   0.432   0.287   0.305   0.305
   98  5500  4.50  0.00  0.00  0.00  0.00 -15.955 -15.933 -16.598 -16.908 -16.836   1.755   1.755   0.428   0.312   0.274   0.274
   99  5500  5.00  0.00  0.00  0.00  0.00 -15.926 -15.904 -16.577 -16.915 -16.837   1.791   1.791   0.422   0.345   0.255   0.256
  100  5750  0.00  0.00  0.00  0.00  0.00 -15.670 -15.651 -17.056 -17.257 -17.144   2.389   2.387   0.387   0.243   1.126   1.124
  101  5750  0.50  0.00  0.00  0.00  0.00 -15.794 -15.774 -17.051 -17.245 -17.132   2.253   2.251   0.387   0.236   1.004   1.002
  102  5750  1.00  0.00  0.00  0.00  0.00 -15.919 -15.899 -17.046 -17.233 -17.121   2.116   2.114   0.387   0.229   0.881   0.879
  103  5750  1.50  0.00  0.00  0.00  0.00 -16.036 -16.016 -17.039 -17.221 -17.110   1.988   1.986   0.388   0.223   0.763   0.761
  104  5750  2.00  0.00  0.00  0.00  0.00 -16.139 -16.118 -17.030 -17.209 -17.099   1.873   1.871   0.390   0.218   0.653   0.652
  105  5750  2.50  0.00  0.00  0.00  0.00 -16.226 -16.205 -17.018 -17.198 -17.090   1.774   1.773   0.392   0.217   0.554   0.553
  106  5750  3.00  0.00  0.00  0.00  0.00 -16.296 -16.276 -17.004 -17.188 -17.082   1.694   1.693   0.393   0.220   0.466   0.465
  107  5750  3.50  0.00  0.00  0.00  0.00 -16.348 -16.327 -16.989 -17.181 -17.075   1.635   1.634   0.394   0.227   0.391   0.390
  108  5750  4.00  0.00  0.00  0.00  0.00 -16.380 -16.359 -16.972 -17.178 -17.072   1.600   1.599   0.394   0.241   0.329   0.328
  109  5750  4.50  0.00  0.00  0.00  0.00 -16.390 -16.369 -16.954 -17.178 -17.071   1.590   1.589   0.393   0.261   0.281   0.280
  110  5750  5.00  0.00  0.00  0.00  0.00 -16.379 -16.357 -16.932 -17.182 -17.072   1.606   1.606   0.390   0.289   0.246   0.246
  111  6000  0.00  0.00  0.00  0.00  0.00 -15.992 -15.972 -17.458 -17.556 -17.374   2.367   2.365   0.317   0.210   1.309   1.307
  112  6000  0.50  0.00  0.00  0.00  0.00 -16.099 -16.078 -17.429 -17.536 -17.362   2.240   2.238   0.326   0.210   1.165   1.163
  113  6000  1.00  0.00  0.00  0.00  0.00 -16.217 -16.197 -17.412 -17.518 -17.350   2.103   2.102   0.332   0.204   1.030   1.029
  114  6000  1.50  0.00  0.00  0.00  0.00 -16.334 -16.314 -17.395 -17.500 -17.337   1.968   1.966   0.337   0.198   0.897   0.895
  115  6000  2.00  0.00  0.00  0.00  0.00 -16.443 -16.422 -17.376 -17.482 -17.325   1.842   1.840   0.342   0.193   0.769   0.768
  116  6000  2.50  0.00  0.00  0.00  0.00 -16.539 -16.519 -17.356 -17.465 -17.313   1.728   1.727   0.347   0.191   0.650   0.648
  117  6000  3.00  0.00  0.00  0.00  0.00 -16.622 -16.601 -17.336 -17.450 -17.302   1.630   1.629   0.352   0.192   0.541   0.540
  118  6000  3.50  0.00  0.00  0.00  0.00 -16.687 -16.667 -17.315 -17.438 -17.294   1.553   1.552   0.355   0.197   0.446   0.444
  119  6000  4.00  0.00  0.00  0.00  0.00 -16.735 -16.714 -17.294 -17.430 -17.288   1.497   1.496   0.357   0.208   0.365   0.364
  120  6000  4.50  0.00  0.00  0.00  0.00 -16.763 -16.742 -17.273 -17.426 -17.285   1.465   1.464   0.359   0.223   0.299   0.298
  121  6000  5.00  0.00  0.00  0.00  0.00 -16.770 -16.749 -17.251 -17.426 -17.285   1.458   1.458   0.359   0.245   0.248   0.248
  122  6250  0.50  0.00  0.00  0.00  0.00 -16.360 -16.340 -17.787 -17.808 -17.573   2.249   2.248   0.265   0.185   1.347   1.346
