 4.44971447E+02   3393.1 4.448E+02 2.145E+10 1.055E-03 4.963E-04 4.000E+05 0.000E+00 0.000E+00
 4.94341894E+02   3465.9 4.942E+02 2.795E+10 1.361E-03 5.936E-04 4.000E+05 0.000E+00 0.000E+00
 5.45038237E+02   3549.3 5.448E+02 3.683E+10 1.778E-03 7.236E-04 4.000E+05 0.000E+00 0.000E+00
 5.96715801E+02   3643.6 5.965E+02 4.864E+10 2.325E-03 8.849E-04 4.000E+05 0.000E+00 0.000E+00
 6.49536623E+02   3750.6 6.492E+02 6.394E+10 3.018E-03 1.078E-03 4.000E+05 0.000E+00 0.000E+00
 7.04291137E+02   3871.2 7.039E+02 8.272E+10 3.835E-03 1.289E-03 4.000E+05 4.023E-13 5.242E+01
 7.62792782E+02   4007.4 7.624E+02 1.045E+11 4.716E-03 1.502E-03 4.000E+05 7.301E-12 1.358E+02
 8.27701191E+02   4160.5 8.272E+02 1.279E+11 5.525E-03 1.677E-03 4.000E+05 2.181E-11 1.929E+02
 9.03796936E+02   4332.6 9.031E+02 1.520E+11 6.118E-03 1.786E-03 4.000E+05 2.067E-11 1.872E+02
 9.97486654E+02   4527.7 9.966E+02 1.775E+11 6.543E-03 1.859E-03 4.000E+05 1.103E-11 1.497E+02
 1.11291296E+03   4748.2 1.112E+03 2.154E+11 7.206E-03 2.017E-03 4.000E+05 3.015E-11 2.053E+02
 1.24375638E+03   4999.4 1.242E+03 3.073E+11 9.260E-03 2.565E-03 4.000E+05 1.331E-09 7.092E+02
 1.36520161E+03   5282.5 1.363E+03 5.502E+11 1.482E-02 4.106E-03 4.000E+05 1.179E-07 3.099E+03
 1.45785383E+03   5604.0 1.456E+03 1.160E+12 2.771E-02 7.692E-03 4.000E+05 8.971E-06 1.290E+04
 1.52082543E+03   5963.0 1.518E+03 2.615E+12 5.623E-02 1.568E-02 4.000E+05 4.787E-04 4.737E+04
 1.56091579E+03   6362.8 1.557E+03 5.971E+12 1.202E-01 3.298E-02 4.000E+05 6.469E-03 1.076E+05
 1.58565184E+03   6780.8 1.581E+03 1.288E+13 2.588E-01 6.119E-02 4.000E+05 7.596E-02 2.239E+05
 1.60192143E+03   7136.7 1.596E+03 2.311E+13 4.892E-01 7.661E-02 4.000E+05 4.624E-01 4.009E+05
 1.61470020E+03   7379.5 1.608E+03 3.331E+13 7.516E-01 6.754E-02 4.000E+05 6.965E-01 4.427E+05
 1.62670352E+03   7547.9 1.619E+03 4.234E+13 1.008E+00 5.623E-02 4.000E+05 7.997E-01 4.412E+05
 1.63894074E+03   7692.3 1.630E+03 5.153E+13 1.295E+00 5.118E-02 4.000E+05 8.649E-01 4.505E+05
 1.65176886E+03   7826.5 1.643E+03 6.142E+13 1.629E+00 4.523E-02 4.000E+05 9.000E-01 4.408E+05
 1.66564755E+03   7940.1 1.656E+03 7.093E+13 1.974E+00 4.398E-02 4.000E+05 9.214E-01 4.415E+05
PRADK 1.9923E-01
BEGIN                    ITERATION  15 COMPLETED
TEFF   3500.  GRAVITY 0.50000 LTE 
TITLE  [0.0] VTURB=4.0  L/H=1.25 NOVER                                          
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.68367930E-02   2173.0 5.318E-02 9.698E+05 7.920E-06 3.499E-03 4.000E+05 0.000E+00 0.000E+00
 2.23459915E-02   2197.5 7.059E-02 1.295E+06 8.226E-06 3.161E-03 4.000E+05 0.000E+00 0.000E+00
 2.94416323E-02   2219.4 9.300E-02 1.708E+06 8.491E-06 2.838E-03 4.000E+05 0.000E+00 0.000E+00
 3.86110863E-02   2240.9 1.220E-01 2.240E+06 8.759E-06 2.539E-03 4.000E+05 0.000E+00 0.000E+00
 5.04393430E-02   2263.5 1.594E-01 2.933E+06 9.070E-06 2.287E-03 4.000E+05 0.000E+00 0.000E+00
 6.56247600E-02   2287.7 2.073E-01 3.835E+06 9.447E-06 2.083E-03 4.000E+05 0.000E+00 0.000E+00
 8.51013752E-02   2309.4 2.689E-01 4.975E+06 9.798E-06 1.879E-03 4.000E+05 0.000E+00 0.000E+00
 1.10146704E-01   2330.5 3.480E-01 6.434E+06 1.016E-05 1.704E-03 4.000E+05 0.000E+00 0.000E+00
 1.42337688E-01   2351.2 4.498E-01 8.298E+06 1.055E-05 1.557E-03 4.000E+05 0.000E+00 0.000E+00
 1.83571715E-01   2372.8 5.801E-01 1.070E+07 1.101E-05 1.443E-03 4.000E+05 0.000E+00 0.000E+00
 2.36088339E-01   2395.7 7.461E-01 1.378E+07 1.156E-05 1.353E-03 4.000E+05 0.000E+00 0.000E+00
 3.02771727E-01   2416.9 9.569E-01 1.766E+07 1.214E-05 1.255E-03 4.000E+05 0.000E+00 0.000E+00
 3.87468935E-01   2436.7 1.225E+00 2.252E+07 1.275E-05 1.160E-03 4.000E+05 0.000E+00 0.000E+00
 4.94727811E-01   2457.1 1.564E+00 2.868E+07 1.346E-05 1.081E-03 4.000E+05 0.000E+00 0.000E+00
 6.29775740E-01   2478.4 1.991E+00 3.648E+07 1.430E-05 1.015E-03 4.000E+05 0.000E+00 0.000E+00
 7.98739617E-01   2500.7 2.525E+00 4.633E+07 1.529E-05 9.610E-04 4.000E+05 0.000E+00 0.000E+00
 1.00893721E+00   2522.6 3.189E+00 5.857E+07 1.643E-05 9.062E-04 4.000E+05 0.000E+00 0.000E+00
 1.26973335E+00   2542.2 4.014E+00 7.349E+07 1.767E-05 8.439E-04 4.000E+05 0.000E+00 0.000E+00
 1.59208206E+00   2562.4 5.033E+00 9.200E+07 1.912E-05 7.933E-04 4.000E+05 0.000E+00 0.000E+00
 1.98813905E+00   2583.2 6.285E+00 1.149E+08 2.081E-05 7.508E-04 4.000E+05 0.000E+00 0.000E+00
 2.47202964E+00   2604.6 7.815E+00 1.430E+08 2.277E-05 7.152E-04 4.000E+05 0.000E+00 0.000E+00
 3.05990994E+00   2626.7 9.673E+00 1.776E+08 2.506E-05 6.833E-04 4.000E+05 0.000E+00 0.000E+00
 3.77069733E+00   2646.7 1.192E+01 2.188E+08 2.770E-05 6.432E-04 4.000E+05 0.000E+00 0.000E+00
 4.62619750E+00   2666.8 1.463E+01 2.686E+08 3.076E-05 6.065E-04 4.000E+05 0.000E+00 0.000E+00
 5.65102540E+00   2687.4 1.787E+01 3.287E+08 3.431E-05 5.745E-04 4.000E+05 0.000E+00 0.000E+00
 6.87345248E+00   2708.3 2.173E+01 4.011E+08 3.844E-05 5.466E-04 4.000E+05 0.000E+00 0.000E+00
 8.32590107E+00   2729.6 2.632E+01 4.880E+08 4.322E-05 5.225E-04 4.000E+05 0.000E+00 0.000E+00
 1.00451667E+01   2751.5 3.176E+01 5.925E+08 4.879E-05 5.002E-04 4.000E+05 0.000E+00 0.000E+00
 1.20707901E+01   2772.0 3.816E+01 7.148E+08 5.535E-05 4.746E-04 4.000E+05 0.000E+00 0.000E+00
 1.44475489E+01   2792.8 4.568E+01 8.601E+08 6.299E-05 4.522E-04 4.000E+05 0.000E+00 0.000E+00
 1.72288328E+01   2813.9 5.447E+01 1.032E+09 7.186E-05 4.328E-04 4.000E+05 0.000E+00 0.000E+00
 2.04763281E+01   2835.4 6.474E+01 1.236E+09 8.216E-05 4.162E-04 4.000E+05 0.000E+00 0.000E+00
 2.42606792E+01   2857.1 7.671E+01 1.478E+09 9.411E-05 4.023E-04 4.000E+05 0.000E+00 0.000E+00
 2.86617808E+01   2879.3 9.062E+01 1.764E+09 1.080E-04 3.906E-04 4.000E+05 0.000E+00 0.000E+00
 3.37659041E+01   2901.2 1.068E+02 2.099E+09 1.244E-04 3.809E-04 4.000E+05 0.000E+00 0.000E+00
 3.96682935E+01   2923.1 1.254E+02 2.492E+09 1.436E-04 3.724E-04 4.000E+05 0.000E+00 0.000E+00
 4.64824544E+01   2945.6 1.470E+02 2.957E+09 1.660E-04 3.662E-04 4.000E+05 0.000E+00 0.000E+00
 5.43381990E+01   2968.7 1.718E+02 3.507E+09 1.921E-04 3.623E-04 4.000E+05 0.000E+00 0.000E+00
 6.33825895E+01   2992.5 2.004E+02 4.157E+09 2.227E-04 3.608E-04 4.000E+05 0.000E+00 0.000E+00
 7.37811601E+01   3017.1 2.333E+02 4.930E+09 2.585E-04 3.622E-04 4.000E+05 0.000E+00 0.000E+00
 8.56954936E+01   3042.9 2.710E+02 5.853E+09 3.017E-04 3.707E-04 4.000E+05 0.000E+00 0.000E+00
 9.92925604E+01   3070.0 3.139E+02 6.959E+09 3.529E-04 3.808E-04 4.000E+05 0.000E+00 0.000E+00
 1.14765628E+02   3098.6 3.629E+02 8.289E+09 4.143E-04 3.938E-04 4.000E+05 0.000E+00 0.000E+00
 1.32305074E+02   3129.5 4.183E+02 9.913E+09 4.884E-04 4.106E-04 4.000E+05 0.000E+00 0.000E+00
 1.52105200E+02   3162.8 4.809E+02 1.191E+10 5.784E-04 4.331E-04 4.000E+05 0.000E+00 0.000E+00
 1.74258190E+02   3200.6 5.510E+02 1.444E+10 6.939E-04 4.700E-04 4.000E+05 0.000E+00 0.000E+00
 1.98781189E+02   3242.5 6.285E+02 1.766E+10 8.391E-04 5.139E-04 4.000E+05 0.000E+00 0.000E+00
 2.25698143E+02   3289.6 7.136E+02 2.184E+10 1.025E-03 5.693E-04 4.000E+05 0.000E+00 0.000E+00
 2.54813174E+02   3344.1 8.057E+02 2.745E+10 1.276E-03 6.504E-04 4.000E+05 0.000E+00 0.000E+00
 2.85729708E+02   3406.7 9.034E+02 3.507E+10 1.616E-03 7.603E-04 4.000E+05 0.000E+00 0.000E+00
 3.18052138E+02   3478.0 1.006E+03 4.549E+10 2.076E-03 9.037E-04 4.000E+05 0.000E+00 0.000E+00
 3.51266116E+02   3560.2 1.111E+03 5.996E+10 2.718E-03 1.104E-03 4.000E+05 0.000E+00 0.000E+00
