
       Teff log g  [M]  Vturb  l/H   small     big    beta
  193  8000  2.00  0.00  4.00  1.25 -18.720 -18.925   2.788
  194  8000  2.50  0.00  4.00  1.25 -18.667 -18.901   2.829
  195  8000  3.00  0.00  4.00  1.25 -18.617 -18.872   2.857
  196  8000  3.50  0.00  4.00  1.25 -18.572 -18.839   2.872
  197  8000  4.00  0.00  4.00  1.25 -18.536 -18.804   2.875
  198  8000  4.50  0.00  4.00  1.25 -18.502 -18.767   2.871
  199  8000  5.00  0.00  4.00  1.25 -18.471 -18.730   2.862
  200  8250  1.00  0.00  4.00  1.25 -18.941 -19.020   2.617
  201  8250  1.50  0.00  4.00  1.25 -18.912 -19.055   2.705
  202  8250  2.00  0.00  4.00  1.25 -18.855 -19.046   2.770
  203  8250  2.50  0.00  4.00  1.25 -18.797 -19.027   2.822
  204  8250  3.00  0.00  4.00  1.25 -18.741 -19.000   2.862
  205  8250  3.50  0.00  4.00  1.25 -18.689 -18.967   2.887
  206  8250  4.00  0.00  4.00  1.25 -18.644 -18.931   2.899
  207  8250  4.50  0.00  4.00  1.25 -18.608 -18.895   2.900
  208  8250  5.00  0.00  4.00  1.25 -18.574 -18.856   2.894
  209  8500  1.50  0.00  4.00  1.25 -19.032 -19.153   2.674
  210  8500  2.00  0.00  4.00  1.25 -18.980 -19.154   2.746
  211  8500  2.50  0.00  4.00  1.25 -18.919 -19.138   2.808
  212  8500  3.00  0.00  4.00  1.25 -18.859 -19.114   2.857
  213  8500  3.50  0.00  4.00  1.25 -18.802 -19.083   2.893
  214  8500  4.00  0.00  4.00  1.25 -18.750 -19.048   2.915
  215  8500  4.50  0.00  4.00  1.25 -18.706 -19.010   2.923
  216  8500  5.00  0.00  4.00  1.25 -18.671 -18.974   2.922
  217  8750  1.50  0.00  4.00  1.25 -19.137 -19.238   2.647
  218  8750  2.00  0.00  4.00  1.25 -19.094 -19.249   2.721
  219  8750  2.50  0.00  4.00  1.25 -19.033 -19.237   2.788
  220  8750  3.00  0.00  4.00  1.25 -18.969 -19.216   2.846
  221  8750  3.50  0.00  4.00  1.25 -18.908 -19.188   2.891
  222  8750  4.00  0.00  4.00  1.25 -18.851 -19.154   2.922
  223  8750  4.50  0.00  4.00  1.25 -18.801 -19.116   2.938
  224  8750  5.00  0.00  4.00  1.25 -18.761 -19.080   2.943
  225  9000  1.50  0.00  4.00  0.00 -19.228 -19.312   2.625
  226  9000  2.00  0.00  4.00  0.00 -19.197 -19.334   2.696
  227  9000  2.50  0.00  4.00  0.00 -19.139 -19.327   2.765
  228  9000  3.00  0.00  4.00  0.00 -19.073 -19.308   2.829
  229  9000  3.50  0.00  4.00  0.00 -19.007 -19.282   2.883
  230  9000  4.00  0.00  4.00  0.00 -18.946 -19.250   2.922
  231  9000  4.50  0.00  4.00  0.00 -18.892 -19.213   2.947
  232  9000  5.00  0.00  4.00  0.00 -18.843 -19.172   2.957
  233  9250  2.00  0.00  4.00  0.00 -19.290 -19.412   2.676
  234  9250  2.50  0.00  4.00  0.00 -19.237 -19.409   2.744
  235  9250  3.00  0.00  4.00  0.00 -19.171 -19.392   2.811
  236  9250  3.50  0.00  4.00  0.00 -19.102 -19.367   2.871
  237  9250  4.00  0.00  4.00  0.00 -19.036 -19.337   2.918
  238  9250  4.50  0.00  4.00  0.00 -18.978 -19.301   2.950
  239  9250  5.00  0.00  4.00  0.00 -18.926 -19.262   2.966
  240  9500  2.00  0.00  4.00  0.00 -19.376 -19.485   2.658
  241  9500  2.50  0.00  4.00  0.00 -19.328 -19.485   2.724
  242  9500  3.00  0.00  4.00  0.00 -19.264 -19.470   2.791
  243  9500  3.50  0.00  4.00  0.00 -19.192 -19.447   2.855
  244  9500  4.00  0.00  4.00  0.00 -19.123 -19.417   2.910
  245  9500  4.50  0.00  4.00  0.00 -19.060 -19.382   2.949
  246  9500  5.00  0.00  4.00  0.00 -19.005 -19.344   2.971
  247  9750  2.00  0.00  4.00  0.00 -19.454 -19.553   2.644
  248  9750  2.50  0.00  4.00  0.00 -19.412 -19.556   2.706
  249  9750  3.00  0.00  4.00  0.00 -19.351 -19.544   2.772
  250  9750  3.50  0.00  4.00  0.00 -19.279 -19.521   2.838
  251  9750  4.00  0.00  4.00  0.00 -19.206 -19.492   2.898
  252  9750  4.50  0.00  4.00  0.00 -19.139 -19.458   2.944
  253  9750  5.00  0.00  4.00  0.00 -19.079 -19.420   2.972
  254 10000  2.00  0.00  4.00  0.00 -19.528 -19.618   2.632
  255 10000  2.50  0.00  4.00  0.00 -19.490 -19.623   2.691
  256 10000  3.00  0.00  4.00  0.00 -19.432 -19.612   2.754
  257 10000  3.50  0.00  4.00  0.00 -19.362 -19.591   2.821
  258 10000  4.00  0.00  4.00  0.00 -19.288 -19.563   2.884
  259 10000  4.50  0.00  4.00  0.00 -19.216 -19.529   2.936
  260 10000  5.00  0.00  4.00  0.00 -19.152 -19.491   2.971
  261 10250  2.00  0.00  4.00  0.00 -19.596 -19.679   2.622
  262 10250  2.50  0.00  4.00  0.00 -19.563 -19.687   2.678
  263 10250  3.00  0.00  4.00  0.00 -19.509 -19.677   2.739
  264 10250  3.50  0.00  4.00  0.00 -19.441 -19.657   2.804
  265 10250  4.00  0.00  4.00  0.00 -19.366 -19.630   2.868
  266 10250  4.50  0.00  4.00  0.00 -19.291 -19.597   2.925
  267 10250  5.00  0.00  4.00  0.00 -19.223 -19.558   2.966
  268 10500  2.00  0.00  4.00  0.00 -19.661 -19.737   2.613
  269 10500  2.50  0.00  4.00  0.00 -19.631 -19.747   2.667
  270 10500  3.00  0.00  4.00  0.00 -19.580 -19.738   2.725
