
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
   95  5500  3.00  0.00  2.00  1.25  0.00   1.939   1.938   0.457   0.295   0.434   0.432   2.596
   96  5500  3.50  0.00  2.00  1.25  0.00   1.888   1.886   0.454   0.299   0.380   0.379   2.590
   97  5500  4.00  0.00  2.00  1.25  0.00   1.859   1.859   0.450   0.311   0.336   0.335   2.584
   98  5500  4.50  0.00  2.00  1.25  0.00   1.854   1.853   0.444   0.331   0.302   0.302   2.578
   99  5500  5.00  0.00  2.00  1.25  0.00   1.873   1.872   0.437   0.359   0.280   0.280   2.570
  100  5750  0.00  0.00  2.00  1.25  0.00   2.512   2.509   0.405   0.318   1.062   1.060   2.633
  101  5750  0.50  0.00  2.00  1.25  0.00   2.384   2.382   0.405   0.306   0.961   0.958   2.632
  102  5750  1.00  0.00  2.00  1.25  0.00   2.253   2.251   0.404   0.293   0.858   0.856   2.630
  103  5750  1.50  0.00  2.00  1.25  0.00   2.126   2.124   0.404   0.279   0.758   0.756   2.627
  104  5750  2.00  0.00  2.00  1.25  0.00   2.009   2.007   0.405   0.268   0.663   0.661   2.623
  105  5750  2.50  0.00  2.00  1.25  0.00   1.907   1.905   0.406   0.259   0.574   0.572   2.618
  106  5750  3.00  0.00  2.00  1.25  0.00   1.820   1.819   0.407   0.256   0.493   0.491   2.612
  107  5750  3.50  0.00  2.00  1.25  0.00   1.752   1.751   0.407   0.257   0.421   0.419   2.606
  108  5750  4.00  0.00  2.00  1.25  0.00   1.706   1.705   0.407   0.266   0.358   0.357   2.600
  109  5750  4.50  0.00  2.00  1.25  0.00   1.682   1.681   0.405   0.281   0.308   0.307   2.594
  110  5750  5.00  0.00  2.00  1.25  0.00   1.683   1.683   0.401   0.304   0.270   0.270   2.588
  111  6000  0.00  0.00  2.00  1.25  0.00   2.464   2.462   0.328   0.274   1.256   1.254   2.650
  112  6000  0.50  0.00  2.00  1.25  0.00   2.347   2.345   0.338   0.271   1.126   1.125   2.650
  113  6000  1.00  0.00  2.00  1.25  0.00   2.217   2.215   0.343   0.260   1.009   1.007   2.649
  114  6000  1.50  0.00  2.00  1.25  0.00   2.085   2.084   0.348   0.248   0.892   0.891   2.647
  115  6000  2.00  0.00  2.00  1.25  0.00   1.960   1.958   0.353   0.237   0.778   0.777   2.643
  116  6000  2.50  0.00  2.00  1.25  0.00   1.844   1.843   0.357   0.229   0.669   0.668   2.638
  117  6000  3.00  0.00  2.00  1.25  0.00   1.742   1.741   0.361   0.225   0.567   0.566   2.632
  118  6000  3.50  0.00  2.00  1.25  0.00   1.658   1.657   0.365   0.226   0.475   0.474   2.626
