
       Teff log g  [M]a Vturb  l/H   small     big    beta
   33  4000  5.00 -1.50  4.00  1.25 -14.493 -14.434   2.429
   34  4250  0.00 -1.50  4.00  1.25 -14.726 -14.766   2.564
   35  4250  0.50 -1.50  4.00  1.25 -14.836 -14.871   2.557
   36  4250  1.00 -1.50  4.00  1.25 -14.914 -14.943   2.549
   37  4250  1.50 -1.50  4.00  1.25 -14.967 -14.989   2.540
   38  4250  2.00 -1.50  4.00  1.25 -15.003 -15.017   2.529
   39  4250  2.50 -1.50  4.00  1.25 -15.028 -15.032   2.516
   40  4250  3.00 -1.50  4.00  1.25 -15.044 -15.036   2.500
   41  4250  3.50 -1.50  4.00  1.25 -15.053 -15.031   2.481
   42  4250  4.00 -1.50  4.00  1.25 -15.046 -15.015   2.468
   43  4250  4.50 -1.50  4.00  1.25 -15.035 -15.000   2.463
   44  4250  5.00 -1.50  4.00  1.25 -15.030 -14.991   2.457
   45  4500  0.00 -1.50  4.00  1.25 -15.268 -15.306   2.561
   46  4500  0.50 -1.50  4.00  1.25 -15.349 -15.382   2.556
   47  4500  1.00 -1.50  4.00  1.25 -15.406 -15.436   2.550
   48  4500  1.50 -1.50  4.00  1.25 -15.445 -15.470   2.545
   49  4500  2.00 -1.50  4.00  1.25 -15.471 -15.492   2.539
   50  4500  2.50 -1.50  4.00  1.25 -15.489 -15.505   2.532
   51  4500  3.00 -1.50  4.00  1.25 -15.502 -15.513   2.524
   52  4500  3.50 -1.50  4.00  1.25 -15.513 -15.516   2.514
   53  4500  4.00 -1.50  4.00  1.25 -15.520 -15.513   2.501
   54  4500  4.50 -1.50  4.00  1.25 -15.516 -15.500   2.489
   55  4500  5.00 -1.50  4.00  1.25 -15.503 -15.482   2.481
   56  4750  0.00 -1.50  4.00  1.25 -15.746 -15.785   2.562
   57  4750  0.50 -1.50  4.00  1.25 -15.797 -15.832   2.557
   58  4750  1.00 -1.50  4.00  1.25 -15.835 -15.865   2.551
   59  4750  1.50 -1.50  4.00  1.25 -15.860 -15.887   2.547
   60  4750  2.00 -1.50  4.00  1.25 -15.876 -15.900   2.543
   61  4750  2.50 -1.50  4.00  1.25 -15.886 -15.908   2.539
   62  4750  3.00 -1.50  4.00  1.25 -15.895 -15.913   2.535
   63  4750  3.50 -1.50  4.00  1.25 -15.902 -15.917   2.530
   64  4750  4.00 -1.50  4.00  1.25 -15.909 -15.918   2.523
   65  4750  4.50 -1.50  4.00  1.25 -15.913 -15.916   2.515
   66  4750  5.00 -1.50  4.00  1.25 -15.909 -15.907   2.506
   67  5000  0.00 -1.50  4.00  1.25 -16.165 -16.208   2.569
   68  5000  0.50 -1.50  4.00  1.25 -16.191 -16.230   2.563
   69  5000  1.00 -1.50  4.00  1.25 -16.210 -16.245   2.557
   70  5000  1.50 -1.50  4.00  1.25 -16.222 -16.253   2.552
   71  5000  2.00 -1.50  4.00  1.25 -16.229 -16.258   2.548
   72  5000  2.50 -1.50  4.00  1.25 -16.233 -16.259   2.545
   73  5000  3.00 -1.50  4.00  1.25 -16.237 -16.261   2.543
   74  5000  3.50 -1.50  4.00  1.25 -16.240 -16.262   2.539
   75  5000  4.00 -1.50  4.00  1.25 -16.244 -16.263   2.536
   76  5000  4.50 -1.50  4.00  1.25 -16.248 -16.264   2.532
   77  5000  5.00 -1.50  4.00  1.25 -16.249 -16.261   2.527
   78  5250  0.00 -1.50  4.00  1.25 -16.527 -16.580   2.581
   79  5250  0.50 -1.50  4.00  1.25 -16.535 -16.583   2.574
   80  5250  1.00 -1.50  4.00  1.25 -16.540 -16.583   2.568
   81  5250  1.50 -1.50  4.00  1.25 -16.541 -16.580   2.562
   82  5250  2.00 -1.50  4.00  1.25 -16.541 -16.576   2.558
   83  5250  2.50 -1.50  4.00  1.25 -16.538 -16.571   2.554
   84  5250  3.00 -1.50  4.00  1.25 -16.537 -16.567   2.551
   85  5250  3.50 -1.50  4.00  1.25 -16.536 -16.565   2.549
   86  5250  4.00 -1.50  4.00  1.25 -16.538 -16.565   2.546
   87  5250  4.50 -1.50  4.00  1.25 -16.541 -16.565   2.544
   88  5250  5.00 -1.50  4.00  1.25 -16.542 -16.565   2.541
   89  5500  0.00 -1.50  4.00  1.25 -16.844 -16.908   2.597
   90  5500  0.50 -1.50  4.00  1.25 -16.839 -16.898   2.591
   91  5500  1.00 -1.50  4.00  1.25 -16.833 -16.888   2.584
   92  5500  1.50 -1.50  4.00  1.25 -16.826 -16.876   2.578
   93  5500  2.00 -1.50  4.00  1.25 -16.818 -16.863   2.572
   94  5500  2.50 -1.50  4.00  1.25 -16.809 -16.851   2.567
   95  5500  3.00 -1.50  4.00  1.25 -16.802 -16.841   2.563
   96  5500  3.50 -1.50  4.00  1.25 -16.798 -16.835   2.560
   97  5500  4.00 -1.50  4.00  1.25 -16.797 -16.832   2.558
   98  5500  4.50 -1.50  4.00  1.25 -16.798 -16.832   2.555
   99  5500  5.00 -1.50  4.00  1.25 -16.800 -16.832   2.553
  100  5750  0.00 -1.50  4.00  1.25 -17.124 -17.202   2.616
  101  5750  0.50 -1.50  4.00  1.25 -17.111 -17.185   2.611
  102  5750  1.00 -1.50  4.00  1.25 -17.097 -17.167   2.604
  103  5750  1.50 -1.50  4.00  1.25 -17.083 -17.148   2.598
  104  5750  2.00 -1.50  4.00  1.25 -17.069 -17.129   2.592
  105  5750  2.50 -1.50  4.00  1.25 -17.054 -17.110   2.586
  106  5750  3.00 -1.50  4.00  1.25 -17.042 -17.094   2.581
  107  5750  3.50 -1.50  4.00  1.25 -17.032 -17.081   2.576
  108  5750  4.00 -1.50  4.00  1.25 -17.027 -17.073   2.573
  109  5750  4.50 -1.50  4.00  1.25 -17.027 -17.070   2.569
  110  5750  5.00 -1.50  4.00  1.25 -17.028 -17.070   2.567
  111  6000  0.00 -1.50  4.00  1.25 -17.376 -17.468   2.636
  112  6000  0.50 -1.50  4.00  1.25 -17.357 -17.447   2.632
  113  6000  1.00 -1.50  4.00  1.25 -17.338 -17.425   2.628
  114  6000  1.50 -1.50  4.00  1.25 -17.319 -17.401   2.622
  115  6000  2.00 -1.50  4.00  1.25 -17.299 -17.377   2.616
  116  6000  2.50 -1.50  4.00  1.25 -17.279 -17.352   2.610
  117  6000  3.00 -1.50  4.00  1.25 -17.261 -17.329   2.603
  118  6000  3.50 -1.50  4.00  1.25 -17.246 -17.310   2.597
  119  6000  4.00 -1.50  4.00  1.25 -17.236 -17.296   2.592
  120  6000  4.50 -1.50  4.00  1.25 -17.231 -17.288   2.588
  121  6000  5.00 -1.50  4.00  1.25 -17.231 -17.285   2.584
  122  6250  0.50 -1.50  4.00  1.25 -17.582 -17.689   2.655
  123  6250  1.00 -1.50  4.00  1.25 -17.560 -17.665   2.653
  124  6250  1.50 -1.50  4.00  1.25 -17.536 -17.638   2.649
  125  6250  2.00 -1.50  4.00  1.25 -17.511 -17.610   2.644
  126  6250  2.50 -1.50  4.00  1.25 -17.487 -17.581   2.637
  127  6250  3.00 -1.50  4.00  1.25 -17.464 -17.552   2.630
  128  6250  3.50 -1.50  4.00  1.25 -17.444 -17.527   2.623
  129  6250  4.00 -1.50  4.00  1.25 -17.428 -17.506   2.616
  130  6250  4.50 -1.50  4.00  1.25 -17.418 -17.492   2.610
  131  6250  5.00 -1.50  4.00  1.25 -17.414 -17.484   2.605
  132  6500  0.50 -1.50  4.00  1.25 -17.787 -17.912   2.679
  133  6500  1.00 -1.50  4.00  1.25 -17.764 -17.888   2.679
  134  6500  1.50 -1.50  4.00  1.25 -17.737 -17.860   2.677
  135  6500  2.00 -1.50  4.00  1.25 -17.709 -17.829   2.674
  136  6500  2.50 -1.50  4.00  1.25 -17.680 -17.797   2.668
  137  6500  3.00 -1.50  4.00  1.25 -17.653 -17.764   2.661
  138  6500  3.50 -1.50  4.00  1.25 -17.628 -17.733   2.653
  139  6500  4.00 -1.50  4.00  1.25 -17.606 -17.705   2.645
  140  6500  4.50 -1.50  4.00  1.25 -17.591 -17.684   2.637
  141  6500  5.00 -1.50  4.00  1.25 -17.582 -17.671   2.630
  142  6750  0.50 -1.50  4.00  1.25 -17.984 -18.119   2.693
  143  6750  1.00 -1.50  4.00  1.25 -17.951 -18.095   2.705
  144  6750  1.50 -1.50  4.00  1.25 -17.923 -18.068   2.706
  145  6750  2.00 -1.50  4.00  1.25 -17.892 -18.036   2.705
  146  6750  2.50 -1.50  4.00  1.25 -17.860 -18.001   2.701
  147  6750  3.00 -1.50  4.00  1.25 -17.829 -17.964   2.695
  148  6750  3.50 -1.50  4.00  1.25 -17.799 -17.929   2.686
  149  6750  4.00 -1.50  4.00  1.25 -17.773 -17.895   2.677
  150  6750  4.50 -1.50  4.00  1.25 -17.752 -17.868   2.668
  151  6750  5.00 -1.50  4.00  1.25 -17.737 -17.847   2.659
  152  7000  0.50 -1.50  4.00  1.25 -18.173 -18.311   2.697
  153  7000  1.00 -1.50  4.00  1.25 -18.132 -18.287   2.722
  154  7000  1.50 -1.50  4.00  1.25 -18.095 -18.260   2.734
  155  7000  2.00 -1.50  4.00  1.25 -18.063 -18.230   2.736
  156  7000  2.50 -1.50  4.00  1.25 -18.029 -18.194   2.734
  157  7000  3.00 -1.50  4.00  1.25 -17.993 -18.155   2.730
  158  7000  3.50 -1.50  4.00  1.25 -17.959 -18.115   2.722
  159  7000  4.00 -1.50  4.00  1.25 -17.929 -18.077   2.712
  160  7000  4.50 -1.50  4.00  1.25 -17.903 -18.044   2.702
  161  7000  5.00 -1.50  4.00  1.25 -17.883 -18.016   2.692
  162  7250  0.50 -1.50  4.00  1.25 -18.355 -18.484   2.686
  163  7250  1.00 -1.50  4.00  1.25 -18.306 -18.465   2.726
  164  7250  1.50 -1.50  4.00  1.25 -18.262 -18.440   2.752
  165  7250  2.00 -1.50  4.00  1.25 -18.221 -18.409   2.765
  166  7250  2.50 -1.50  4.00  1.25 -18.185 -18.374   2.767
  167  7250  3.00 -1.50  4.00  1.25 -18.147 -18.335   2.765
  168  7250  3.50 -1.50  4.00  1.25 -18.109 -18.293   2.759
  169  7250  4.00 -1.50  4.00  1.25 -18.075 -18.251   2.750
  170  7250  4.50 -1.50  4.00  1.25 -18.044 -18.212   2.738
  171  7250  5.00 -1.50  4.00  1.25 -18.019 -18.179   2.727
  172  7500  0.50 -1.50  4.00  1.25 -18.526 -18.632   2.654
  173  7500  1.00 -1.50  4.00  1.25 -18.472 -18.626   2.718
  174  7500  1.50 -1.50  4.00  1.25 -18.422 -18.604   2.758
  175  7500  2.00 -1.50  4.00  1.25 -18.374 -18.575   2.784
  176  7500  2.50 -1.50  4.00  1.25 -18.329 -18.540   2.797
  177  7500  3.00 -1.50  4.00  1.25 -18.290 -18.503   2.799
  178  7500  3.50 -1.50  4.00  1.25 -18.250 -18.460   2.795
  179  7500  4.00 -1.50  4.00  1.25 -18.212 -18.416   2.788
  180  7500  4.50 -1.50  4.00  1.25 -18.177 -18.373   2.776
  181  7500  5.00 -1.50  4.00  1.25 -18.147 -18.334   2.764
  182  7750  1.00 -1.50  4.00  1.25 -18.629 -18.766   2.696
  183  7750  1.50 -1.50  4.00  1.25 -18.575 -18.752   2.751
  184  7750  2.00 -1.50  4.00  1.25 -18.521 -18.727   2.790
  185  7750  2.50 -1.50  4.00  1.25 -18.469 -18.695   2.817
  186  7750  3.00 -1.50  4.00  1.25 -18.423 -18.657   2.828
  187  7750  3.50 -1.50  4.00  1.25 -18.382 -18.617   2.829
  188  7750  4.00 -1.50  4.00  1.25 -18.340 -18.572   2.825
  189  7750  4.50 -1.50  4.00  1.25 -18.302 -18.526   2.814
  190  7750  5.00 -1.50  4.00  1.25 -18.268 -18.483   2.802
  191  8000  1.00 -1.50  4.00  1.25 -18.769 -18.879   2.660
  192  8000  1.50 -1.50  4.00  1.25 -18.718 -18.882   2.732
  193  8000  2.00 -1.50  4.00  1.25 -18.661 -18.863   2.785
  194  8000  2.50 -1.50  4.00  1.25 -18.604 -18.834   2.823
  195  8000  3.00 -1.50  4.00  1.25 -18.549 -18.798   2.848
  196  8000  3.50 -1.50  4.00  1.25 -18.502 -18.758   2.858
  197  8000  4.00 -1.50  4.00  1.25 -18.461 -18.717   2.858
  198  8000  4.50 -1.50  4.00  1.25 -18.420 -18.670   2.851
  199  8000  5.00 -1.50  4.00  1.25 -18.382 -18.624   2.839
  200  8250  1.50 -1.50  4.00  1.25 -18.849 -18.993   2.705
  201  8250  2.00 -1.50  4.00  1.25 -18.791 -18.982   2.769
  202  8250  2.50 -1.50  4.00  1.25 -18.731 -18.959   2.820
  203  8250  3.00 -1.50  4.00  1.25 -18.672 -18.926   2.856
  204  8250  3.50 -1.50  4.00  1.25 -18.617 -18.887   2.878
  205  8250  4.00 -1.50  4.00  1.25 -18.571 -18.848   2.886
  206  8250  4.50 -1.50  4.00  1.25 -18.530 -18.805   2.884
  207  8250  5.00 -1.50  4.00  1.25 -18.490 -18.758   2.875
  208  8500  1.50 -1.50  4.00  1.25 -18.965 -19.086   2.674
  209  8500  2.00 -1.50  4.00  1.25 -18.913 -19.087   2.746
  210  8500  2.50 -1.50  4.00  1.25 -18.850 -19.069   2.807
  211  8500  3.00 -1.50  4.00  1.25 -18.787 -19.041   2.855
  212  8500  3.50 -1.50  4.00  1.25 -18.727 -19.005   2.888
  213  8500  4.00 -1.50  4.00  1.25 -18.673 -18.964   2.905
  214  8500  4.50 -1.50  4.00  1.25 -18.631 -18.926   2.911
  215  8500  5.00 -1.50  4.00  1.25 -18.591 -18.883   2.907
  216  8750  2.00 -1.50  4.00  1.25 -19.024 -19.178   2.720
  217  8750  2.50 -1.50  4.00  1.25 -18.963 -19.167   2.787
  218  8750  3.00 -1.50  4.00  1.25 -18.897 -19.143   2.845
  219  8750  3.50 -1.50  4.00  1.25 -18.832 -19.111   2.889
  220  8750  4.00 -1.50  4.00  1.25 -18.773 -19.072   2.917
  221  8750  4.50 -1.50  4.00  1.25 -18.724 -19.032   2.929
  222  8750  5.00 -1.50  4.00  1.25 -18.685 -18.996   2.933
  223  9000  2.00 -1.50  4.00  0.00 -19.123 -19.260   2.695
  224  9000  2.50 -1.50  4.00  0.00 -19.067 -19.255   2.765
  225  9000  3.00 -1.50  4.00  0.00 -19.001 -19.236   2.829
  226  9000  3.50 -1.50  4.00  0.00 -18.933 -19.207   2.883
  227  9000  4.00 -1.50  4.00  0.00 -18.869 -19.171   2.921
  228  9000  4.50 -1.50  4.00  0.00 -18.812 -19.130   2.941
  229  9000  5.00 -1.50  4.00  0.00 -18.762 -19.084   2.947
  230  9250  2.00 -1.50  4.00  0.00 -19.212 -19.333   2.675
  231  9250  2.50 -1.50  4.00  0.00 -19.163 -19.334   2.742
  232  9250  3.00 -1.50  4.00  0.00 -19.099 -19.319   2.810
  233  9250  3.50 -1.50  4.00  0.00 -19.029 -19.294   2.871
  234  9250  4.00 -1.50  4.00  0.00 -18.961 -19.261   2.918
  235  9250  4.50 -1.50  4.00  0.00 -18.900 -19.222   2.947
  236  9250  5.00 -1.50  4.00  0.00 -18.847 -19.178   2.960
  237  9500  2.00 -1.50  4.00  0.00 -19.291 -19.401   2.659
  238  9500  2.50 -1.50  4.00  0.00 -19.249 -19.405   2.722
  239  9500  3.00 -1.50  4.00  0.00 -19.189 -19.394   2.789
  240  9500  3.50 -1.50  4.00  0.00 -19.120 -19.373   2.854
  241  9500  4.00 -1.50  4.00  0.00 -19.050 -19.343   2.909
  242  9500  4.50 -1.50  4.00  0.00 -18.984 -19.306   2.947
  243  9500  5.00 -1.50  4.00  0.00 -18.928 -19.265   2.968
  244  9750  2.00 -1.50  4.00  0.00 -19.365 -19.464   2.646
  245  9750  2.50 -1.50  4.00  0.00 -19.327 -19.471   2.706
  246  9750  3.00 -1.50  4.00  0.00 -19.272 -19.463   2.770
  247  9750  3.50 -1.50  4.00  0.00 -19.205 -19.445   2.836
  248  9750  4.00 -1.50  4.00  0.00 -19.134 -19.419   2.896
  249  9750  4.50 -1.50  4.00  0.00 -19.066 -19.385   2.943
  250  9750  5.00 -1.50  4.00  0.00 -19.005 -19.345   2.971
  251 10000  2.00 -1.50  4.00  0.00 -19.433 -19.525   2.635
  252 10000  2.50 -1.50  4.00  0.00 -19.400 -19.534   2.692
  253 10000  3.00 -1.50  4.00  0.00 -19.348 -19.528   2.754
  254 10000  3.50 -1.50  4.00  0.00 -19.285 -19.512   2.819
  255 10000  4.00 -1.50  4.00  0.00 -19.215 -19.488   2.882
  256 10000  4.50 -1.50  4.00  0.00 -19.145 -19.457   2.934
  257 10000  5.00 -1.50  4.00  0.00 -19.081 -19.419   2.969
  258 10500  2.00 -1.50  4.00  0.00 -19.558 -19.639   2.619
  259 10500  2.50 -1.50  4.00  0.00 -19.531 -19.649   2.671
  260 10500  3.00 -1.50  4.00  0.00 -19.485 -19.645   2.727
  261 10500  3.50 -1.50  4.00  0.00 -19.427 -19.632   2.788
  262 10500  4.00 -1.50  4.00  0.00 -19.361 -19.612   2.851
  263 10500  4.50 -1.50  4.00  0.00 -19.291 -19.585   2.910
  264 10500  5.00 -1.50  4.00  0.00 -19.224 -19.552   2.956
  265 11000  2.50 -1.50  4.00  0.00 -19.648 -19.754   2.655
  266 11000  3.00 -1.50  4.00  0.00 -19.606 -19.751   2.707
  267 11000  3.50 -1.50  4.00  0.00 -19.553 -19.740   2.763
  268 11000  4.00 -1.50  4.00  0.00 -19.491 -19.722   2.824
  269 11000  4.50 -1.50  4.00  0.00 -19.424 -19.699   2.884
  270 11000  5.00 -1.50  4.00  0.00 -19.355 -19.669   2.936
  271 11500  2.50 -1.50  4.00  0.00 -19.755 -19.852   2.642
  272 11500  3.00 -1.50  4.00  0.00 -19.716 -19.849   2.691
  273 11500  3.50 -1.50  4.00  0.00 -19.666 -19.838   2.744
  274 11500  4.00 -1.50  4.00  0.00 -19.608 -19.822   2.800
  275 11500  4.50 -1.50  4.00  0.00 -19.544 -19.801   2.859
  276 11500  5.00 -1.50  4.00  0.00 -19.476 -19.774   2.914
  277 12000  2.50 -1.50  4.00  0.00 -19.853 -19.942   2.631
  278 12000  3.00 -1.50  4.00  0.00 -19.816 -19.939   2.678
  279 12000  3.50 -1.50  4.00  0.00 -19.769 -19.929   2.727
  280 12000  4.00 -1.50  4.00  0.00 -19.715 -19.914   2.781
  281 12000  4.50 -1.50  4.00  0.00 -19.654 -19.895   2.837
  282 12000  5.00 -1.50  4.00  0.00 -19.589 -19.870   2.892
  283 12500  2.50 -1.50  4.00  0.00 -19.945 -20.027   2.622
  284 12500  3.00 -1.50  4.00  0.00 -19.909 -20.024   2.666
  285 12500  3.50 -1.50  4.00  0.00 -19.865 -20.014   2.713
  286 12500  4.00 -1.50  4.00  0.00 -19.813 -20.000   2.764
  287 12500  4.50 -1.50  4.00  0.00 -19.755 -19.982   2.818
  288 12500  5.00 -1.50  4.00  0.00 -19.693 -19.959   2.871
  289 13000  2.50 -1.50  4.00  0.00 -20.031 -20.107   2.614
  290 13000  3.00 -1.50  4.00  0.00 -19.996 -20.104   2.656
  291 13000  3.50 -1.50  4.00  0.00 -19.953 -20.094   2.702
  292 13000  4.00 -1.50  4.00  0.00 -19.904 -20.080   2.750
  293 13000  4.50 -1.50  4.00  0.00 -19.849 -20.063   2.801
  294 13000  5.00 -1.50  4.00  0.00 -19.789 -20.041   2.852
  295 14000  2.00 -1.50  4.00  0.00 -20.208 -20.243   2.557
  296 14000  2.50 -1.50  4.00  0.00 -20.191 -20.257   2.599
  297 14000  3.00 -1.50  4.00  0.00 -20.156 -20.252   2.640
  298 14000  3.50 -1.50  4.00  0.00 -20.115 -20.241   2.682
  299 14000  4.00 -1.50  4.00  0.00 -20.069 -20.228   2.726
  300 14000  4.50 -1.50  4.00  0.00 -20.018 -20.212   2.773
  301 14000  5.00 -1.50  4.00  0.00 -19.964 -20.192   2.821
  302 15000  2.50 -1.50  4.00  0.00 -20.338 -20.394   2.587
  303 15000  3.00 -1.50  4.00  0.00 -20.302 -20.387   2.626
  304 15000  3.50 -1.50  4.00  0.00 -20.260 -20.375   2.665
  305 15000  4.00 -1.50  4.00  0.00 -20.216 -20.361   2.707
  306 15000  4.50 -1.50  4.00  0.00 -20.169 -20.346   2.751
  307 15000  5.00 -1.50  4.00  0.00 -20.118 -20.328   2.795
  308 16000  2.50 -1.50  4.00  0.00 -20.475 -20.523   2.575
  309 16000  3.00 -1.50  4.00  0.00 -20.437 -20.513   2.613
  310 16000  3.50 -1.50  4.00  0.00 -20.395 -20.499   2.652
  311 16000  4.00 -1.50  4.00  0.00 -20.351 -20.484   2.691
  312 16000  4.50 -1.50  4.00  0.00 -20.305 -20.469   2.732
  313 16000  5.00 -1.50  4.00  0.00 -20.258 -20.452   2.774
  314 17000  2.50 -1.50  4.00  0.00 -20.605 -20.645   2.565
  315 17000  3.00 -1.50  4.00  0.00 -20.565 -20.632   2.602
  316 17000  3.50 -1.50  4.00  0.00 -20.520 -20.615   2.639
  317 17000  4.00 -1.50  4.00  0.00 -20.476 -20.599   2.677
  318 17000  4.50 -1.50  4.00  0.00 -20.431 -20.583   2.717
  319 17000  5.00 -1.50  4.00  0.00 -20.386 -20.567   2.757
  320 18000  2.50 -1.50  4.00  0.00 -20.727 -20.760   2.555
  321 18000  3.00 -1.50  4.00  0.00 -20.685 -20.746   2.592
  322 18000  3.50 -1.50  4.00  0.00 -20.639 -20.726   2.628
  323 18000  4.00 -1.50  4.00  0.00 -20.594 -20.708   2.665
  324 18000  4.50 -1.50  4.00  0.00 -20.549 -20.691   2.703
  325 18000  5.00 -1.50  4.00  0.00 -20.505 -20.675   2.741
  326 19000  2.50 -1.50  4.00  0.00 -20.844 -20.870   2.546
  327 19000  3.00 -1.50  4.00  0.00 -20.800 -20.854   2.583
  328 19000  3.50 -1.50  4.00  0.00 -20.753 -20.832   2.617
  329 19000  4.00 -1.50  4.00  0.00 -20.706 -20.812   2.653
  330 19000  4.50 -1.50  4.00  0.00 -20.661 -20.794   2.690
  331 19000  5.00 -1.50  4.00  0.00 -20.617 -20.777   2.728
  332 20000  3.00 -1.50  4.00  0.00 -20.910 -20.957   2.574
  333 20000  3.50 -1.50  4.00  0.00 -20.861 -20.933   2.607
  334 20000  4.00 -1.50  4.00  0.00 -20.814 -20.911   2.642
  335 20000  4.50 -1.50  4.00  0.00 -20.768 -20.892   2.678
  336 20000  5.00 -1.50  4.00  0.00 -20.724 -20.875   2.715
  337 21000  3.00 -1.50  4.00  0.00 -21.016 -21.057   2.566
  338 21000  3.50 -1.50  4.00  0.00 -20.964 -21.030   2.599
  339 21000  4.00 -1.50  4.00  0.00 -20.916 -21.006   2.632
  340 21000  4.50 -1.50  4.00  0.00 -20.871 -20.986   2.666
  341 21000  5.00 -1.50  4.00  0.00 -20.827 -20.968   2.702
  342 22000  3.00 -1.50  4.00  0.00 -21.118 -21.154   2.559
  343 22000  3.50 -1.50  4.00  0.00 -21.064 -21.123   2.591
  344 22000  4.00 -1.50  4.00  0.00 -21.014 -21.097   2.623
  345 22000  4.50 -1.50  4.00  0.00 -20.969 -21.076   2.656
  346 22000  5.00 -1.50  4.00  0.00 -20.925 -21.058   2.691
  347 23000  3.00 -1.50  4.00  0.00 -21.217 -21.249   2.552
  348 23000  3.50 -1.50  4.00  0.00 -21.160 -21.214   2.584
  349 23000  4.00 -1.50  4.00  0.00 -21.109 -21.186   2.615
  350 23000  4.50 -1.50  4.00  0.00 -21.063 -21.163   2.647
  351 23000  5.00 -1.50  4.00  0.00 -21.019 -21.145   2.680
  352 24000  3.00 -1.50  4.00  0.00 -21.316 -21.342   2.546
  353 24000  3.50 -1.50  4.00  0.00 -21.253 -21.303   2.578
  354 24000  4.00 -1.50  4.00  0.00 -21.200 -21.272   2.608
  355 24000  4.50 -1.50  4.00  0.00 -21.153 -21.248   2.639
  356 24000  5.00 -1.50  4.00  0.00 -21.110 -21.228   2.671
  357 25000  3.00 -1.50  4.00  0.00 -21.416 -21.438   2.540
  358 25000  3.50 -1.50  4.00  0.00 -21.344 -21.389   2.572
  359 25000  4.00 -1.50  4.00  0.00 -21.289 -21.356   2.601
  360 25000  4.50 -1.50  4.00  0.00 -21.241 -21.330   2.631
  361 25000  5.00 -1.50  4.00  0.00 -21.198 -21.310   2.662
  362 26000  3.00 -1.50  4.00  0.00 -21.524 -21.540   2.532
  363 26000  3.50 -1.50  4.00  0.00 -21.435 -21.476   2.566
  364 26000  4.00 -1.50  4.00  0.00 -21.376 -21.438   2.595
  365 26000  4.50 -1.50  4.00  0.00 -21.327 -21.411   2.624
  366 26000  5.00 -1.50  4.00  0.00 -21.283 -21.390   2.655
  367 27000  3.50 -1.50  4.00  0.00 -21.527 -21.564   2.561
  368 27000  4.00 -1.50  4.00  0.00 -21.462 -21.520   2.589
  369 27000  4.50 -1.50  4.00  0.00 -21.411 -21.491   2.617
  370 27000  5.00 -1.50  4.00  0.00 -21.367 -21.468   2.647
  371 28000  3.50 -1.50  4.00  0.00 -21.622 -21.655   2.555
  372 28000  4.00 -1.50  4.00  0.00 -21.548 -21.602   2.584
  373 28000  4.50 -1.50  4.00  0.00 -21.495 -21.569   2.611
  374 28000  5.00 -1.50  4.00  0.00 -21.450 -21.546   2.640
  375 29000  3.50 -1.50  4.00  0.00 -21.721 -21.748   2.547
  376 29000  4.00 -1.50  4.00  0.00 -21.636 -21.686   2.578
