TEFF   3500.  GRAVITY 0.50000 LTE 
TITLE  [-1.5A] N(He)/Ntot=0.089 VTURB=4.0  L/H=1.25 NOVER                       
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.03162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -2.71
 ABUNDANCE CHANGE  9  -7.48 10  -3.55 11  -5.71 12  -4.06 13  -5.57 14  -4.09
 ABUNDANCE CHANGE 15  -6.59 16  -4.43 17  -6.54 18  -5.08 19  -6.82 20  -5.28
 ABUNDANCE CHANGE 21  -8.94 22  -6.65 23  -8.04 24  -6.37 25  -6.65 26  -4.53
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 8.55886087E-02   2168.4 2.706E-01 2.772E+05 1.559E-06 2.772E-04 4.000E+05 0.000E+00 0.000E+00
 1.13952384E-01   2219.0 3.603E-01 3.598E+05 1.575E-06 3.111E-04 4.000E+05 0.000E+00 0.000E+00
 1.50820252E-01   2237.5 4.773E-01 4.742E+05 1.639E-06 3.065E-04 4.000E+05 0.000E+00 0.000E+00
 1.96583265E-01   2241.9 6.251E-01 6.293E+05 1.745E-06 2.773E-04 4.000E+05 0.000E+00 0.000E+00
 2.53378281E-01   2245.0 8.092E-01 8.318E+05 1.875E-06 2.208E-04 4.000E+05 0.000E+00 0.000E+00
 3.23609994E-01   2259.3 1.039E+00 1.081E+06 1.993E-06 1.905E-04 4.000E+05 0.000E+00 0.000E+00
 4.10599569E-01   2280.0 1.328E+00 1.386E+06 2.097E-06 1.742E-04 4.000E+05 0.000E+00 0.000E+00
 5.18272896E-01   2302.8 1.696E+00 1.770E+06 2.206E-06 1.624E-04 4.000E+05 0.000E+00 0.000E+00
 6.63423109E-01   2322.0 2.160E+00 2.266E+06 2.337E-06 1.465E-04 4.000E+05 0.000E+00 0.000E+00
 8.47441097E-01   2342.2 2.743E+00 2.899E+06 2.487E-06 1.327E-04 4.000E+05 0.000E+00 0.000E+00
 1.07758585E+00   2362.5 3.472E+00 3.699E+06 2.652E-06 1.206E-04 4.000E+05 0.000E+00 0.000E+00
 1.36583317E+00   2383.1 4.383E+00 4.704E+06 2.834E-06 1.104E-04 4.000E+05 0.000E+00 0.000E+00
 1.72448643E+00   2404.4 5.518E+00 5.975E+06 3.042E-06 1.021E-04 4.000E+05 0.000E+00 0.000E+00
 2.17025384E+00   2424.5 6.927E+00 7.554E+06 3.267E-06 9.415E-05 4.000E+05 0.000E+00 0.000E+00
 2.72283703E+00   2444.8 8.673E+00 9.530E+06 3.520E-06 8.752E-05 4.000E+05 0.000E+00 0.000E+00
 3.40592212E+00   2464.5 1.083E+01 1.198E+07 3.803E-06 8.166E-05 4.000E+05 0.000E+00 0.000E+00
 4.24804593E+00   2484.0 1.349E+01 1.502E+07 4.119E-06 7.658E-05 4.000E+05 0.000E+00 0.000E+00
 5.28246168E+00   2504.2 1.676E+01 1.882E+07 4.481E-06 7.258E-05 4.000E+05 0.000E+00 0.000E+00
 6.54835253E+00   2524.2 2.076E+01 2.351E+07 4.888E-06 6.900E-05 4.000E+05 0.000E+00 0.000E+00
