
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B    B-V(J)  B-V(H) 
   72  5000  2.50 -1.50  4.00  1.25  0.00 -15.468 -16.067 -16.247 -23.626  -0.405   0.211   0.784   0.768
   73  5000  3.00 -1.50  4.00  1.25  0.00 -15.500 -16.070 -16.244 -23.626  -0.408   0.182   0.778   0.762
   74  5000  3.50 -1.50  4.00  1.25  0.00 -15.512 -16.070 -16.243 -23.626  -0.409   0.170   0.776   0.760
   75  5000  4.00 -1.50  4.00  1.25  0.00 -15.508 -16.068 -16.242 -23.626  -0.410   0.173   0.777   0.761
   76  5000  4.50 -1.50  4.00  1.25  0.00 -15.493 -16.065 -16.241 -23.626  -0.410   0.185   0.780   0.764
   77  5000  5.00 -1.50  4.00  1.25  0.00 -15.480 -16.062 -16.239 -23.626  -0.413   0.196   0.780   0.764
   78  5250  0.00 -1.50  4.00  1.25  0.00 -15.562 -16.414 -16.568 -23.837  -0.296   0.464   0.757   0.741
   79  5250  0.50 -1.50  4.00  1.25  0.00 -15.668 -16.435 -16.560 -23.837  -0.304   0.377   0.728   0.712
   80  5250  1.00 -1.50  4.00  1.25  0.00 -15.764 -16.449 -16.552 -23.837  -0.312   0.294   0.707   0.691
   81  5250  1.50 -1.50  4.00  1.25  0.00 -15.844 -16.455 -16.543 -23.837  -0.320   0.219   0.692   0.676
   82  5250  2.00 -1.50  4.00  1.25  0.00 -15.906 -16.454 -16.535 -23.837  -0.329   0.155   0.684   0.668
   83  5250  2.50 -1.50  4.00  1.25  0.00 -15.951 -16.449 -16.527 -23.837  -0.336   0.105   0.682   0.666
   84  5250  3.00 -1.50  4.00  1.25  0.00 -15.980 -16.442 -16.522 -23.837  -0.342   0.069   0.683   0.667
   85  5250  3.50 -1.50  4.00  1.25  0.00 -15.992 -16.435 -16.519 -23.837  -0.344   0.050   0.688   0.672
   86  5250  4.00 -1.50  4.00  1.25  0.00 -15.990 -16.428 -16.520 -23.837  -0.344   0.046   0.695   0.679
   87  5250  4.50 -1.50  4.00  1.25  0.00 -15.976 -16.422 -16.521 -23.837  -0.343   0.054   0.703   0.687
   88  5250  5.00 -1.50  4.00  1.25  0.00 -15.961 -16.417 -16.522 -23.837  -0.342   0.065   0.708   0.692
   89  5500  0.00 -1.50  4.00  1.25  0.00 -16.061 -16.826 -16.847 -24.039  -0.219   0.372   0.624   0.608
   90  5500  0.50 -1.50  4.00  1.25  0.00 -16.133 -16.829 -16.833 -24.039  -0.232   0.301   0.607   0.591
   91  5500  1.00 -1.50  4.00  1.25  0.00 -16.203 -16.828 -16.820 -24.039  -0.246   0.229   0.595   0.579
   92  5500  1.50 -1.50  4.00  1.25  0.00 -16.264 -16.821 -16.806 -24.039  -0.260   0.161   0.588   0.572
   93  5500  2.00 -1.50  4.00  1.25  0.00 -16.315 -16.810 -16.793 -24.039  -0.273   0.098   0.586   0.570
   94  5500  2.50 -1.50  4.00  1.25  0.00 -16.356 -16.796 -16.781 -24.039  -0.285   0.043   0.588   0.572
   95  5500  3.00 -1.50  4.00  1.25  0.00 -16.385 -16.780 -16.771 -24.039  -0.294  -0.002   0.594   0.578
   96  5500  3.50 -1.50  4.00  1.25  0.00 -16.403 -16.766 -16.766 -24.039  -0.300  -0.033   0.603   0.587
   97  5500  4.00 -1.50  4.00  1.25  0.00 -16.408 -16.754 -16.764 -24.039  -0.301  -0.050   0.614   0.598
   98  5500  4.50 -1.50  4.00  1.25  0.00 -16.401 -16.744 -16.766 -24.039  -0.300  -0.052   0.626   0.610
   99  5500  5.00 -1.50  4.00  1.25  0.00 -16.387 -16.735 -16.769 -24.039  -0.297  -0.046   0.637   0.621
  100  5750  0.00 -1.50  4.00  1.25  0.00 -16.485 -17.194 -17.100 -24.233  -0.159   0.310   0.509   0.493
  101  5750  0.50 -1.50  4.00  1.25  0.00 -16.527 -17.183 -17.083 -24.233  -0.175   0.256   0.504   0.488
  102  5750  1.00 -1.50  4.00  1.25  0.00 -16.574 -17.170 -17.067 -24.233  -0.192   0.196   0.501   0.485
  103  5750  1.50 -1.50  4.00  1.25  0.00 -16.618 -17.153 -17.050 -24.233  -0.209   0.135   0.501   0.485
  104  5750  2.00 -1.50  4.00  1.25  0.00 -16.658 -17.132 -17.032 -24.233  -0.226   0.074   0.504   0.488
  105  5750  2.50 -1.50  4.00  1.25  0.00 -16.693 -17.110 -17.016 -24.233  -0.243   0.016   0.509   0.493
  106  5750  3.00 -1.50  4.00  1.25  0.00 -16.723 -17.087 -17.001 -24.233  -0.257  -0.036   0.517   0.501
  107  5750  3.50 -1.50  4.00  1.25  0.00 -16.747 -17.067 -16.991 -24.233  -0.268  -0.080   0.527   0.511
  108  5750  4.00 -1.50  4.00  1.25  0.00 -16.762 -17.050 -16.985 -24.233  -0.274  -0.112   0.539   0.523
  109  5750  4.50 -1.50  4.00  1.25  0.00 -16.766 -17.036 -16.985 -24.233  -0.274  -0.129   0.553   0.537
  110  5750  5.00 -1.50  4.00  1.25  0.00 -16.760 -17.025 -16.988 -24.233  -0.271  -0.133   0.567   0.551
  111  6000  0.00 -1.50  4.00  1.25  0.00 -16.861 -17.530 -17.330 -24.417  -0.114   0.266   0.403   0.387
  112  6000  0.50 -1.50  4.00  1.25  0.00 -16.873 -17.506 -17.314 -24.417  -0.130   0.230   0.412   0.396
  113  6000  1.00 -1.50  4.00  1.25  0.00 -16.897 -17.482 -17.296 -24.417  -0.147   0.182   0.418   0.402
