
       Teff log g  [M]a Vturb  l/H   small     big    beta
   48  4500  1.50 -1.50  2.00  1.25 -15.450 -15.475   2.545
   49  4500  2.00 -1.50  2.00  1.25 -15.474 -15.495   2.539
   50  4500  2.50 -1.50  2.00  1.25 -15.491 -15.507   2.532
   51  4500  3.00 -1.50  2.00  1.25 -15.504 -15.514   2.524
   52  4500  3.50 -1.50  2.00  1.25 -15.514 -15.517   2.514
   53  4500  4.00 -1.50  2.00  1.25 -15.520 -15.513   2.501
   54  4500  4.50 -1.50  2.00  1.25 -15.515 -15.500   2.490
   55  4500  5.00 -1.50  2.00  1.25 -15.502 -15.482   2.482
   56  4750  0.00 -1.50  2.00  1.25 -15.750 -15.787   2.561
   57  4750  0.50 -1.50  2.00  1.25 -15.798 -15.832   2.556
   58  4750  1.00 -1.50  2.00  1.25 -15.834 -15.865   2.552
   59  4750  1.50 -1.50  2.00  1.25 -15.857 -15.885   2.548
   60  4750  2.00 -1.50  2.00  1.25 -15.872 -15.897   2.544
   61  4750  2.50 -1.50  2.00  1.25 -15.883 -15.905   2.540
   62  4750  3.00 -1.50  2.00  1.25 -15.891 -15.910   2.535
   63  4750  3.50 -1.50  2.00  1.25 -15.898 -15.913   2.530
   64  4750  4.00 -1.50  2.00  1.25 -15.905 -15.915   2.524
   65  4750  4.50 -1.50  2.00  1.25 -15.909 -15.913   2.516
   66  4750  5.00 -1.50  2.00  1.25 -15.906 -15.904   2.507
   67  5000  0.00 -1.50  2.00  1.25 -16.165 -16.207   2.567
   68  5000  0.50 -1.50  2.00  1.25 -16.189 -16.227   2.562
   69  5000  1.00 -1.50  2.00  1.25 -16.206 -16.240   2.557
   70  5000  1.50 -1.50  2.00  1.25 -16.216 -16.248   2.553
   71  5000  2.00 -1.50  2.00  1.25 -16.222 -16.251   2.550
   72  5000  2.50 -1.50  2.00  1.25 -16.225 -16.252   2.546
   73  5000  3.00 -1.50  2.00  1.25 -16.229 -16.253   2.543
   74  5000  3.50 -1.50  2.00  1.25 -16.233 -16.255   2.540
   75  5000  4.00 -1.50  2.00  1.25 -16.238 -16.257   2.536
   76  5000  4.50 -1.50  2.00  1.25 -16.242 -16.259   2.532
   77  5000  5.00 -1.50  2.00  1.25 -16.244 -16.257   2.527
   78  5250  0.00 -1.50  2.00  1.25 -16.525 -16.576   2.579
   79  5250  0.50 -1.50  2.00  1.25 -16.532 -16.578   2.573
   80  5250  1.00 -1.50  2.00  1.25 -16.534 -16.577   2.567
   81  5250  1.50 -1.50  2.00  1.25 -16.534 -16.573   2.563
   82  5250  2.00 -1.50  2.00  1.25 -16.531 -16.567   2.559
   83  5250  2.50 -1.50  2.00  1.25 -16.528 -16.561   2.555
   84  5250  3.00 -1.50  2.00  1.25 -16.526 -16.557   2.552
   85  5250  3.50 -1.50  2.00  1.25 -16.527 -16.556   2.549
   86  5250  4.00 -1.50  2.00  1.25 -16.530 -16.557   2.546
   87  5250  4.50 -1.50  2.00  1.25 -16.534 -16.559   2.544
   88  5250  5.00 -1.50  2.00  1.25 -16.536 -16.559   2.542
   89  5500  0.00 -1.50  2.00  1.25 -16.840 -16.903   2.595
   90  5500  0.50 -1.50  2.00  1.25 -16.834 -16.892   2.589
   91  5500  1.00 -1.50  2.00  1.25 -16.827 -16.881   2.583
   92  5500  1.50 -1.50  2.00  1.25 -16.818 -16.868   2.578
   93  5500  2.00 -1.50  2.00  1.25 -16.808 -16.854   2.572
   94  5500  2.50 -1.50  2.00  1.25 -16.798 -16.841   2.568
   95  5500  3.00 -1.50  2.00  1.25 -16.791 -16.831   2.564
   96  5500  3.50 -1.50  2.00  1.25 -16.787 -16.825   2.561
   97  5500  4.00 -1.50  2.00  1.25 -16.788 -16.823   2.558
   98  5500  4.50 -1.50  2.00  1.25 -16.790 -16.824   2.555
   99  5500  5.00 -1.50  2.00  1.25 -16.793 -16.825   2.554
  100  5750  0.00 -1.50  2.00  1.25 -17.119 -17.196   2.614
  101  5750  0.50 -1.50  2.00  1.25 -17.105 -17.178   2.609
  102  5750  1.00 -1.50  2.00  1.25 -17.090 -17.159   2.603
  103  5750  1.50 -1.50  2.00  1.25 -17.075 -17.139   2.597
  104  5750  2.00 -1.50  2.00  1.25 -17.059 -17.119   2.592
  105  5750  2.50 -1.50  2.00  1.25 -17.043 -17.099   2.586
  106  5750  3.00 -1.50  2.00  1.25 -17.030 -17.082   2.581
  107  5750  3.50 -1.50  2.00  1.25 -17.021 -17.070   2.577
  108  5750  4.00 -1.50  2.00  1.25 -17.017 -17.063   2.573
  109  5750  4.50 -1.50  2.00  1.25 -17.018 -17.062   2.569
  110  5750  5.00 -1.50  2.00  1.25 -17.021 -17.063   2.567
  111  6000  0.00 -1.50  2.00  1.25 -17.371 -17.462   2.634
  112  6000  0.50 -1.50  2.00  1.25 -17.351 -17.440   2.631
  113  6000  1.00 -1.50  2.00  1.25 -17.331 -17.417   2.627
  114  6000  1.50 -1.50  2.00  1.25 -17.310 -17.392   2.621
  115  6000  2.00 -1.50  2.00  1.25 -17.289 -17.366   2.615
  116  6000  2.50 -1.50  2.00  1.25 -17.268 -17.341   2.609
  117  6000  3.00 -1.50  2.00  1.25 -17.249 -17.318   2.603
  118  6000  3.50 -1.50  2.00  1.25 -17.234 -17.298   2.597
  119  6000  4.00 -1.50  2.00  1.25 -17.225 -17.285   2.592
  120  6000  4.50 -1.50  2.00  1.25 -17.222 -17.279   2.587
  121  6000  5.00 -1.50  2.00  1.25 -17.223 -17.277   2.584
  122  6250  0.50 -1.50  2.00  1.25 -17.576 -17.682   2.654
  123  6250  1.00 -1.50  2.00  1.25 -17.552 -17.657   2.652
  124  6250  1.50 -1.50  2.00  1.25 -17.527 -17.629   2.648
  125  6250  2.00 -1.50  2.00  1.25 -17.502 -17.600   2.643
  126  6250  2.50 -1.50  2.00  1.25 -17.477 -17.570   2.636
  127  6250  3.00 -1.50  2.00  1.25 -17.453 -17.540   2.629
  128  6250  3.50 -1.50  2.00  1.25 -17.432 -17.515   2.622
  129  6250  4.00 -1.50  2.00  1.25 -17.417 -17.494   2.616
  130  6250  4.50 -1.50  2.00  1.25 -17.408 -17.481   2.610
  131  6250  5.00 -1.50  2.00  1.25 -17.406 -17.475   2.605
  132  6500  0.50 -1.50  2.00  1.25 -17.781 -17.905   2.678
  133  6500  1.00 -1.50  2.00  1.25 -17.757 -17.880   2.678
  134  6500  1.50 -1.50  2.00  1.25 -17.729 -17.852   2.677
  135  6500  2.00 -1.50  2.00  1.25 -17.700 -17.820   2.673
  136  6500  2.50 -1.50  2.00  1.25 -17.670 -17.786   2.667
  137  6500  3.00 -1.50  2.00  1.25 -17.642 -17.752   2.660
  138  6500  3.50 -1.50  2.00  1.25 -17.616 -17.721   2.652
  139  6500  4.00 -1.50  2.00  1.25 -17.595 -17.693   2.644
  140  6500  4.50 -1.50  2.00  1.25 -17.580 -17.673   2.636
  141  6500  5.00 -1.50  2.00  1.25 -17.573 -17.661   2.630
  142  6750  0.50 -1.50  2.00  1.25 -17.978 -18.113   2.693
  143  6750  1.00 -1.50  2.00  1.25 -17.944 -18.087   2.704
  144  6750  1.50 -1.50  2.00  1.25 -17.916 -18.060   2.705
  145  6750  2.00 -1.50  2.00  1.25 -17.884 -18.027   2.704
  146  6750  2.50 -1.50  2.00  1.25 -17.851 -17.991   2.700
  147  6750  3.00 -1.50  2.00  1.25 -17.819 -17.954   2.693
  148  6750  3.50 -1.50  2.00  1.25 -17.788 -17.917   2.685
  149  6750  4.00 -1.50  2.00  1.25 -17.762 -17.884   2.676
  150  6750  4.50 -1.50  2.00  1.25 -17.741 -17.856   2.666
  151  6750  5.00 -1.50  2.00  1.25 -17.727 -17.837   2.658
  152  7000  0.50 -1.50  2.00  1.25 -18.167 -18.305   2.697
  153  7000  1.00 -1.50  2.00  1.25 -18.125 -18.281   2.721
  154  7000  1.50 -1.50  2.00  1.25 -18.088 -18.253   2.733
  155  7000  2.00 -1.50  2.00  1.25 -18.056 -18.221   2.735
  156  7000  2.50 -1.50  2.00  1.25 -18.020 -18.185   2.733
  157  7000  3.00 -1.50  2.00  1.25 -17.984 -18.145   2.728
  158  7000  3.50 -1.50  2.00  1.25 -17.950 -18.104   2.721
  159  7000  4.00 -1.50  2.00  1.25 -17.918 -18.066   2.711
  160  7000  4.50 -1.50  2.00  1.25 -17.893 -18.032   2.700
  161  7000  5.00 -1.50  2.00  1.25 -17.873 -18.006   2.690
  162  7250  0.50 -1.50  2.00  1.25 -18.349 -18.479   2.687
  163  7250  1.00 -1.50  2.00  1.25 -18.300 -18.459   2.726
  164  7250  1.50 -1.50  2.00  1.25 -18.255 -18.433   2.752
  165  7250  2.00 -1.50  2.00  1.25 -18.214 -18.401   2.764
  166  7250  2.50 -1.50  2.00  1.25 -18.178 -18.366   2.766
  167  7250  3.00 -1.50  2.00  1.25 -18.139 -18.326   2.764
  168  7250  3.50 -1.50  2.00  1.25 -18.101 -18.283   2.757
  169  7250  4.00 -1.50  2.00  1.25 -18.065 -18.240   2.748
  170  7250  4.50 -1.50  2.00  1.25 -18.035 -18.201   2.737
  171  7250  5.00 -1.50  2.00  1.25 -18.010 -18.168   2.725
  172  7500  0.50 -1.50  2.00  1.25 -18.520 -18.626   2.655
  173  7500  1.00 -1.50  2.00  1.25 -18.467 -18.620   2.718
  174  7500  1.50 -1.50  2.00  1.25 -18.416 -18.598   2.757
  175  7500  2.00 -1.50  2.00  1.25 -18.367 -18.568   2.783
  176  7500  2.50 -1.50  2.00  1.25 -18.323 -18.533   2.796
  177  7500  3.00 -1.50  2.00  1.25 -18.283 -18.495   2.798
  178  7500  3.50 -1.50  2.00  1.25 -18.242 -18.451   2.794
  179  7500  4.00 -1.50  2.00  1.25 -18.203 -18.406   2.786
  180  7500  4.50 -1.50  2.00  1.25 -18.168 -18.363   2.774
  181  7500  5.00 -1.50  2.00  1.25 -18.139 -18.324   2.762
  182  7750  1.00 -1.50  2.00  1.25 -18.624 -18.760   2.696
  183  7750  1.50 -1.50  2.00  1.25 -18.569 -18.746   2.751
  184  7750  2.00 -1.50  2.00  1.25 -18.515 -18.721   2.790
  185  7750  2.50 -1.50  2.00  1.25 -18.463 -18.688   2.816
  186  7750  3.00 -1.50  2.00  1.25 -18.416 -18.649   2.827
  187  7750  3.50 -1.50  2.00  1.25 -18.374 -18.609   2.828
  188  7750  4.00 -1.50  2.00  1.25 -18.333 -18.563   2.823
  189  7750  4.50 -1.50  2.00  1.25 -18.294 -18.517   2.813
  190  7750  5.00 -1.50  2.00  1.25 -18.260 -18.473   2.800
  191  8000  1.00 -1.50  2.00  1.25 -18.763 -18.873   2.660
  192  8000  1.50 -1.50  2.00  1.25 -18.712 -18.876   2.732
  193  8000  2.00 -1.50  2.00  1.25 -18.655 -18.857   2.785
  194  8000  2.50 -1.50  2.00  1.25 -18.598 -18.828   2.823
  195  8000  3.00 -1.50  2.00  1.25 -18.543 -18.791   2.847
  196  8000  3.50 -1.50  2.00  1.25 -18.496 -18.751   2.857
  197  8000  4.00 -1.50  2.00  1.25 -18.454 -18.709   2.857
  198  8000  4.50 -1.50  2.00  1.25 -18.412 -18.662   2.849
  199  8000  5.00 -1.50  2.00  1.25 -18.375 -18.616   2.838
  200  8250  1.50 -1.50  2.00  1.25 -18.843 -18.987   2.705
  201  8250  2.00 -1.50  2.00  1.25 -18.786 -18.977   2.769
  202  8250  2.50 -1.50  2.00  1.25 -18.725 -18.953   2.820
  203  8250  3.00 -1.50  2.00  1.25 -18.666 -18.920   2.856
  204  8250  3.50 -1.50  2.00  1.25 -18.610 -18.881   2.877
  205  8250  4.00 -1.50  2.00  1.25 -18.565 -18.841   2.885
  206  8250  4.50 -1.50  2.00  1.25 -18.523 -18.797   2.883
  207  8250  5.00 -1.50  2.00  1.25 -18.483 -18.750   2.873
  208  8500  1.50 -1.50  2.00  1.25 -18.959 -19.080   2.674
  209  8500  2.00 -1.50  2.00  1.25 -18.907 -19.081   2.746
  210  8500  2.50 -1.50  2.00  1.25 -18.845 -19.064   2.808
  211  8500  3.00 -1.50  2.00  1.25 -18.781 -19.035   2.855
  212  8500  3.50 -1.50  2.00  1.25 -18.721 -18.999   2.888
  213  8500  4.00 -1.50  2.00  1.25 -18.667 -18.958   2.904
  214  8500  4.50 -1.50  2.00  1.25 -18.626 -18.920   2.910
  215  8500  5.00 -1.50  2.00  1.25 -18.585 -18.876   2.905
  216  8750  2.00 -1.50  2.00  1.25 -19.018 -19.173   2.720
  217  8750  2.50 -1.50  2.00  1.25 -18.957 -19.162   2.788
  218  8750  3.00 -1.50  2.00  1.25 -18.891 -19.138   2.845
  219  8750  3.50 -1.50  2.00  1.25 -18.827 -19.106   2.889
  220  8750  4.00 -1.50  2.00  1.25 -18.768 -19.066   2.916
  221  8750  4.50 -1.50  2.00  1.25 -18.718 -19.026   2.928
  222  8750  5.00 -1.50  2.00  1.25 -18.680 -18.990   2.932
  223  9000  2.00 -1.50  2.00  0.00 -19.117 -19.254   2.696
  224  9000  2.50 -1.50  2.00  0.00 -19.062 -19.249   2.765
  225  9000  3.00 -1.50  2.00  0.00 -18.995 -19.230   2.829
  226  9000  3.50 -1.50  2.00  0.00 -18.928 -19.202   2.883
  227  9000  4.00 -1.50  2.00  0.00 -18.864 -19.166   2.921
  228  9000  4.50 -1.50  2.00  0.00 -18.807 -19.124   2.941
  229  9000  5.00 -1.50  2.00  0.00 -18.757 -19.078   2.947
  230  9250  2.00 -1.50  2.00  0.00 -19.205 -19.327   2.675
  231  9250  2.50 -1.50  2.00  0.00 -19.157 -19.328   2.742
  232  9250  3.00 -1.50  2.00  0.00 -19.093 -19.314   2.810
  233  9250  3.50 -1.50  2.00  0.00 -19.024 -19.289   2.871
  234  9250  4.00 -1.50  2.00  0.00 -18.956 -19.256   2.918
  235  9250  4.50 -1.50  2.00  0.00 -18.895 -19.217   2.947
  236  9250  5.00 -1.50  2.00  0.00 -18.842 -19.173   2.960
  237  9500  2.00 -1.50  2.00  0.00 -19.285 -19.394   2.659
  238  9500  2.50 -1.50  2.00  0.00 -19.243 -19.399   2.722
  239  9500  3.00 -1.50  2.00  0.00 -19.183 -19.389   2.789
  240  9500  3.50 -1.50  2.00  0.00 -19.115 -19.368   2.854
  241  9500  4.00 -1.50  2.00  0.00 -19.045 -19.338   2.909
  242  9500  4.50 -1.50  2.00  0.00 -18.980 -19.302   2.948
  243  9500  5.00 -1.50  2.00  0.00 -18.923 -19.260   2.968
  244  9750  2.00 -1.50  2.00  0.00 -19.357 -19.458   2.646
  245  9750  2.50 -1.50  2.00  0.00 -19.321 -19.465   2.706
  246  9750  3.00 -1.50  2.00  0.00 -19.266 -19.458   2.770
  247  9750  3.50 -1.50  2.00  0.00 -19.200 -19.440   2.836
  248  9750  4.00 -1.50  2.00  0.00 -19.130 -19.414   2.897
  249  9750  4.50 -1.50  2.00  0.00 -19.062 -19.380   2.943
  250  9750  5.00 -1.50  2.00  0.00 -19.001 -19.340   2.971
  251 10000  2.00 -1.50  2.00  0.00 -19.425 -19.518   2.636
  252 10000  2.50 -1.50  2.00  0.00 -19.393 -19.527   2.693
  253 10000  3.00 -1.50  2.00  0.00 -19.342 -19.522   2.754
  254 10000  3.50 -1.50  2.00  0.00 -19.279 -19.507   2.819
  255 10000  4.00 -1.50  2.00  0.00 -19.210 -19.483   2.882
  256 10000  4.50 -1.50  2.00  0.00 -19.140 -19.452   2.934
  257 10000  5.00 -1.50  2.00  0.00 -19.077 -19.414   2.969
  258 10500  2.00 -1.50  2.00  0.00 -19.550 -19.631   2.620
  259 10500  2.50 -1.50  2.00  0.00 -19.523 -19.642   2.672
  260 10500  3.00 -1.50  2.00  0.00 -19.478 -19.639   2.728
  261 10500  3.50 -1.50  2.00  0.00 -19.422 -19.626   2.788
  262 10500  4.00 -1.50  2.00  0.00 -19.356 -19.607   2.852
  263 10500  4.50 -1.50  2.00  0.00 -19.286 -19.581   2.910
  264 10500  5.00 -1.50  2.00  0.00 -19.220 -19.548   2.956
  265 11000  2.50 -1.50  2.00  0.00 -19.640 -19.747   2.656
  266 11000  3.00 -1.50  2.00  0.00 -19.599 -19.744   2.708
  267 11000  3.50 -1.50  2.00  0.00 -19.547 -19.734   2.764
  268 11000  4.00 -1.50  2.00  0.00 -19.486 -19.717   2.824
  269 11000  4.50 -1.50  2.00  0.00 -19.418 -19.694   2.885
  270 11000  5.00 -1.50  2.00  0.00 -19.351 -19.665   2.937
  271 11500  2.50 -1.50  2.00  0.00 -19.746 -19.845   2.643
  272 11500  3.00 -1.50  2.00  0.00 -19.708 -19.842   2.692
  273 11500  3.50 -1.50  2.00  0.00 -19.659 -19.832   2.745
  274 11500  4.00 -1.50  2.00  0.00 -19.602 -19.817   2.801
  275 11500  4.50 -1.50  2.00  0.00 -19.539 -19.796   2.860
  276 11500  5.00 -1.50  2.00  0.00 -19.472 -19.770   2.915
  277 12000  2.50 -1.50  2.00  0.00 -19.845 -19.935   2.633
  278 12000  3.00 -1.50  2.00  0.00 -19.808 -19.933   2.679
  279 12000  3.50 -1.50  2.00  0.00 -19.762 -19.923   2.729
  280 12000  4.00 -1.50  2.00  0.00 -19.709 -19.909   2.782
  281 12000  4.50 -1.50  2.00  0.00 -19.648 -19.890   2.838
  282 12000  5.00 -1.50  2.00  0.00 -19.584 -19.866   2.893
  283 12500  2.50 -1.50  2.00  0.00 -19.937 -20.020   2.623
  284 12500  3.00 -1.50  2.00  0.00 -19.902 -20.017   2.668
  285 12500  3.50 -1.50  2.00  0.00 -19.857 -20.008   2.715
  286 12500  4.00 -1.50  2.00  0.00 -19.806 -19.994   2.766
  287 12500  4.50 -1.50  2.00  0.00 -19.749 -19.977   2.819
  288 12500  5.00 -1.50  2.00  0.00 -19.688 -19.954   2.873
  289 13000  2.50 -1.50  2.00  0.00 -20.024 -20.101   2.615
  290 13000  3.00 -1.50  2.00  0.00 -19.989 -20.097   2.658
  291 13000  3.50 -1.50  2.00  0.00 -19.946 -20.088   2.703
  292 13000  4.00 -1.50  2.00  0.00 -19.897 -20.075   2.751
  293 13000  4.50 -1.50  2.00  0.00 -19.843 -20.058   2.802
  294 13000  5.00 -1.50  2.00  0.00 -19.784 -20.037   2.854
  295 14000  2.00 -1.50  2.00  0.00 -20.202 -20.237   2.558
  296 14000  2.50 -1.50  2.00  0.00 -20.184 -20.251   2.600
  297 14000  3.00 -1.50  2.00  0.00 -20.149 -20.246   2.641
  298 14000  3.50 -1.50  2.00  0.00 -20.108 -20.235   2.683
  299 14000  4.00 -1.50  2.00  0.00 -20.062 -20.222   2.728
  300 14000  4.50 -1.50  2.00  0.00 -20.012 -20.207   2.775
  301 14000  5.00 -1.50  2.00  0.00 -19.958 -20.188   2.822
  302 15000  2.50 -1.50  2.00  0.00 -20.332 -20.389   2.587
  303 15000  3.00 -1.50  2.00  0.00 -20.296 -20.382   2.627
  304 15000  3.50 -1.50  2.00  0.00 -20.254 -20.369   2.667
  305 15000  4.00 -1.50  2.00  0.00 -20.210 -20.356   2.709
  306 15000  4.50 -1.50  2.00  0.00 -20.163 -20.341   2.752
  307 15000  5.00 -1.50  2.00  0.00 -20.113 -20.324   2.797
  308 16000  2.50 -1.50  2.00  0.00 -20.469 -20.518   2.576
  309 16000  3.00 -1.50  2.00  0.00 -20.431 -20.508   2.614
  310 16000  3.50 -1.50  2.00  0.00 -20.389 -20.494   2.653
  311 16000  4.00 -1.50  2.00  0.00 -20.345 -20.480   2.693
  312 16000  4.50 -1.50  2.00  0.00 -20.300 -20.465   2.734
  313 16000  5.00 -1.50  2.00  0.00 -20.253 -20.449   2.776
  314 17000  2.50 -1.50  2.00  0.00 -20.598 -20.639   2.565
  315 17000  3.00 -1.50  2.00  0.00 -20.559 -20.627   2.603
  316 17000  3.50 -1.50  2.00  0.00 -20.515 -20.611   2.640
  317 17000  4.00 -1.50  2.00  0.00 -20.471 -20.595   2.679
  318 17000  4.50 -1.50  2.00  0.00 -20.426 -20.580   2.718
  319 17000  5.00 -1.50  2.00  0.00 -20.381 -20.564   2.758
  320 18000  2.50 -1.50  2.00  0.00 -20.720 -20.754   2.556
  321 18000  3.00 -1.50  2.00  0.00 -20.679 -20.740   2.593
  322 18000  3.50 -1.50  2.00  0.00 -20.634 -20.721   2.629
  323 18000  4.00 -1.50  2.00  0.00 -20.589 -20.704   2.666
  324 18000  4.50 -1.50  2.00  0.00 -20.545 -20.688   2.704
  325 18000  5.00 -1.50  2.00  0.00 -20.501 -20.672   2.743
  326 19000  2.50 -1.50  2.00  0.00 -20.836 -20.863   2.547
  327 19000  3.00 -1.50  2.00  0.00 -20.794 -20.848   2.583
  328 19000  3.50 -1.50  2.00  0.00 -20.747 -20.827   2.618
  329 19000  4.00 -1.50  2.00  0.00 -20.702 -20.807   2.654
  330 19000  4.50 -1.50  2.00  0.00 -20.657 -20.790   2.691
  331 19000  5.00 -1.50  2.00  0.00 -20.613 -20.774   2.729
  332 20000  3.00 -1.50  2.00  0.00 -20.903 -20.951   2.575
  333 20000  3.50 -1.50  2.00  0.00 -20.855 -20.927   2.608
  334 20000  4.00 -1.50  2.00  0.00 -20.809 -20.906   2.643
  335 20000  4.50 -1.50  2.00  0.00 -20.764 -20.888   2.679
  336 20000  5.00 -1.50  2.00  0.00 -20.720 -20.872   2.716
  337 21000  3.00 -1.50  2.00  0.00 -21.008 -21.050   2.568
  338 21000  3.50 -1.50  2.00  0.00 -20.958 -21.024   2.600
  339 21000  4.00 -1.50  2.00  0.00 -20.911 -21.001   2.633
  340 21000  4.50 -1.50  2.00  0.00 -20.866 -20.982   2.667
  341 21000  5.00 -1.50  2.00  0.00 -20.823 -20.965   2.703
  342 22000  3.00 -1.50  2.00  0.00 -21.110 -21.147   2.560
  343 22000  3.50 -1.50  2.00  0.00 -21.057 -21.117   2.592
  344 22000  4.00 -1.50  2.00  0.00 -21.009 -21.092   2.624
  345 22000  4.50 -1.50  2.00  0.00 -20.964 -21.072   2.657
  346 22000  5.00 -1.50  2.00  0.00 -20.921 -21.055   2.692
  347 23000  3.00 -1.50  2.00  0.00 -21.210 -21.242   2.554
  348 23000  3.50 -1.50  2.00  0.00 -21.152 -21.208   2.585
  349 23000  4.00 -1.50  2.00  0.00 -21.103 -21.181   2.616
  350 23000  4.50 -1.50  2.00  0.00 -21.058 -21.159   2.648
  351 23000  5.00 -1.50  2.00  0.00 -21.016 -21.141   2.681
  352 24000  3.00 -1.50  2.00  0.00 -21.309 -21.336   2.547
  353 24000  3.50 -1.50  2.00  0.00 -21.246 -21.296   2.579
  354 24000  4.00 -1.50  2.00  0.00 -21.194 -21.266   2.609
  355 24000  4.50 -1.50  2.00  0.00 -21.148 -21.243   2.640
  356 24000  5.00 -1.50  2.00  0.00 -21.106 -21.225   2.672
  357 25000  3.00 -1.50  2.00  0.00 -21.411 -21.434   2.541
  358 25000  3.50 -1.50  2.00  0.00 -21.337 -21.383   2.573
  359 25000  4.00 -1.50  2.00  0.00 -21.282 -21.350   2.602
  360 25000  4.50 -1.50  2.00  0.00 -21.236 -21.326   2.632
  361 25000  5.00 -1.50  2.00  0.00 -21.193 -21.306   2.663
  362 26000  3.00 -1.50  2.00  0.00 -21.520 -21.537   2.533
  363 26000  3.50 -1.50  2.00  0.00 -21.428 -21.471   2.567
  364 26000  4.00 -1.50  2.00  0.00 -21.370 -21.433   2.596
  365 26000  4.50 -1.50  2.00  0.00 -21.321 -21.406   2.625
  366 26000  5.00 -1.50  2.00  0.00 -21.279 -21.386   2.656
  367 27000  3.50 -1.50  2.00  0.00 -21.522 -21.560   2.562
  368 27000  4.00 -1.50  2.00  0.00 -21.456 -21.515   2.590
  369 27000  4.50 -1.50  2.00  0.00 -21.406 -21.486   2.619
  370 27000  5.00 -1.50  2.00  0.00 -21.362 -21.464   2.649
  371 28000  3.50 -1.50  2.00  0.00 -21.619 -21.652   2.555
  372 28000  4.00 -1.50  2.00  0.00 -21.543 -21.598   2.585
  373 28000  4.50 -1.50  2.00  0.00 -21.490 -21.565   2.613
  374 28000  5.00 -1.50  2.00  0.00 -21.446 -21.542   2.642
  375 29000  3.50 -1.50  2.00  0.00 -21.718 -21.746   2.547
  376 29000  4.00 -1.50  2.00  0.00 -21.632 -21.683   2.579
