
       Teff log g  [M]a  Vturb l/H  E(B-V)   V       I       R       V-R     V-I     R-I
   96  5500  3.50  0.00  2.00  0.00  0.00 -16.824 -16.679 -16.348   0.406   0.795   0.388
   97  5500  4.00  0.00  2.00  0.00  0.00 -16.818 -16.676 -16.346   0.409   0.799   0.389
   98  5500  4.50  0.00  2.00  0.00  0.00 -16.813 -16.675 -16.346   0.413   0.804   0.389
   99  5500  5.00  0.00  2.00  0.00  0.00 -16.808 -16.678 -16.347   0.421   0.810   0.389
  100  5750  0.00  0.00  2.00  0.00  0.00 -17.154 -16.944 -16.545   0.342   0.663   0.320
  101  5750  0.50  0.00  2.00  0.00  0.00 -17.139 -16.934 -16.541   0.346   0.674   0.326
  102  5750  1.00  0.00  2.00  0.00  0.00 -17.125 -16.924 -16.537   0.350   0.683   0.332
  103  5750  1.50  0.00  2.00  0.00  0.00 -17.111 -16.913 -16.532   0.353   0.692   0.337
  104  5750  2.00  0.00  2.00  0.00  0.00 -17.099 -16.904 -16.527   0.356   0.700   0.343
  105  5750  2.50  0.00  2.00  0.00  0.00 -17.087 -16.894 -16.522   0.359   0.707   0.347
  106  5750  3.00  0.00  2.00  0.00  0.00 -17.076 -16.886 -16.518   0.361   0.713   0.351
  107  5750  3.50  0.00  2.00  0.00  0.00 -17.067 -16.880 -16.514   0.364   0.718   0.353
  108  5750  4.00  0.00  2.00  0.00  0.00 -17.059 -16.876 -16.512   0.368   0.723   0.355
  109  5750  4.50  0.00  2.00  0.00  0.00 -17.054 -16.875 -16.511   0.372   0.728   0.356
  110  5750  5.00  0.00  2.00  0.00  0.00 -17.050 -16.876 -16.513   0.377   0.734   0.356
  111  6000  0.00  0.00  2.00  0.00  0.00 -17.385 -17.120 -16.681   0.286   0.567   0.280
  112  6000  0.50  0.00  2.00  0.00  0.00 -17.372 -17.116 -16.683   0.295   0.582   0.286
  113  6000  1.00  0.00  2.00  0.00  0.00 -17.357 -17.108 -16.682   0.302   0.596   0.293
  114  6000  1.50  0.00  2.00  0.00  0.00 -17.342 -17.099 -16.679   0.308   0.608   0.299
  115  6000  2.00  0.00  2.00  0.00  0.00 -17.328 -17.090 -16.676   0.313   0.620   0.305
  116  6000  2.50  0.00  2.00  0.00  0.00 -17.314 -17.081 -16.673   0.318   0.630   0.311
  117  6000  3.00  0.00  2.00  0.00  0.00 -17.301 -17.073 -16.669   0.322   0.639   0.316
  118  6000  3.50  0.00  2.00  0.00  0.00 -17.290 -17.065 -16.666   0.327   0.647   0.320
  119  6000  4.00  0.00  2.00  0.00  0.00 -17.280 -17.060 -16.664   0.331   0.654   0.323
  120  6000  4.50  0.00  2.00  0.00  0.00 -17.273 -17.057 -16.663   0.335   0.661   0.325
  121  6000  5.00  0.00  2.00  0.00  0.00 -17.268 -17.058 -16.664   0.340   0.667   0.325
  122  6250  0.50  0.00  2.00  0.00  0.00 -17.582 -17.277 -16.807   0.246   0.496   0.249
  123  6250  1.00  0.00  2.00  0.00  0.00 -17.571 -17.275 -16.812   0.256   0.512   0.255
  124  6250  1.50  0.00  2.00  0.00  0.00 -17.556 -17.270 -16.813   0.265   0.528   0.262
  125  6250  2.00  0.00  2.00  0.00  0.00 -17.541 -17.262 -16.812   0.272   0.543   0.269
  126  6250  2.50  0.00  2.00  0.00  0.00 -17.525 -17.254 -16.811   0.279   0.556   0.276
