
       Teff log g  [M]a Vturb  l/H  E(B-V)   V       I       R       V-R     V-I     R-I
  131  6250  5.00  0.20  2.00  1.25  0.00 -17.481 -17.243 -16.820   0.313   0.609   0.295
  132  6500  0.50  0.20  2.00  1.25  0.00 -17.786 -17.440 -16.931   0.205   0.416   0.210
  133  6500  1.00  0.20  2.00  1.25  0.00 -17.775 -17.441 -16.939   0.217   0.435   0.217
  134  6500  1.50  0.20  2.00  1.25  0.00 -17.765 -17.442 -16.947   0.228   0.453   0.224
  135  6500  2.00  0.20  2.00  1.25  0.00 -17.751 -17.438 -16.950   0.238   0.470   0.231
  136  6500  2.50  0.20  2.00  1.25  0.00 -17.736 -17.432 -16.952   0.247   0.487   0.239
  137  6500  3.00  0.20  2.00  1.25  0.00 -17.720 -17.424 -16.952   0.255   0.503   0.247
  138  6500  3.50  0.20  2.00  1.25  0.00 -17.705 -17.416 -16.951   0.262   0.517   0.254
  139  6500  4.00  0.20  2.00  1.25  0.00 -17.691 -17.409 -16.950   0.269   0.530   0.260
  140  6500  4.50  0.20  2.00  1.25  0.00 -17.679 -17.404 -16.949   0.275   0.541   0.264
  141  6500  5.00  0.20  2.00  1.25  0.00 -17.670 -17.400 -16.949   0.282   0.551   0.268
  142  6750  0.50  0.20  2.00  1.25  0.00 -17.965 -17.577 -17.036   0.163   0.341   0.178
  143  6750  1.00  0.20  2.00  1.25  0.00 -17.955 -17.578 -17.043   0.174   0.359   0.184
  144  6750  1.50  0.20  2.00  1.25  0.00 -17.946 -17.581 -17.053   0.186   0.378   0.190
  145  6750  2.00  0.20  2.00  1.25  0.00 -17.936 -17.584 -17.062   0.199   0.397   0.197
  146  6750  2.50  0.20  2.00  1.25  0.00 -17.922 -17.580 -17.067   0.210   0.416   0.205
  147  6750  3.00  0.20  2.00  1.25  0.00 -17.905 -17.574 -17.069   0.220   0.435   0.214
  148  6750  3.50  0.20  2.00  1.25  0.00 -17.889 -17.566 -17.070   0.229   0.452   0.223
  149  6750  4.00  0.20  2.00  1.25  0.00 -17.873 -17.559 -17.070   0.237   0.468   0.230
  150  6750  4.50  0.20  2.00  1.25  0.00 -17.858 -17.552 -17.069   0.245   0.482   0.237
