
       Teff log g  [M]a Vturb  l/H   small     big    beta
  116  6000  2.50 -2.00  2.00  1.25 -17.252 -17.323   2.606
  117  6000  3.00 -2.00  2.00  1.25 -17.231 -17.297   2.600
  118  6000  3.50 -2.00  2.00  1.25 -17.213 -17.275   2.594
  119  6000  4.00 -2.00  2.00  1.25 -17.201 -17.260   2.589
  120  6000  4.50 -2.00  2.00  1.25 -17.197 -17.252   2.585
  121  6000  5.00 -2.00  2.00  1.25 -17.198 -17.251   2.581
  122  6250  0.50 -2.00  2.00  1.25 -17.570 -17.673   2.651
  123  6250  1.00 -2.00  2.00  1.25 -17.544 -17.646   2.649
  124  6250  1.50 -2.00  2.00  1.25 -17.517 -17.617   2.645
  125  6250  2.00 -2.00  2.00  1.25 -17.490 -17.585   2.640
  126  6250  2.50 -2.00  2.00  1.25 -17.462 -17.553   2.633
  127  6250  3.00 -2.00  2.00  1.25 -17.436 -17.521   2.626
  128  6250  3.50 -2.00  2.00  1.25 -17.412 -17.493   2.619
  129  6250  4.00 -2.00  2.00  1.25 -17.395 -17.470   2.612
  130  6250  4.50 -2.00  2.00  1.25 -17.385 -17.456   2.607
  131  6250  5.00 -2.00  2.00  1.25 -17.382 -17.449   2.602
  132  6500  0.50 -2.00  2.00  1.25 -17.775 -17.896   2.674
  133  6500  1.00 -2.00  2.00  1.25 -17.749 -17.871   2.675
  134  6500  1.50 -2.00  2.00  1.25 -17.720 -17.840   2.674
  135  6500  2.00 -2.00  2.00  1.25 -17.689 -17.806   2.670
  136  6500  2.50 -2.00  2.00  1.25 -17.657 -17.770   2.664
  137  6500  3.00 -2.00  2.00  1.25 -17.626 -17.734   2.656
  138  6500  3.50 -2.00  2.00  1.25 -17.598 -17.700   2.648
  139  6500  4.00 -2.00  2.00  1.25 -17.575 -17.671   2.640
  140  6500  4.50 -2.00  2.00  1.25 -17.559 -17.649   2.633
  141  6500  5.00 -2.00  2.00  1.25 -17.551 -17.636   2.626
  142  6750  0.50 -2.00  2.00  1.25 -17.972 -18.105   2.691
  143  6750  1.00 -2.00  2.00  1.25 -17.938 -18.079   2.702
  144  6750  1.50 -2.00  2.00  1.25 -17.908 -18.050   2.703
  145  6750  2.00 -2.00  2.00  1.25 -17.874 -18.015   2.701
  146  6750  2.50 -2.00  2.00  1.25 -17.839 -17.977   2.697
  147  6750  3.00 -2.00  2.00  1.25 -17.805 -17.937   2.690
  148  6750  3.50 -2.00  2.00  1.25 -17.772 -17.898   2.681
  149  6750  4.00 -2.00  2.00  1.25 -17.744 -17.863   2.672
  150  6750  4.50 -2.00  2.00  1.25 -17.722 -17.834   2.663
  151  6750  5.00 -2.00  2.00  1.25 -17.707 -17.814   2.655
  152  7000  0.50 -2.00  2.00  1.25 -18.161 -18.298   2.695
  153  7000  1.00 -2.00  2.00  1.25 -18.119 -18.273   2.720
  154  7000  1.50 -2.00  2.00  1.25 -18.081 -18.244   2.731
  155  7000  2.00 -2.00  2.00  1.25 -18.047 -18.211   2.733
  156  7000  2.50 -2.00  2.00  1.25 -18.009 -18.172   2.731
  157  7000  3.00 -2.00  2.00  1.25 -17.971 -18.130   2.726
  158  7000  3.50 -2.00  2.00  1.25 -17.935 -18.087   2.717
  159  7000  4.00 -2.00  2.00  1.25 -17.902 -18.047   2.707
  160  7000  4.50 -2.00  2.00  1.25 -17.875 -18.012   2.696
  161  7000  5.00 -2.00  2.00  1.25 -17.854 -17.984   2.687
