
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
   35  4250  0.50 -1.00  2.00  1.25  0.00   3.343   3.339   0.861   0.530   0.559   0.555   2.568
   36  4250  1.00 -1.00  2.00  1.25  0.00   3.133   3.130   0.799   0.510   0.512   0.508   2.560
   37  4250  1.50 -1.00  2.00  1.25  0.00   2.955   2.952   0.754   0.492   0.461   0.458   2.551
   38  4250  2.00 -1.00  2.00  1.25  0.00   2.824   2.822   0.721   0.481   0.418   0.416   2.539
   39  4250  2.50 -1.00  2.00  1.25  0.00   2.745   2.743   0.698   0.479   0.389   0.387   2.526
   40  4250  3.00 -1.00  2.00  1.25  0.00   2.717   2.715   0.681   0.490   0.373   0.371   2.509
   41  4250  3.50 -1.00  2.00  1.25  0.00   2.735   2.734   0.671   0.511   0.369   0.368   2.490
   42  4250  4.00 -1.00  2.00  1.25  0.00   2.764   2.762   0.679   0.514   0.377   0.376   2.474
   43  4250  4.50 -1.00  2.00  1.25  0.00   2.738   2.737   0.705   0.468   0.391   0.390   2.468
   44  4250  5.00 -1.00  2.00  1.25  0.00   2.669   2.667   0.730   0.406   0.395   0.394   2.465
   45  4500  0.00 -1.00  2.00  1.25  0.00   3.160   3.155   0.830   0.447   0.604   0.600   2.573
   46  4500  0.50 -1.00  2.00  1.25  0.00   2.966   2.962   0.766   0.435   0.562   0.558   2.569
   47  4500  1.00 -1.00  2.00  1.25  0.00   2.781   2.778   0.717   0.419   0.507   0.504   2.564
   48  4500  1.50 -1.00  2.00  1.25  0.00   2.624   2.621   0.680   0.405   0.453   0.450   2.558
   49  4500  2.00 -1.00  2.00  1.25  0.00   2.505   2.503   0.653   0.396   0.407   0.405   2.551
   50  4500  2.50 -1.00  2.00  1.25  0.00   2.428   2.426   0.632   0.393   0.374   0.373   2.544
   51  4500  3.00 -1.00  2.00  1.25  0.00   2.393   2.391   0.617   0.401   0.355   0.354   2.534
   52  4500  3.50 -1.00  2.00  1.25  0.00   2.396   2.395   0.605   0.418   0.348   0.347   2.523
   53  4500  4.00 -1.00  2.00  1.25  0.00   2.433   2.433   0.597   0.443   0.351   0.351   2.509
   54  4500  4.50 -1.00  2.00  1.25  0.00   2.477   2.476   0.601   0.455   0.363   0.363   2.494
   55  4500  5.00 -1.00  2.00  1.25  0.00   2.464   2.463   0.622   0.421   0.377   0.376   2.485
   56  4750  0.00 -1.00  2.00  1.25  0.00   2.819   2.814   0.719   0.360   0.659   0.654   2.571
   57  4750  0.50 -1.00  2.00  1.25  0.00   2.641   2.637   0.673   0.349   0.595   0.591   2.568
   58  4750  1.00 -1.00  2.00  1.25  0.00   2.475   2.471   0.636   0.336   0.527   0.524   2.564
   59  4750  1.50 -1.00  2.00  1.25  0.00   2.335   2.332   0.609   0.326   0.462   0.460   2.560
   60  4750  2.00 -1.00  2.00  1.25  0.00   2.227   2.225   0.589   0.320   0.406   0.404   2.555
   61  4750  2.50 -1.00  2.00  1.25  0.00   2.155   2.153   0.575   0.320   0.362   0.361   2.550
   62  4750  3.00 -1.00  2.00  1.25  0.00   2.117   2.115   0.563   0.328   0.334   0.332   2.545
   63  4750  3.50 -1.00  2.00  1.25  0.00   2.112   2.111   0.554   0.342   0.319   0.318   2.538
   64  4750  4.00 -1.00  2.00  1.25  0.00   2.138   2.137   0.546   0.363   0.318   0.317   2.530
   65  4750  4.50 -1.00  2.00  1.25  0.00   2.182   2.182   0.541   0.386   0.327   0.327   2.521
   66  4750  5.00 -1.00  2.00  1.25  0.00   2.213   2.213   0.544   0.390   0.343   0.343   2.510
   67  5000  0.00 -1.00  2.00  1.25  0.00   2.561   2.557   0.615   0.286   0.758   0.755   2.574
   68  5000  0.50 -1.00  2.00  1.25  0.00   2.392   2.388   0.584   0.275   0.670   0.667   2.570
   69  5000  1.00 -1.00  2.00  1.25  0.00   2.235   2.232   0.560   0.265   0.582   0.579   2.566
   70  5000  1.50 -1.00  2.00  1.25  0.00   2.102   2.099   0.542   0.258   0.500   0.497   2.563
   71  5000  2.00 -1.00  2.00  1.25  0.00   1.996   1.994   0.530   0.254   0.428   0.425   2.559
   72  5000  2.50 -1.00  2.00  1.25  0.00   1.923   1.921   0.520   0.256   0.369   0.367   2.555
   73  5000  3.00 -1.00  2.00  1.25  0.00   1.879   1.877   0.513   0.263   0.324   0.323   2.551
   74  5000  3.50 -1.00  2.00  1.25  0.00   1.866   1.864   0.508   0.276   0.295   0.294   2.547
   75  5000  4.00 -1.00  2.00  1.25  0.00   1.881   1.879   0.503   0.295   0.282   0.281   2.542
   76  5000  4.50 -1.00  2.00  1.25  0.00   1.916   1.915   0.499   0.317   0.282   0.281   2.536
   77  5000  5.00 -1.00  2.00  1.25  0.00   1.954   1.954   0.497   0.333   0.294   0.293   2.530
   78  5250  0.00 -1.00  2.00  1.25  0.00   2.396   2.393   0.520   0.230   0.894   0.891   2.584
   79  5250  0.50 -1.00  2.00  1.25  0.00   2.229   2.226   0.503   0.217   0.786   0.783   2.579
   80  5250  1.00 -1.00  2.00  1.25  0.00   2.073   2.070   0.489   0.208   0.677   0.674   2.574
   81  5250  1.50 -1.00  2.00  1.25  0.00   1.937   1.935   0.480   0.201   0.573   0.571   2.570
   82  5250  2.00 -1.00  2.00  1.25  0.00   1.826   1.824   0.473   0.199   0.481   0.478   2.565
   83  5250  2.50 -1.00  2.00  1.25  0.00   1.743   1.741   0.469   0.201   0.401   0.399   2.561
   84  5250  3.00 -1.00  2.00  1.25  0.00   1.687   1.685   0.466   0.208   0.337   0.336   2.558
   85  5250  3.50 -1.00  2.00  1.25  0.00   1.660   1.658   0.464   0.220   0.290   0.289   2.554
   86  5250  4.00 -1.00  2.00  1.25  0.00   1.660   1.659   0.463   0.237   0.260   0.258   2.551
   87  5250  4.50 -1.00  2.00  1.25  0.00   1.683   1.682   0.461   0.257   0.245   0.244   2.547
   88  5250  5.00 -1.00  2.00  1.25  0.00   1.718   1.717   0.460   0.275   0.246   0.245   2.544
   89  5500  0.00 -1.00  2.00  1.25  0.00   2.309   2.307   0.438   0.190   1.051   1.049   2.599
   90  5500  0.50 -1.00  2.00  1.25  0.00   2.147   2.145   0.430   0.177   0.930   0.928   2.594
   91  5500  1.00 -1.00  2.00  1.25  0.00   1.989   1.987   0.425   0.166   0.804   0.802   2.588
   92  5500  1.50 -1.00  2.00  1.25  0.00   1.846   1.844   0.422   0.159   0.681   0.680   2.583
   93  5500  2.00 -1.00  2.00  1.25  0.00   1.723   1.721   0.421   0.157   0.567   0.565   2.578
   94  5500  2.50 -1.00  2.00  1.25  0.00   1.623   1.622   0.421   0.158   0.465   0.463   2.573
   95  5500  3.00 -1.00  2.00  1.25  0.00   1.549   1.547   0.421   0.163   0.378   0.376   2.569
   96  5500  3.50 -1.00  2.00  1.25  0.00   1.502   1.500   0.422   0.173   0.309   0.307   2.565
   97  5500  4.00 -1.00  2.00  1.25  0.00   1.482   1.480   0.424   0.187   0.258   0.257   2.561
   98  5500  4.50 -1.00  2.00  1.25  0.00   1.488   1.487   0.425   0.205   0.226   0.225   2.558
   99  5500  5.00 -1.00  2.00  1.25  0.00   1.511   1.510   0.426   0.223   0.211   0.210   2.555
  100  5750  0.00 -1.00  2.00  1.25  0.00   2.276   2.275   0.365   0.162   1.220   1.219   2.618
  101  5750  0.50 -1.00  2.00  1.25  0.00   2.124   2.122   0.365   0.151   1.089   1.087   2.613
  102  5750  1.00 -1.00  2.00  1.25  0.00   1.967   1.966   0.366   0.141   0.951   0.949   2.608
  103  5750  1.50 -1.00  2.00  1.25  0.00   1.818   1.817   0.368   0.134   0.812   0.811   2.602
  104  5750  2.00 -1.00  2.00  1.25  0.00   1.683   1.681   0.372   0.129   0.679   0.677   2.596
  105  5750  2.50 -1.00  2.00  1.25  0.00   1.565   1.564   0.375   0.128   0.555   0.554   2.590
  106  5750  3.00 -1.00  2.00  1.25  0.00   1.469   1.468   0.379   0.132   0.445   0.444   2.585
  107  5750  3.50 -1.00  2.00  1.25  0.00   1.397   1.396   0.383   0.138   0.352   0.351   2.580
  108  5750  4.00 -1.00  2.00  1.25  0.00   1.351   1.350   0.387   0.149   0.279   0.277   2.576
  109  5750  4.50 -1.00  2.00  1.25  0.00   1.335   1.334   0.390   0.163   0.226   0.225   2.572
  110  5750  5.00 -1.00  2.00  1.25  0.00   1.341   1.340   0.393   0.179   0.194   0.193   2.569
  111  6000  0.00 -1.00  2.00  1.25  0.00   2.275   2.274   0.298   0.137   1.403   1.402   2.638
  112  6000  0.50 -1.00  2.00  1.25  0.00   2.136   2.135   0.305   0.134   1.255   1.253   2.635
  113  6000  1.00 -1.00  2.00  1.25  0.00   1.985   1.984   0.312   0.127   1.106   1.105   2.631
  114  6000  1.50 -1.00  2.00  1.25  0.00   1.834   1.833   0.319   0.120   0.955   0.954   2.626
  115  6000  2.00 -1.00  2.00  1.25  0.00   1.690   1.689   0.326   0.115   0.806   0.805   2.620
  116  6000  2.50 -1.00  2.00  1.25  0.00   1.558   1.557   0.333   0.113   0.664   0.663   2.613
  117  6000  3.00 -1.00  2.00  1.25  0.00   1.442   1.441   0.340   0.113   0.534   0.533   2.607
  118  6000  3.50 -1.00  2.00  1.25  0.00   1.345   1.344   0.346   0.117   0.418   0.417   2.601
  119  6000  4.00 -1.00  2.00  1.25  0.00   1.272   1.271   0.351   0.123   0.321   0.320   2.595
  120  6000  4.50 -1.00  2.00  1.25  0.00   1.227   1.226   0.356   0.134   0.246   0.245   2.591
  121  6000  5.00 -1.00  2.00  1.25  0.00   1.210   1.210   0.361   0.146   0.194   0.193   2.586
  122  6250  0.50 -1.00  2.00  1.25  0.00   2.167   2.166   0.249   0.118   1.431   1.430   2.658
  123  6250  1.00 -1.00  2.00  1.25  0.00   2.024   2.023   0.261   0.118   1.264   1.263   2.656
  124  6250  1.50 -1.00  2.00  1.25  0.00   1.875   1.875   0.272   0.114   1.102   1.101   2.653
  125  6250  2.00 -1.00  2.00  1.25  0.00   1.727   1.726   0.282   0.110   0.940   0.939   2.647
  126  6250  2.50 -1.00  2.00  1.25  0.00   1.585   1.584   0.292   0.108   0.783   0.783   2.641
  127  6250  3.00 -1.00  2.00  1.25  0.00   1.454   1.453   0.302   0.106   0.636   0.635   2.633
  128  6250  3.50 -1.00  2.00  1.25  0.00   1.337   1.336   0.310   0.107   0.500   0.499   2.626
  129  6250  4.00 -1.00  2.00  1.25  0.00   1.240   1.239   0.318   0.110   0.382   0.381   2.619
  130  6250  4.50 -1.00  2.00  1.25  0.00   1.167   1.166   0.325   0.116   0.284   0.283   2.613
  131  6250  5.00 -1.00  2.00  1.25  0.00   1.122   1.122   0.331   0.125   0.210   0.209   2.608
  132  6500  0.50 -1.00  2.00  1.25  0.00   2.205   2.204   0.191   0.103   1.615   1.615   2.682
  133  6500  1.00 -1.00  2.00  1.25  0.00   2.073   2.073   0.211   0.109   1.430   1.430   2.682
  134  6500  1.50 -1.00  2.00  1.25  0.00   1.929   1.928   0.227   0.112   1.249   1.249   2.681
  135  6500  2.00 -1.00  2.00  1.25  0.00   1.780   1.780   0.241   0.110   1.077   1.077   2.677
  136  6500  2.50 -1.00  2.00  1.25  0.00   1.633   1.632   0.253   0.108   0.908   0.907   2.672
  137  6500  3.00 -1.00  2.00  1.25  0.00   1.491   1.490   0.265   0.107   0.745   0.745   2.664
  138  6500  3.50 -1.00  2.00  1.25  0.00   1.359   1.358   0.276   0.106   0.593   0.592   2.656
  139  6500  4.00 -1.00  2.00  1.25  0.00   1.242   1.242   0.286   0.107   0.455   0.455   2.648
  140  6500  4.50 -1.00  2.00  1.25  0.00   1.145   1.144   0.294   0.109   0.337   0.336   2.640
  141  6500  5.00 -1.00  2.00  1.25  0.00   1.074   1.073   0.302   0.114   0.241   0.241   2.634
  142  6750  0.50 -1.00  2.00  1.25  0.00   2.225   2.224   0.147   0.095   1.737   1.737   2.696
  143  6750  1.00 -1.00  2.00  1.25  0.00   2.122   2.121   0.159   0.100   1.602   1.602   2.708
  144  6750  1.50 -1.00  2.00  1.25  0.00   1.985   1.984   0.182   0.107   1.403   1.403   2.709
  145  6750  2.00 -1.00  2.00  1.25  0.00   1.839   1.838   0.201   0.111   1.213   1.212   2.708
  146  6750  2.50 -1.00  2.00  1.25  0.00   1.690   1.690   0.216   0.112   1.033   1.032   2.704
  147  6750  3.00 -1.00  2.00  1.25  0.00   1.542   1.541   0.230   0.111   0.858   0.857   2.698
  148  6750  3.50 -1.00  2.00  1.25  0.00   1.400   1.399   0.243   0.110   0.691   0.691   2.689
  149  6750  4.00 -1.00  2.00  1.25  0.00   1.268   1.267   0.255   0.109   0.538   0.537   2.680
  150  6750  4.50 -1.00  2.00  1.25  0.00   1.151   1.150   0.266   0.109   0.400   0.400   2.671
  151  6750  5.00 -1.00  2.00  1.25  0.00   1.056   1.055   0.274   0.110   0.285   0.284   2.663
  152  7000  0.50 -1.00  2.00  1.25  0.00   2.215   2.215   0.116   0.090   1.800   1.800   2.699
  153  7000  1.00 -1.00  2.00  1.25  0.00   2.146   2.145   0.121   0.095   1.711   1.711   2.724
  154  7000  1.50 -1.00  2.00  1.25  0.00   2.035   2.035   0.135   0.103   1.558   1.558   2.737
  155  7000  2.00 -1.00  2.00  1.25  0.00   1.896   1.895   0.160   0.112   1.350   1.350   2.739
  156  7000  2.50 -1.00  2.00  1.25  0.00   1.749   1.748   0.180   0.117   1.154   1.153   2.737
  157  7000  3.00 -1.00  2.00  1.25  0.00   1.600   1.599   0.196   0.118   0.969   0.969   2.732
  158  7000  3.50 -1.00  2.00  1.25  0.00   1.452   1.451   0.212   0.117   0.792   0.791   2.725
  159  7000  4.00 -1.00  2.00  1.25  0.00   1.310   1.309   0.225   0.116   0.625   0.624   2.715
  160  7000  4.50 -1.00  2.00  1.25  0.00   1.178   1.178   0.237   0.115   0.471   0.471   2.705
  161  7000  5.00 -1.00  2.00  1.25  0.00   1.064   1.064   0.248   0.114   0.338   0.337   2.695
  162  7250  0.50 -1.00  2.00  1.25  0.00   2.160   2.161   0.099   0.086   1.788   1.788   2.687
  163  7250  1.00 -1.00  2.00  1.25  0.00   2.139   2.139   0.093   0.091   1.768   1.768   2.728
  164  7250  1.50 -1.00  2.00  1.25  0.00   2.057   2.057   0.100   0.101   1.653   1.653   2.754
  165  7250  2.00 -1.00  2.00  1.25  0.00   1.943   1.943   0.116   0.111   1.487   1.487   2.767
  166  7250  2.50 -1.00  2.00  1.25  0.00   1.803   1.802   0.142   0.120   1.275   1.275   2.769
  167  7250  3.00 -1.00  2.00  1.25  0.00   1.656   1.656   0.163   0.125   1.077   1.076   2.767
  168  7250  3.50 -1.00  2.00  1.25  0.00   1.507   1.507   0.181   0.127   0.890   0.890   2.762
  169  7250  4.00 -1.00  2.00  1.25  0.00   1.359   1.359   0.196   0.126   0.712   0.712   2.753
  170  7250  4.50 -1.00  2.00  1.25  0.00   1.217   1.217   0.210   0.124   0.546   0.545   2.742
  171  7250  5.00 -1.00  2.00  1.25  0.00   1.089   1.088   0.223   0.123   0.397   0.396   2.731
  172  7500  0.50 -1.00  2.00  1.25  0.00   2.024   2.025   0.106   0.083   1.643   1.644   2.655
  173  7500  1.00 -1.00  2.00  1.25  0.00   2.093   2.094   0.075   0.086   1.769   1.769   2.719
  174  7500  1.50 -1.00  2.00  1.25  0.00   2.048   2.049   0.076   0.097   1.701   1.701   2.758
  175  7500  2.00 -1.00  2.00  1.25  0.00   1.961   1.961   0.085   0.109   1.570   1.570   2.785
  176  7500  2.50 -1.00  2.00  1.25  0.00   1.845   1.845   0.103   0.122   1.394   1.394   2.799
  177  7500  3.00 -1.00  2.00  1.25  0.00   1.706   1.706   0.129   0.132   1.181   1.181   2.801
  178  7500  3.50 -1.00  2.00  1.25  0.00   1.559   1.559   0.150   0.136   0.984   0.983   2.798
  179  7500  4.00 -1.00  2.00  1.25  0.00   1.410   1.410   0.168   0.137   0.798   0.797   2.790
  180  7500  4.50 -1.00  2.00  1.25  0.00   1.263   1.263   0.184   0.136   0.620   0.620   2.779
  181  7500  5.00 -1.00  2.00  1.25  0.00   1.124   1.124   0.198   0.134   0.458   0.458   2.767
  182  7750  1.00 -1.00  2.00  1.25  0.00   2.000   2.001   0.068   0.082   1.699   1.699   2.696
  183  7750  1.50 -1.00  2.00  1.25  0.00   2.006   2.007   0.058   0.092   1.704   1.705   2.752
  184  7750  2.00 -1.00  2.00  1.25  0.00   1.949   1.949   0.063   0.106   1.609   1.609   2.791
  185  7750  2.50 -1.00  2.00  1.25  0.00   1.859   1.859   0.074   0.122   1.465   1.465   2.817
  186  7750  3.00 -1.00  2.00  1.25  0.00   1.742   1.742   0.093   0.136   1.282   1.282   2.830
  187  7750  3.50 -1.00  2.00  1.25  0.00   1.604   1.604   0.120   0.145   1.072   1.072   2.831
  188  7750  4.00 -1.00  2.00  1.25  0.00   1.458   1.458   0.141   0.149   0.877   0.877   2.827
  189  7750  4.50 -1.00  2.00  1.25  0.00   1.310   1.310   0.159   0.149   0.692   0.692   2.817
  190  7750  5.00 -1.00  2.00  1.25  0.00   1.165   1.165   0.174   0.148   0.520   0.519   2.805
  191  8000  1.00 -1.00  2.00  1.25  0.00   1.852   1.853   0.075   0.076   1.549   1.549   2.660
  192  8000  1.50 -1.00  2.00  1.25  0.00   1.930   1.931   0.048   0.087   1.660   1.660   2.733
  193  8000  2.00 -1.00  2.00  1.25  0.00   1.909   1.910   0.046   0.101   1.612   1.612   2.786
  194  8000  2.50 -1.00  2.00  1.25  0.00   1.845   1.845   0.053   0.119   1.498   1.498   2.824
  195  8000  3.00 -1.00  2.00  1.25  0.00   1.753   1.753   0.065   0.137   1.345   1.345   2.849
  196  8000  3.50 -1.00  2.00  1.25  0.00   1.636   1.636   0.087   0.152   1.156   1.156   2.859
  197  8000  4.00 -1.00  2.00  1.25  0.00   1.499   1.499   0.113   0.160   0.950   0.950   2.860
  198  8000  4.50 -1.00  2.00  1.25  0.00   1.353   1.353   0.134   0.162   0.759   0.759   2.853
  199  8000  5.00 -1.00  2.00  1.25  0.00   1.207   1.207   0.151   0.161   0.580   0.580   2.842
  200  8250  1.00 -1.00  2.00  1.25  0.00   1.656   1.657   0.090   0.066   1.342   1.343   2.620
  201  8250  1.50 -1.00  2.00  1.25  0.00   1.825   1.826   0.045   0.081   1.572   1.573   2.705
  202  8250  2.00 -1.00  2.00  1.25  0.00   1.843   1.843   0.036   0.095   1.580   1.580   2.770
  203  8250  2.50 -1.00  2.00  1.25  0.00   1.807   1.807   0.038   0.114   1.500   1.500   2.820
  204  8250  3.00 -1.00  2.00  1.25  0.00   1.738   1.738   0.047   0.135   1.372   1.372   2.857
  205  8250  3.50 -1.00  2.00  1.25  0.00   1.645   1.645   0.060   0.156   1.211   1.211   2.879
  206  8250  4.00 -1.00  2.00  1.25  0.00   1.527   1.527   0.084   0.170   1.018   1.018   2.887
  207  8250  4.50 -1.00  2.00  1.25  0.00   1.390   1.390   0.109   0.175   0.820   0.820   2.886
  208  8250  5.00 -1.00  2.00  1.25  0.00   1.247   1.246   0.129   0.176   0.635   0.634   2.877
  209  8500  1.50 -1.00  2.00  1.25  0.00   1.701   1.702   0.046   0.076   1.456   1.456   2.675
  210  8500  2.00 -1.00  2.00  1.25  0.00   1.760   1.761   0.029   0.090   1.520   1.521   2.747
  211  8500  2.50 -1.00  2.00  1.25  0.00   1.750   1.751   0.027   0.109   1.477   1.477   2.808
  212  8500  3.00 -1.00  2.00  1.25  0.00   1.704   1.704   0.033   0.131   1.376   1.376   2.856
  213  8500  3.50 -1.00  2.00  1.25  0.00   1.632   1.632   0.043   0.154   1.237   1.236   2.889
  214  8500  4.00 -1.00  2.00  1.25  0.00   1.536   1.536   0.058   0.176   1.068   1.068   2.906
  215  8500  4.50 -1.00  2.00  1.25  0.00   1.416   1.416   0.083   0.187   0.873   0.873   2.912
  216  8500  5.00 -1.00  2.00  1.25  0.00   1.280   1.280   0.107   0.191   0.683   0.683   2.908
  217  8750  1.50 -1.00  2.00  1.25  0.00   1.565   1.566   0.049   0.070   1.324   1.325   2.647
  218  8750  2.00 -1.00  2.00  1.25  0.00   1.663   1.663   0.025   0.085   1.441   1.442   2.722
  219  8750  2.50 -1.00  2.00  1.25  0.00   1.680   1.680   0.019   0.103   1.435   1.435   2.789
  220  8750  3.00 -1.00  2.00  1.25  0.00   1.655   1.655   0.021   0.125   1.361   1.361   2.847
  221  8750  3.50 -1.00  2.00  1.25  0.00   1.602   1.603   0.029   0.150   1.244   1.244   2.890
  222  8750  4.00 -1.00  2.00  1.25  0.00   1.526   1.526   0.040   0.176   1.093   1.093   2.918
  223  8750  4.50 -1.00  2.00  1.25  0.00   1.427   1.427   0.058   0.197   0.914   0.914   2.930
  224  8750  5.00 -1.00  2.00  1.25  0.00   1.304   1.304   0.085   0.204   0.724   0.724   2.934
  225  9000  1.50 -1.00  2.00  0.00  0.00   1.430   1.431   0.051   0.066   1.194   1.195   2.625
  226  9000  2.00 -1.00  2.00  0.00  0.00   1.559   1.559   0.024   0.080   1.348   1.349   2.697
  227  9000  2.50 -1.00  2.00  0.00  0.00   1.597   1.598   0.014   0.097   1.373   1.373   2.766
  228  9000  3.00 -1.00  2.00  0.00  0.00   1.592   1.592   0.014   0.118   1.326   1.327   2.830
  229  9000  3.50 -1.00  2.00  0.00  0.00   1.559   1.559   0.018   0.144   1.231   1.232   2.884
  230  9000  4.00 -1.00  2.00  0.00  0.00   1.502   1.502   0.027   0.174   1.100   1.100   2.922
  231  9000  4.50 -1.00  2.00  0.00  0.00   1.422   1.422   0.039   0.201   0.940   0.940   2.942
  232  9000  5.00 -1.00  2.00  0.00  0.00   1.324   1.324   0.055   0.224   0.764   0.764   2.948
  233  9250  2.00 -1.00  2.00  0.00  0.00   1.456   1.457   0.023   0.077   1.255   1.255   2.676
  234  9250  2.50 -1.00  2.00  0.00  0.00   1.513   1.513   0.011   0.092   1.305   1.305   2.744
  235  9250  3.00 -1.00  2.00  0.00  0.00   1.524   1.524   0.007   0.113   1.282   1.282   2.811
  236  9250  3.50 -1.00  2.00  0.00  0.00   1.506   1.506   0.010   0.138   1.208   1.208   2.872
  237  9250  4.00 -1.00  2.00  0.00  0.00   1.464   1.465   0.016   0.167   1.095   1.095   2.919
  238  9250  4.50 -1.00  2.00  0.00  0.00   1.401   1.401   0.027   0.198   0.951   0.951   2.948
  239  9250  5.00 -1.00  2.00  0.00  0.00   1.318   1.318   0.041   0.226   0.783   0.783   2.961
  240  9500  2.00 -1.00  2.00  0.00  0.00   1.359   1.359   0.022   0.074   1.165   1.166   2.659
  241  9500  2.50 -1.00  2.00  0.00  0.00   1.428   1.429   0.008   0.089   1.234   1.234   2.723
  242  9500  3.00 -1.00  2.00  0.00  0.00   1.452   1.452   0.003   0.107   1.230   1.230   2.791
  243  9500  3.50 -1.00  2.00  0.00  0.00   1.447   1.447   0.003   0.131   1.176   1.176   2.856
  244  9500  4.00 -1.00  2.00  0.00  0.00   1.420   1.420   0.008   0.161   1.081   1.081   2.910
  245  9500  4.50 -1.00  2.00  0.00  0.00   1.371   1.372   0.016   0.193   0.951   0.951   2.949
  246  9500  5.00 -1.00  2.00  0.00  0.00   1.302   1.302   0.028   0.225   0.792   0.792   2.969
  247  9750  2.00 -1.00  2.00  0.00  0.00   1.269   1.270   0.020   0.072   1.083   1.083   2.646
  248  9750  2.50 -1.00  2.00  0.00  0.00   1.347   1.348   0.005   0.086   1.163   1.164   2.706
  249  9750  3.00 -1.00  2.00  0.00  0.00   1.380   1.380  -0.001   0.103   1.174   1.175   2.771
  250  9750  3.50 -1.00  2.00  0.00  0.00   1.385   1.385  -0.002   0.126   1.137   1.137   2.838
  251  9750  4.00 -1.00  2.00  0.00  0.00   1.369   1.370   0.001   0.154   1.058   1.058   2.898
  252  9750  4.50 -1.00  2.00  0.00  0.00   1.334   1.334   0.007   0.188   0.942   0.943   2.944
