
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
  180  7500  4.50 -1.50  2.00  1.25  0.00   1.231   1.231   0.186   0.124   0.608   0.608   2.774
  181  7500  5.00 -1.50  2.00  1.25  0.00   1.089   1.088   0.201   0.121   0.444   0.444   2.762
  182  7750  1.00 -1.50  2.00  1.25  0.00   1.993   1.993   0.067   0.078   1.702   1.702   2.695
  183  7750  1.50 -1.50  2.00  1.25  0.00   1.998   1.998   0.058   0.086   1.708   1.708   2.751
  184  7750  2.00 -1.50  2.00  1.25  0.00   1.940   1.940   0.063   0.100   1.613   1.613   2.790
  185  7750  2.50 -1.50  2.00  1.25  0.00   1.848   1.848   0.074   0.115   1.468   1.468   2.815
  186  7750  3.00 -1.50  2.00  1.25  0.00   1.728   1.728   0.094   0.128   1.281   1.281   2.827
  187  7750  3.50 -1.50  2.00  1.25  0.00   1.587   1.587   0.121   0.137   1.069   1.069   2.828
  188  7750  4.00 -1.50  2.00  1.25  0.00   1.437   1.437   0.142   0.139   0.872   0.872   2.822
  189  7750  4.50 -1.50  2.00  1.25  0.00   1.285   1.285   0.161   0.139   0.684   0.684   2.812
  190  7750  5.00 -1.50  2.00  1.25  0.00   1.136   1.136   0.177   0.136   0.509   0.508   2.799
  191  8000  1.00 -1.50  2.00  1.25  0.00   1.847   1.847   0.074   0.074   1.549   1.550   2.660
  192  8000  1.50 -1.50  2.00  1.25  0.00   1.924   1.925   0.047   0.084   1.660   1.660   2.732
  193  8000  2.00 -1.50  2.00  1.25  0.00   1.903   1.903   0.046   0.098   1.612   1.612   2.784
  194  8000  2.50 -1.50  2.00  1.25  0.00   1.838   1.838   0.054   0.115   1.499   1.499   2.823
  195  8000  3.00 -1.50  2.00  1.25  0.00   1.744   1.744   0.066   0.132   1.346   1.345   2.847
  196  8000  3.50 -1.50  2.00  1.25  0.00   1.624   1.624   0.088   0.146   1.153   1.153   2.856
  197  8000  4.00 -1.50  2.00  1.25  0.00   1.484   1.484   0.114   0.153   0.946   0.946   2.856
  198  8000  4.50 -1.50  2.00  1.25  0.00   1.335   1.335   0.135   0.154   0.753   0.753   2.849
  199  8000  5.00 -1.50  2.00  1.25  0.00   1.185   1.185   0.153   0.152   0.571   0.571   2.837
