
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   70  5000  1.50  0.20  2.00  0.00  0.00 -14.365 -14.345 -15.473 -16.186 -16.317   2.623   2.621   0.631   0.510   0.338   0.336
   71  5000  2.00  0.20  2.00  0.00  0.00 -14.472 -14.451 -15.516 -16.194 -16.312   2.525   2.523   0.618   0.489   0.308   0.306
   72  5000  2.50  0.20  2.00  0.00  0.00 -14.565 -14.544 -15.553 -16.204 -16.308   2.441   2.440   0.604   0.476   0.278   0.277
   73  5000  3.00  0.20  2.00  0.00  0.00 -14.640 -14.619 -15.584 -16.217 -16.305   2.379   2.378   0.588   0.473   0.254   0.253
   74  5000  3.50  0.20  2.00  0.00  0.00 -14.693 -14.671 -15.610 -16.230 -16.303   2.339   2.338   0.573   0.476   0.239   0.239
   75  5000  4.00  0.20  2.00  0.00  0.00 -14.720 -14.698 -15.628 -16.243 -16.300   2.325   2.325   0.558   0.486   0.235   0.235
   76  5000  4.50  0.20  2.00  0.00  0.00 -14.722 -14.700 -15.638 -16.254 -16.298   2.334   2.334   0.544   0.501   0.242   0.242
   77  5000  5.00  0.20  2.00  0.00  0.00 -14.699 -14.677 -15.638 -16.262 -16.295   2.365   2.365   0.532   0.521   0.257   0.257
   78  5250  0.00  0.20  2.00  0.00  0.00 -14.529 -14.511 -15.873 -16.543 -16.630   2.816   2.812   0.587   0.511   0.617   0.613
   79  5250  0.50  0.20  2.00  0.00  0.00 -14.677 -14.659 -15.925 -16.552 -16.625   2.677   2.674   0.572   0.484   0.562   0.558
   80  5250  1.00  0.20  2.00  0.00  0.00 -14.814 -14.795 -15.969 -16.558 -16.619   2.546   2.543   0.561   0.457   0.507   0.504
   81  5250  1.50  0.20  2.00  0.00  0.00 -14.936 -14.916 -16.004 -16.560 -16.613   2.427   2.424   0.553   0.433   0.454   0.451
   82  5250  2.00  0.20  2.00  0.00  0.00 -15.042 -15.022 -16.033 -16.562 -16.607   2.322   2.320   0.545   0.413   0.404   0.402
   83  5250  2.50  0.20  2.00  0.00  0.00 -15.132 -15.111 -16.055 -16.563 -16.601   2.234   2.232   0.538   0.399   0.357   0.355
   84  5250  3.00  0.20  2.00  0.00  0.00 -15.204 -15.183 -16.072 -16.567 -16.597   2.165   2.164   0.530   0.395   0.314   0.312
   85  5250  3.50  0.20  2.00  0.00  0.00 -15.257 -15.236 -16.083 -16.574 -16.594   2.119   2.118   0.521   0.399   0.278   0.277
   86  5250  4.00  0.20  2.00  0.00  0.00 -15.287 -15.266 -16.089 -16.582 -16.592   2.097   2.097   0.510   0.412   0.251   0.250
   87  5250  4.50  0.20  2.00  0.00  0.00 -15.296 -15.275 -16.091 -16.592 -16.591   2.098   2.098   0.499   0.431   0.236   0.235
   88  5250  5.00  0.20  2.00  0.00  0.00 -15.283 -15.261 -16.088 -16.603 -16.590   2.122   2.122   0.488   0.456   0.233   0.233
   89  5500  0.00  0.20  2.00  0.00  0.00 -15.028 -15.009 -16.408 -16.913 -16.911   2.687   2.683   0.498   0.436   0.818   0.814
   90  5500  0.50  0.20  2.00  0.00  0.00 -15.163 -15.144 -16.435 -16.910 -16.901   2.550   2.546   0.490   0.413   0.740   0.737
   91  5500  1.00  0.20  2.00  0.00  0.00 -15.295 -15.276 -16.461 -16.907 -16.892   2.414   2.412   0.485   0.391   0.662   0.659
   92  5500  1.50  0.20  2.00  0.00  0.00 -15.416 -15.397 -16.482 -16.903 -16.883   2.288   2.286   0.480   0.370   0.586   0.584
   93  5500  2.00  0.20  2.00  0.00  0.00 -15.525 -15.505 -16.498 -16.898 -16.875   2.175   2.172   0.477   0.351   0.516   0.514
   94  5500  2.50  0.20  2.00  0.00  0.00 -15.618 -15.598 -16.509 -16.893 -16.867   2.077   2.075   0.475   0.338   0.450   0.448
   95  5500  3.00  0.20  2.00  0.00  0.00 -15.695 -15.674 -16.516 -16.890 -16.861   1.997   1.995   0.472   0.331   0.389   0.387
   96  5500  3.50  0.20  2.00  0.00  0.00 -15.753 -15.732 -16.517 -16.889 -16.857   1.938   1.936   0.468   0.333   0.334   0.333
   97  5500  4.00  0.20  2.00  0.00  0.00 -15.791 -15.770 -16.514 -16.891 -16.854   1.902   1.901   0.462   0.344   0.288   0.287
   98  5500  4.50  0.20  2.00  0.00  0.00 -15.809 -15.788 -16.508 -16.897 -16.853   1.890   1.889   0.456   0.362   0.252   0.252
   99  5500  5.00  0.20  2.00  0.00  0.00 -15.805 -15.783 -16.499 -16.905 -16.853   1.903   1.902   0.447   0.388   0.230   0.229
  100  5750  0.00  0.20  2.00  0.00  0.00 -15.456 -15.437 -16.891 -17.251 -17.167   2.597   2.594   0.416   0.374   1.017   1.014
  101  5750  0.50  0.20  2.00  0.00  0.00 -15.574 -15.555 -16.894 -17.238 -17.154   2.466   2.463   0.416   0.357   0.919   0.916
  102  5750  1.00  0.20  2.00  0.00  0.00 -15.699 -15.680 -16.903 -17.227 -17.142   2.330   2.327   0.415   0.338   0.822   0.819
  103  5750  1.50  0.20  2.00  0.00  0.00 -15.820 -15.800 -16.910 -17.216 -17.131   2.198   2.196   0.416   0.319   0.726   0.724
  104  5750  2.00  0.20  2.00  0.00  0.00 -15.930 -15.910 -16.914 -17.204 -17.121   2.076   2.074   0.416   0.303   0.635   0.633
  105  5750  2.50  0.20  2.00  0.00  0.00 -16.028 -16.008 -16.915 -17.194 -17.111   1.968   1.966   0.417   0.291   0.549   0.547
