
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   85  5250  3.50 -1.50  2.00  0.00  0.00 -15.907 -15.887 -16.387 -16.568 -16.527   1.463   1.461   0.459   0.152   0.240   0.238
   86  5250  4.00 -1.50  2.00  0.00  0.00 -15.919 -15.899 -16.374 -16.570 -16.529   1.453   1.451   0.459   0.165   0.202   0.200
   87  5250  4.50 -1.50  2.00  0.00  0.00 -15.911 -15.891 -16.361 -16.572 -16.533   1.463   1.461   0.461   0.179   0.181   0.179
   88  5250  5.00 -1.50  2.00  0.00  0.00 -15.888 -15.868 -16.348 -16.577 -16.539   1.490   1.488   0.463   0.195   0.173   0.171
   89  5500  0.00 -1.50  2.00  0.00  0.00 -15.483 -15.463 -16.794 -16.932 -16.861   2.251   2.249   0.429   0.139   1.114   1.112
   90  5500  0.50 -1.50  2.00  0.00  0.00 -15.654 -15.634 -16.805 -16.924 -16.845   2.072   2.069   0.422   0.126   0.974   0.972
   91  5500  1.00 -1.50  2.00  0.00  0.00 -15.817 -15.797 -16.809 -16.913 -16.830   1.898   1.896   0.417   0.116   0.831   0.829
   92  5500  1.50 -1.50  2.00  0.00  0.00 -15.962 -15.942 -16.806 -16.900 -16.814   1.740   1.738   0.414   0.108   0.693   0.691
   93  5500  2.00 -1.50  2.00  0.00  0.00 -16.085 -16.064 -16.796 -16.885 -16.799   1.603   1.601   0.414   0.105   0.564   0.562
   94  5500  2.50 -1.50  2.00  0.00  0.00 -16.184 -16.164 -16.781 -16.871 -16.786   1.489   1.487   0.415   0.105   0.448   0.446
   95  5500  3.00 -1.50  2.00  0.00  0.00 -16.261 -16.241 -16.763 -16.860 -16.776   1.401   1.399   0.416   0.109   0.348   0.347
   96  5500  3.50 -1.50  2.00  0.00  0.00 -16.312 -16.292 -16.746 -16.852 -16.771   1.342   1.340   0.418   0.117   0.269   0.268
   97  5500  4.00 -1.50  2.00  0.00  0.00 -16.339 -16.319 -16.730 -16.849 -16.771   1.312   1.310   0.421   0.127   0.213   0.211
   98  5500  4.50 -1.50  2.00  0.00  0.00 -16.344 -16.324 -16.714 -16.850 -16.774   1.307   1.306   0.425   0.140   0.177   0.175
   99  5500  5.00 -1.50  2.00  0.00  0.00 -16.333 -16.313 -16.700 -16.852 -16.780   1.321   1.319   0.428   0.153   0.156   0.154
  100  5750  0.00 -1.50  2.00  0.00  0.00 -15.820 -15.800 -17.209 -17.255 -17.113   2.237   2.235   0.357   0.118   1.285   1.283
  101  5750  0.50 -1.50  2.00  0.00  0.00 -15.970 -15.950 -17.199 -17.236 -17.094   2.068   2.067   0.358   0.108   1.134   1.132
  102  5750  1.00 -1.50  2.00  0.00  0.00 -16.120 -16.100 -17.186 -17.216 -17.076   1.898   1.897   0.359   0.100   0.978   0.976
  103  5750  1.50 -1.50  2.00  0.00  0.00 -16.259 -16.239 -17.168 -17.194 -17.057   1.737   1.736   0.362   0.093   0.824   0.822
  104  5750  2.00 -1.50  2.00  0.00  0.00 -16.383 -16.362 -17.145 -17.171 -17.038   1.590   1.589   0.366   0.089   0.677   0.676
  105  5750  2.50 -1.50  2.00  0.00  0.00 -16.488 -16.468 -17.119 -17.149 -17.019   1.462   1.461   0.371   0.088   0.543   0.542
  106  5750  3.00 -1.50  2.00  0.00  0.00 -16.576 -16.556 -17.093 -17.129 -17.004   1.354   1.353   0.376   0.089   0.423   0.421
  107  5750  3.50 -1.50  2.00  0.00  0.00 -16.645 -16.624 -17.069 -17.114 -16.994   1.271   1.269   0.380   0.094   0.321   0.320
  108  5750  4.00 -1.50  2.00  0.00  0.00 -16.691 -16.671 -17.048 -17.104 -16.989   1.215   1.213   0.385   0.101   0.242   0.241
  109  5750  4.50 -1.50  2.00  0.00  0.00 -16.714 -16.693 -17.030 -17.101 -16.990   1.189   1.187   0.390   0.110   0.187   0.185
  110  5750  5.00 -1.50  2.00  0.00  0.00 -16.718 -16.697 -17.014 -17.101 -16.996   1.185   1.184   0.395   0.121   0.152   0.150
  111  6000  0.00 -1.50  2.00  0.00  0.00 -16.098 -16.077 -17.586 -17.549 -17.341   2.253   2.252   0.292   0.100   1.467   1.465
  112  6000  0.50 -1.50  2.00  0.00  0.00 -16.227 -16.207 -17.555 -17.524 -17.324   2.098   2.097   0.300   0.097   1.302   1.300
  113  6000  1.00 -1.50  2.00  0.00  0.00 -16.365 -16.344 -17.528 -17.497 -17.305   1.935   1.933   0.307   0.091   1.136   1.134
  114  6000  1.50 -1.50  2.00  0.00  0.00 -16.499 -16.478 -17.498 -17.469 -17.284   1.773   1.771   0.314   0.087   0.969   0.968
  115  6000  2.00 -1.50  2.00  0.00  0.00 -16.623 -16.602 -17.464 -17.440 -17.262   1.619   1.618   0.322   0.083   0.807   0.806
  116  6000  2.50 -1.50  2.00  0.00  0.00 -16.733 -16.712 -17.429 -17.411 -17.240   1.479   1.478   0.330   0.081   0.656   0.655
  117  6000  3.00 -1.50  2.00  0.00  0.00 -16.830 -16.809 -17.394 -17.383 -17.220   1.354   1.353   0.337   0.081   0.516   0.515
  118  6000  3.50 -1.50  2.00  0.00  0.00 -16.912 -16.892 -17.362 -17.359 -17.203   1.249   1.248   0.344   0.082   0.394   0.393
  119  6000  4.00 -1.50  2.00  0.00  0.00 -16.977 -16.956 -17.334 -17.342 -17.193   1.167   1.166   0.351   0.086   0.291   0.290
  120  6000  4.50 -1.50  2.00  0.00  0.00 -17.021 -17.000 -17.313 -17.332 -17.189   1.113   1.112   0.357   0.092   0.214   0.213
  121  6000  5.00 -1.50  2.00  0.00  0.00 -17.043 -17.022 -17.295 -17.329 -17.192   1.088   1.087   0.363   0.100   0.161   0.160
  122  6250  0.50 -1.50  2.00  0.00  0.00 -16.447 -16.426 -17.886 -17.790 -17.535   2.145   2.144   0.245   0.087   1.478   1.477
  123  6250  1.00 -1.50  2.00  0.00  0.00 -16.572 -16.551 -17.843 -17.760 -17.518   1.990   1.989   0.258   0.088   1.297   1.296
  124  6250  1.50 -1.50  2.00  0.00  0.00 -16.700 -16.678 -17.803 -17.728 -17.497   1.831   1.830   0.269   0.086   1.120   1.119
  125  6250  2.00 -1.50  2.00  0.00  0.00 -16.823 -16.802 -17.760 -17.694 -17.474   1.674   1.673   0.280   0.083   0.946   0.945
  126  6250  2.50 -1.50  2.00  0.00  0.00 -16.937 -16.916 -17.717 -17.659 -17.449   1.524   1.523   0.290   0.081   0.779   0.778
  127  6250  3.00 -1.50  2.00  0.00  0.00 -17.041 -17.020 -17.674 -17.625 -17.425   1.386   1.385   0.300   0.080   0.623   0.622
  128  6250  3.50 -1.50  2.00  0.00  0.00 -17.133 -17.112 -17.633 -17.594 -17.404   1.263   1.262   0.310   0.080   0.482   0.481
  129  6250  4.00 -1.50  2.00  0.00  0.00 -17.213 -17.191 -17.599 -17.569 -17.387   1.158   1.157   0.318   0.081   0.358   0.357
  130  6250  4.50 -1.50  2.00  0.00  0.00 -17.275 -17.254 -17.571 -17.551 -17.377   1.078   1.077   0.325   0.084   0.258   0.257
  131  6250  5.00 -1.50  2.00  0.00  0.00 -17.316 -17.295 -17.550 -17.542 -17.374   1.027   1.026   0.333   0.088   0.183   0.183
  132  6500  0.50 -1.50  2.00  0.00  0.00 -16.643 -16.622 -18.202 -18.038 -17.727   2.196   2.196   0.189   0.076   1.664   1.663
  133  6500  1.00 -1.50  2.00  0.00  0.00 -16.756 -16.734 -18.141 -18.006 -17.715   2.053   2.052   0.209   0.084   1.463   1.462
  134  6500  1.50 -1.50  2.00  0.00  0.00 -16.876 -16.854 -18.088 -17.972 -17.697   1.898   1.898   0.225   0.087   1.271   1.270
  135  6500  2.00 -1.50  2.00  0.00  0.00 -16.996 -16.975 -18.038 -17.935 -17.674   1.741   1.740   0.239   0.087   1.087   1.086
  136  6500  2.50 -1.50  2.00  0.00  0.00 -17.113 -17.091 -17.987 -17.897 -17.649   1.586   1.585   0.252   0.086   0.908   0.907
  137  6500  3.00 -1.50  2.00  0.00  0.00 -17.221 -17.200 -17.937 -17.857 -17.622   1.438   1.437   0.265   0.085   0.737   0.736
  138  6500  3.50 -1.50  2.00  0.00  0.00 -17.322 -17.300 -17.889 -17.820 -17.596   1.300   1.300   0.276   0.084   0.578   0.578
  139  6500  4.00 -1.50  2.00  0.00  0.00 -17.411 -17.390 -17.846 -17.787 -17.574   1.178   1.177   0.287   0.083   0.436   0.436
  140  6500  4.50 -1.50  2.00  0.00  0.00 -17.488 -17.467 -17.811 -17.761 -17.557   1.075   1.075   0.296   0.083   0.315   0.314
  141  6500  5.00 -1.50  2.00  0.00  0.00 -17.547 -17.526 -17.784 -17.744 -17.548   0.999   0.998   0.304   0.085   0.219   0.218
  142  6750  0.50 -1.50  2.00  0.00  0.00 -16.836 -16.814 -18.471 -18.262 -17.908   2.228   2.228   0.146   0.074   1.786   1.785
  143  6750  1.00 -1.50  2.00  0.00  0.00 -16.927 -16.905 -18.429 -18.237 -17.896   2.112   2.112   0.159   0.079   1.636   1.635
  144  6750  1.50 -1.50  2.00  0.00  0.00 -17.038 -17.016 -18.361 -18.202 -17.883   1.966   1.965   0.182   0.088   1.425   1.424
  145  6750  2.00 -1.50  2.00  0.00  0.00 -17.154 -17.132 -18.300 -18.163 -17.863   1.812   1.811   0.200   0.092   1.225   1.225
  146  6750  2.50 -1.50  2.00  0.00  0.00 -17.269 -17.247 -18.243 -18.122 -17.838   1.655   1.655   0.216   0.093   1.036   1.036
  147  6750  3.00 -1.50  2.00  0.00  0.00 -17.380 -17.359 -18.186 -18.079 -17.810   1.501   1.500   0.231   0.092   0.854   0.854
  148  6750  3.50 -1.50  2.00  0.00  0.00 -17.486 -17.464 -18.131 -18.037 -17.781   1.354   1.353   0.244   0.091   0.681   0.681
  149  6750  4.00 -1.50  2.00  0.00  0.00 -17.583 -17.561 -18.081 -17.998 -17.754   1.217   1.217   0.256   0.090   0.523   0.522
  150  6750  4.50 -1.50  2.00  0.00  0.00 -17.670 -17.649 -18.037 -17.964 -17.731   1.096   1.095   0.267   0.088   0.382   0.382
  151  6750  5.00 -1.50  2.00  0.00  0.00 -17.743 -17.722 -18.003 -17.939 -17.716   0.997   0.997   0.277   0.088   0.266   0.265
  152  7000  0.50 -1.50  2.00  0.00  0.00 -17.036 -17.014 -18.701 -18.462 -18.078   2.229   2.229   0.116   0.075   1.846   1.846
  153  7000  1.00 -1.50  2.00  0.00  0.00 -17.101 -17.079 -18.675 -18.445 -18.065   2.146   2.146   0.120   0.079   1.746   1.746
  154  7000  1.50 -1.50  2.00  0.00  0.00 -17.194 -17.173 -18.625 -18.417 -18.053   2.025   2.025   0.135   0.086   1.580   1.579
  155  7000  2.00 -1.50  2.00  0.00  0.00 -17.303 -17.281 -18.551 -18.379 -18.039   1.878   1.877   0.160   0.096   1.362   1.362
  156  7000  2.50 -1.50  2.00  0.00  0.00 -17.414 -17.393 -18.484 -18.336 -18.017   1.724   1.723   0.180   0.101   1.160   1.159
  157  7000  3.00 -1.50  2.00  0.00  0.00 -17.525 -17.504 -18.422 -18.292 -17.989   1.568   1.568   0.197   0.102   0.969   0.968
