
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   93  5500  2.00 -2.50  2.00  1.25  0.00 -16.193 -16.172 -16.825 -16.859 -16.770   1.468   1.467   0.411   0.052   0.540   0.539
   94  5500  2.50 -2.50  2.00  1.25  0.00 -16.296 -16.275 -16.804 -16.839 -16.752   1.345   1.344   0.413   0.051   0.415   0.413
   95  5500  3.00 -2.50  2.00  1.25  0.00 -16.375 -16.354 -16.782 -16.822 -16.738   1.249   1.248   0.416   0.052   0.310   0.308
   96  5500  3.50 -2.50  2.00  1.25  0.00 -16.426 -16.405 -16.762 -16.810 -16.731   1.186   1.185   0.421   0.055   0.231   0.230
   97  5500  4.00 -2.50  2.00  1.25  0.00 -16.447 -16.426 -16.744 -16.803 -16.732   1.159   1.157   0.429   0.060   0.180   0.178
   98  5500  4.50 -2.50  2.00  1.25  0.00 -16.444 -16.423 -16.726 -16.799 -16.737   1.157   1.156   0.438   0.065   0.150   0.149
   99  5500  5.00 -2.50  2.00  1.25  0.00 -16.428 -16.408 -16.708 -16.796 -16.744   1.170   1.168   0.448   0.069   0.134   0.133
  100  5750  0.00 -2.50  2.00  1.25  0.00 -15.890 -15.869 -17.253 -17.244 -17.096   2.156   2.155   0.353   0.067   1.315   1.313
  101  5750  0.50 -2.50  2.00  1.25  0.00 -16.046 -16.026 -17.237 -17.223 -17.076   1.978   1.977   0.353   0.062   1.146   1.145
  102  5750  1.00 -2.50  2.00  1.25  0.00 -16.200 -16.179 -17.216 -17.199 -17.055   1.801   1.800   0.356   0.056   0.975   0.973
  103  5750  1.50 -2.50  2.00  1.25  0.00 -16.341 -16.320 -17.190 -17.173 -17.033   1.634   1.633   0.360   0.052   0.808   0.807
  104  5750  2.00 -2.50  2.00  1.25  0.00 -16.465 -16.444 -17.160 -17.145 -17.010   1.482   1.481   0.365   0.049   0.652   0.651
  105  5750  2.50 -2.50  2.00  1.25  0.00 -16.571 -16.550 -17.128 -17.117 -16.987   1.348   1.347   0.370   0.048   0.511   0.509
  106  5750  3.00 -2.50  2.00  1.25  0.00 -16.659 -16.638 -17.097 -17.091 -16.968   1.234   1.233   0.376   0.047   0.385   0.384
  107  5750  3.50 -2.50  2.00  1.25  0.00 -16.728 -16.707 -17.069 -17.071 -16.954   1.145   1.144   0.383   0.048   0.281   0.280
  108  5750  4.00 -2.50  2.00  1.25  0.00 -16.772 -16.751 -17.047 -17.058 -16.948   1.088   1.087   0.390   0.050   0.205   0.204
  109  5750  4.50 -2.50  2.00  1.25  0.00 -16.791 -16.770 -17.028 -17.051 -16.950   1.062   1.061   0.398   0.054   0.156   0.155
  110  5750  5.00 -2.50  2.00  1.25  0.00 -16.790 -16.770 -17.012 -17.048 -16.956   1.059   1.058   0.408   0.057   0.128   0.126
  111  6000  0.00 -2.50  2.00  1.25  0.00 -16.149 -16.128 -17.616 -17.537 -17.326   2.190   2.189   0.289   0.060   1.489   1.488
  112  6000  0.50 -2.50  2.00  1.25  0.00 -16.285 -16.264 -17.582 -17.510 -17.307   2.027   2.026   0.297   0.059   1.312   1.311
  113  6000  1.00 -2.50  2.00  1.25  0.00 -16.426 -16.405 -17.549 -17.481 -17.285   1.856   1.855   0.304   0.057   1.132   1.131
  114  6000  1.50 -2.50  2.00  1.25  0.00 -16.562 -16.541 -17.511 -17.449 -17.261   1.689   1.688   0.312   0.054   0.954   0.953
  115  6000  2.00 -2.50  2.00  1.25  0.00 -16.686 -16.665 -17.471 -17.415 -17.236   1.531   1.530   0.321   0.052   0.783   0.782
  116  6000  2.50 -2.50  2.00  1.25  0.00 -16.796 -16.775 -17.429 -17.380 -17.210   1.386   1.385   0.330   0.050   0.624   0.623
  117  6000  3.00 -2.50  2.00  1.25  0.00 -16.892 -16.871 -17.389 -17.347 -17.186   1.257   1.256   0.339   0.049   0.480   0.479
  118  6000  3.50 -2.50  2.00  1.25  0.00 -16.973 -16.952 -17.353 -17.319 -17.166   1.148   1.147   0.347   0.048   0.355   0.354
  119  6000  4.00 -2.50  2.00  1.25  0.00 -17.037 -17.016 -17.323 -17.298 -17.153   1.063   1.062   0.355   0.049   0.254   0.253
  120  6000  4.50 -2.50  2.00  1.25  0.00 -17.078 -17.057 -17.301 -17.285 -17.148   1.009   1.008   0.363   0.050   0.180   0.179
  121  6000  5.00 -2.50  2.00  1.25  0.00 -17.096 -17.075 -17.283 -17.279 -17.151   0.985   0.983   0.372   0.052   0.134   0.133
  122  6250  0.50 -2.50  2.00  1.25  0.00 -16.488 -16.467 -17.903 -17.776 -17.520   2.090   2.089   0.243   0.059   1.484   1.483
  123  6250  1.00 -2.50  2.00  1.25  0.00 -16.617 -16.596 -17.857 -17.744 -17.500   1.929   1.928   0.256   0.060   1.294   1.293
  124  6250  1.50 -2.50  2.00  1.25  0.00 -16.747 -16.726 -17.810 -17.709 -17.476   1.764   1.763   0.268   0.059   1.107   1.106
  125  6250  2.00 -2.50  2.00  1.25  0.00 -16.871 -16.850 -17.762 -17.670 -17.450   1.601   1.601   0.280   0.058   0.924   0.924
  126  6250  2.50 -2.50  2.00  1.25  0.00 -16.985 -16.964 -17.712 -17.631 -17.422   1.447   1.447   0.291   0.056   0.751   0.750
  127  6250  3.00 -2.50  2.00  1.25  0.00 -17.088 -17.067 -17.664 -17.592 -17.394   1.305   1.305   0.302   0.054   0.589   0.589
  128  6250  3.50 -2.50  2.00  1.25  0.00 -17.179 -17.158 -17.619 -17.556 -17.369   1.179   1.178   0.313   0.053   0.445   0.444
  129  6250  4.00 -2.50  2.00  1.25  0.00 -17.257 -17.236 -17.581 -17.527 -17.349   1.072   1.071   0.322   0.052   0.320   0.320
  130  6250  4.50 -2.50  2.00  1.25  0.00 -17.317 -17.296 -17.552 -17.507 -17.338   0.991   0.991   0.331   0.052   0.223   0.222
  131  6250  5.00 -2.50  2.00  1.25  0.00 -17.356 -17.334 -17.531 -17.495 -17.335   0.941   0.940   0.340   0.053   0.154   0.153
  132  6500  0.50 -2.50  2.00  1.25  0.00 -16.672 -16.651 -18.212 -18.025 -17.713   2.155   2.154   0.188   0.055   1.669   1.668
  133  6500  1.00 -2.50  2.00  1.25  0.00 -16.788 -16.766 -18.148 -17.991 -17.699   2.005   2.005   0.208   0.064   1.459   1.459
  134  6500  1.50 -2.50  2.00  1.25  0.00 -16.910 -16.888 -18.091 -17.954 -17.678   1.846   1.846   0.225   0.067   1.261   1.261
  135  6500  2.00 -2.50  2.00  1.25  0.00 -17.031 -17.010 -18.036 -17.913 -17.652   1.684   1.683   0.239   0.066   1.070   1.070
  136  6500  2.50 -2.50  2.00  1.25  0.00 -17.148 -17.127 -17.980 -17.870 -17.623   1.524   1.523   0.253   0.066   0.884   0.883
  137  6500  3.00 -2.50  2.00  1.25  0.00 -17.257 -17.236 -17.924 -17.826 -17.593   1.371   1.370   0.267   0.064   0.707   0.707
  138  6500  3.50 -2.50  2.00  1.25  0.00 -17.356 -17.335 -17.872 -17.784 -17.564   1.231   1.230   0.280   0.062   0.546   0.545
  139  6500  4.00 -2.50  2.00  1.25  0.00 -17.444 -17.423 -17.826 -17.748 -17.539   1.105   1.105   0.291   0.060   0.402   0.401
  140  6500  4.50 -2.50  2.00  1.25  0.00 -17.519 -17.498 -17.789 -17.719 -17.520   1.002   1.001   0.301   0.058   0.281   0.281
  141  6500  5.00 -2.50  2.00  1.25  0.00 -17.576 -17.554 -17.761 -17.700 -17.510   0.926   0.925   0.310   0.057   0.189   0.188
  142  6750  0.50 -2.50  2.00  1.25  0.00 -16.854 -16.833 -18.479 -18.251 -17.895   2.199   2.199   0.143   0.058   1.793   1.793
  143  6750  1.00 -2.50  2.00  1.25  0.00 -16.948 -16.927 -18.432 -18.223 -17.881   2.077   2.077   0.158   0.063   1.633   1.633
  144  6750  1.50 -2.50  2.00  1.25  0.00 -17.061 -17.039 -18.360 -18.185 -17.867   1.926   1.926   0.181   0.073   1.416   1.415
  145  6750  2.00 -2.50  2.00  1.25  0.00 -17.178 -17.156 -18.295 -18.143 -17.843   1.767   1.767   0.200   0.076   1.212   1.212
  146  6750  2.50 -2.50  2.00  1.25  0.00 -17.294 -17.272 -18.234 -18.098 -17.815   1.606   1.606   0.217   0.076   1.018   1.017
  147  6750  3.00 -2.50  2.00  1.25  0.00 -17.406 -17.384 -18.172 -18.051 -17.784   1.447   1.447   0.232   0.075   0.829   0.829
  148  6750  3.50 -2.50  2.00  1.25  0.00 -17.511 -17.489 -18.113 -18.005 -17.752   1.296   1.295   0.247   0.074   0.653   0.652
  149  6750  4.00 -2.50  2.00  1.25  0.00 -17.608 -17.586 -18.059 -17.962 -17.722   1.156   1.155   0.260   0.071   0.492   0.491
  150  6750  4.50 -2.50  2.00  1.25  0.00 -17.693 -17.672 -18.014 -17.925 -17.697   1.033   1.033   0.272   0.068   0.351   0.351
  151  6750  5.00 -2.50  2.00  1.25  0.00 -17.765 -17.743 -17.978 -17.897 -17.680   0.935   0.934   0.282   0.066   0.237   0.236
  152  7000  0.50 -2.50  2.00  1.25  0.00 -17.046 -17.024 -18.705 -18.452 -18.065   2.209   2.209   0.113   0.064   1.853   1.853
  153  7000  1.00 -2.50  2.00  1.25  0.00 -17.113 -17.092 -18.676 -18.434 -18.052   2.122   2.122   0.118   0.068   1.748   1.748
  154  7000  1.50 -2.50  2.00  1.25  0.00 -17.209 -17.187 -18.622 -18.403 -18.038   1.996   1.996   0.135   0.075   1.574   1.574
  155  7000  2.00 -2.50  2.00  1.25  0.00 -17.318 -17.296 -18.544 -18.361 -18.021   1.845   1.844   0.161   0.085   1.352   1.351
  156  7000  2.50 -2.50  2.00  1.25  0.00 -17.430 -17.409 -18.474 -18.315 -17.996   1.687   1.686   0.181   0.089   1.146   1.145
  157  7000  3.00 -2.50  2.00  1.25  0.00 -17.542 -17.520 -18.408 -18.266 -17.965   1.526   1.526   0.199   0.088   0.950   0.949
  158  7000  3.50 -2.50  2.00  1.25  0.00 -17.650 -17.628 -18.344 -18.217 -17.932   1.368   1.368   0.215   0.087   0.763   0.762
  159  7000  4.00 -2.50  2.00  1.25  0.00 -17.753 -17.731 -18.283 -18.168 -17.898   1.218   1.217   0.230   0.085   0.587   0.587
  160  7000  4.50 -2.50  2.00  1.25  0.00 -17.847 -17.826 -18.229 -18.125 -17.869   1.080   1.079   0.244   0.081   0.428   0.428
  161  7000  5.00 -2.50  2.00  1.25  0.00 -17.930 -17.908 -18.186 -18.089 -17.845   0.962   0.961   0.255   0.077   0.294   0.294
  162  7250  0.50 -2.50  2.00  1.25  0.00 -17.255 -17.233 -18.891 -18.627 -18.222   2.174   2.175   0.094   0.071   1.842   1.843
  163  7250  1.00 -2.50  2.00  1.25  0.00 -17.290 -17.268 -18.886 -18.620 -18.211   2.132   2.132   0.091   0.073   1.804   1.804
  164  7250  1.50 -2.50  2.00  1.25  0.00 -17.364 -17.342 -18.849 -18.599 -18.198   2.037   2.037   0.099   0.081   1.677   1.677
  165  7250  2.00 -2.50  2.00  1.25  0.00 -17.458 -17.436 -18.787 -18.565 -18.183   1.909   1.909   0.118   0.090   1.492   1.491
  166  7250  2.50 -2.50  2.00  1.25  0.00 -17.563 -17.542 -18.706 -18.520 -18.164   1.759   1.758   0.144   0.099   1.270   1.269
